idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
903,0.44133943,0.012092721744185915,156,PReLU,158,0.0,False,True,None
909,0.44023114,0.006546276598804135,70,ELU,318-207,0.001,False,True,None
67,0.4397662000000001,0.00297413391379463,209,ReLU,187-157,0.0,False,True,None
67,0.43976620000000005,0.00297413391379463,209,ReLU,187-157,0.0,False,True,None
137,0.43909448,0.0030754202327451853,139,ReLU,344,0.0,False,True,None
64,0.43844175,0.0042713355155349405,78,ReLU,436,0.001,False,True,None
403,0.4380536,0.004438366677486094,160,ReLU,302,0.001,False,True,None
194,0.43763357,0.009200640452925363,217,LeakyReLU,353,0.001,False,True,None
47,0.43669826,0.007865854454644201,54,ELU,143,0.001,False,True,keras.regularizers.L1L2
515,0.43666852,0.003927590808610576,95,ReLU,141,0.0,False,True,keras.regularizers.L1L2
426,0.43666187,0.0010631227386286189,57,PReLU,199,0.0,False,True,None
426,0.43666187,0.0010631227386286187,57,PReLU,199,0.0,False,True,None
347,0.43639493,0.00463783678960964,84,ELU,428-281,0.0,False,True,None
383,0.4362899,0.003463166792633038,234,ReLU,217,0.0,False,True,None
482,0.43592113,0.006353057774158211,232,LeakyReLU,389,0.001,False,True,None
318,0.43574202,0.003869039831018911,129,ReLU,77,0.0,False,True,None
31,0.43514967,0.002295372717681271,68,ReLU,213,0.0,False,True,keras.regularizers.L1L2
254,0.43512738,0.0002112176537608424,75,ELU,470-271-289,0.0,False,True,None
254,0.43512738,0.00021121765376084237,75,ELU,470-271-289,0.0,False,True,None
952,0.43488234,0.0026373683404708696,119,ReLU,444,0.0,False,True,keras.regularizers.L1L2
84,0.43487029999999993,0.009426676960847313,106,LeakyReLU,92,0.001,False,True,keras.regularizers.L1L2
84,0.4348702999999999,0.009426676960847313,106,LeakyReLU,92,0.001,False,True,keras.regularizers.L1L2
225,0.43479043,0.003291097608165028,213,LeakyReLU,468-308-149,0.001,False,True,None
71,0.43453586,0.006330412966592642,190,LeakyReLU,219,0.001,False,True,keras.regularizers.L1L2
1660,0.43442166,0.01005364473484638,93,ELU,277,0.001,False,True,None
386,0.43436962,0.0059378340070838425,208,LeakyReLU,251,0.001,False,True,None
433,0.43434128,0.004579248892861954,223,LeakyReLU,94,0.001,False,True,None
925,0.43398494,0.01873337799623001,223,LeakyReLU,128,0.0,False,True,None
292,0.43372104,0.023441212114180727,225,selu,61,0.001,False,True,keras.regularizers.L1L2
709,0.43350777,0.0026717783681442127,199,selu,274-462,0.0,False,True,keras.regularizers.L1L2
467,0.4334017,0.0016595459563832793,99,ReLU,351-108,0.001,False,True,None
