idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
0,0.37738484,0.007888620808403347,83,LeakyReLU,288-399-130,0.009500885740172422,True,False,None
1,0.36779487,0.018529164864865697,85,ReLU,209-333-393,0.0031463737119188386,True,False,None
2,0.38734952,0.0063429466218008915,126,ELU,445-131-357,0.005524658779781707,True,False,None
3,0.4182189,0.007861823373302492,131,ELU,486-194-450,0.008392411319739673,False,True,keras.regularizers.L1L2
4,0.3845205,0.019909511905804776,89,ReLU,109-354,0.0006610176325778794,True,False,None
5,0.42857206,0.01013744416230071,58,ReLU,157,0.005053219842996344,False,True,keras.regularizers.L1L2
6,0.43077183,0.001979224396995236,55,ReLU,419-279,0.008163487900799172,False,True,keras.regularizers.L1L2
7,0.40800276,0.018214562199436728,112,ELU,384-100,0.0006228058767008593,False,True,keras.regularizers.L1L2
8,0.4273088,0.01575834713671041,41,ELU,241,0.005191854787993927,False,True,keras.regularizers.L1L2
9,0.42032748,0.0077211324264974505,11,ELU,294-454-223,0.0018562684794451345,False,True,keras.regularizers.L1L2
10,0.42655072,0.01958260647101287,93,PReLU,226,0.0074452337397407,False,True,None
11,0.42600387,0.007839043643353865,143,selu,308-276,0.0035475019147894605,False,True,keras.regularizers.L1L2
12,0.4041285,0.011403675061390998,130,ReLU,439-208-124,0.008714391484252595,False,True,None
13,0.43169272,0.011975088948510626,92,ELU,80,0.002445122126996877,False,True,keras.regularizers.L1L2
14,0.39494467,0.015034006082924751,31,selu,168,0.006566874827301204,True,False,keras.regularizers.L1L2
15,0.35626072,0.0013260726426058956,65,selu,77-418-426,0.00762626998733216,True,False,None
16,0.3981824,0.013261744533843536,41,ELU,120-255,0.0035058243084185115,True,False,None
17,0.3812248,0.019214213220441756,46,selu,73-326-281,0.0011661020209451634,True,False,None
18,0.42617893,0.01759302442131087,150,ELU,342-316,0.008929917439112018,False,True,keras.regularizers.L1L2
19,0.41412884,0.010156144416814221,18,selu,83-196,0.0006277277487289257,False,True,None
20,0.38685453,0.004938453727680947,53,LeakyReLU,483-275,0.005685106806656291,True,False,keras.regularizers.L1L2
21,0.40521505,0.016074109135516705,140,ReLU,432-457-152,0.009020619745222464,False,True,keras.regularizers.L1L2
22,0.42826092,0.00961013274237409,133,ELU,430-296,0.002497180802492236,False,True,None
23,0.21777895,0.014575277059193478,135,selu,272,0.007764726763855891,False,False,None
24,0.14630786,0.017615631744396235,88,LeakyReLU,444-427,0.006130471051355569,False,True,None
