idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
0,0.36165595,0.0494639452189707,30,LeakyReLU,415,0.0,True,False,keras.regularizers.L1L2
1,0.22051483,0.03278438919278508,221,PReLU,450-433,0.0,False,True,None
2,0.28111124,0.03474703287278806,93,ReLU,325,0.0,False,True,keras.regularizers.L1L2
3,0.373264,0.04945830531276559,195,LeakyReLU,33-69-356,0.0,True,False,keras.regularizers.L1L2
4,0.26893336,0.010001975143774173,39,ReLU,32-67-75,0.0,False,True,None
5,0.3620595,0.008891849014733449,136,ReLU,64-398,0.0,True,False,keras.regularizers.L1L2
6,0.39530337,0.01109908894033378,216,ReLU,81-259-35,0.0,False,False,keras.regularizers.L1L2
7,0.37981403,0.0019150292803751135,251,ReLU,72,0.0,True,False,keras.regularizers.L1L2
8,0.36007875,0.03854608867212302,132,LeakyReLU,167-423,0.0,True,False,keras.regularizers.L1L2
9,0.35853782,0.012173968774872252,40,ReLU,386-268,0.0,False,True,keras.regularizers.L1L2
10,0.36515686,0.04926262550985658,128,ReLU,316-104-146,0.0,True,False,keras.regularizers.L1L2
11,0.39839154,0.011238810706910858,18,selu,327,0.0,True,False,None
12,0.22108784,0.04873414696956498,241,ELU,111,0.0,False,False,keras.regularizers.L1L2
13,0.41568506,0.022096773311441366,90,ELU,187,0.0,False,True,None
14,0.38062328,0.005472949666499378,248,PReLU,423,0.0,True,False,None
15,0.41951248,0.022761444218054094,91,LeakyReLU,81,0.0,False,True,keras.regularizers.L1L2
16,0.37665975,0.04751363135745841,88,selu,188-362,0.0,True,False,keras.regularizers.L1L2
17,0.17653419,0.028948394706905307,167,ReLU,219-477,0.0,False,False,None
18,0.37357464,0.014587463298153741,101,selu,349-76,0.0,True,False,keras.regularizers.L1L2
19,0.43286443,0.011652689375635085,137,LeakyReLU,237,0.0,False,True,None
20,0.3592434,0.03340897902589565,225,LeakyReLU,411-395-348,0.0,True,False,keras.regularizers.L1L2
21,0.3563642,0.02755975881821467,200,ReLU,176,0.0,False,True,None
22,0.38102376,0.007500396629619078,89,PReLU,393-184-285,0.0,True,False,None
23,0.36990786,0.019059679074595194,78,selu,197-319,0.0,True,False,keras.regularizers.L1L2
24,0.43180656,0.0029492299126120227,201,PReLU,485,0.0,False,True,keras.regularizers.L1L2
25,0.3843543,0.022586387445929064,31,selu,302,0.0,True,False,None
26,0.37901586,0.024169309436320254,108,LeakyReLU,336,0.0,True,False,keras.regularizers.L1L2
27,0.36164606,0.01671994163392439,170,ReLU,348,0.0,True,False,keras.regularizers.L1L2
28,0.37269336,0.03130593059910317,187,PReLU,147,0.0,True,False,None
29,0.20891136,0.046102296854360444,27,ReLU,310,0.0,False,True,None
30,0.36711183,0.023816657078885375,70,ReLU,266,0.0,False,True,keras.regularizers.L1L2
31,0.43514967,0.002295372717681271,68,ReLU,213,0.0,False,True,keras.regularizers.L1L2
32,0.23078129,0.013400351493509533,110,selu,127-463-291,0.0,False,True,keras.regularizers.L1L2
33,0.36802515,0.021203608543556764,155,ELU,423-162,0.0,True,False,keras.regularizers.L1L2
34,0.38591325,0.0007597514413157481,92,ReLU,140,0.0,True,False,keras.regularizers.L1L2
35,0.17653419,0.04246130440484519,47,selu,386-367-492,0.0,False,True,keras.regularizers.L1L2
36,0.367167,0.03875978356983201,207,ELU,177-185-79,0.0,True,False,keras.regularizers.L1L2
37,0.27173677,0.04893572607804826,148,PReLU,89-47,0.0,False,True,None
38,0.3431462,0.031749470498134674,242,PReLU,157-64,0.0,True,False,keras.regularizers.L1L2
39,0.42520148,0.017143288625666813,126,selu,188,0.0,False,True,keras.regularizers.L1L2
40,0.3607334,0.020270532280275234,175,PReLU,115-97,0.0,True,False,keras.regularizers.L1L2
41,0.38277206,0.043186955702534585,99,selu,176,0.0,True,False,keras.regularizers.L1L2
42,0.3421322,0.034936072193779186,183,LeakyReLU,75,0.0,True,False,keras.regularizers.L1L2
43,0.17653419,0.028896730053968096,23,LeakyReLU,120-406,0.0,False,True,None
44,0.37677193,0.046285197953068125,141,ELU,93,0.0,True,False,keras.regularizers.L1L2
45,0.27504048,0.031782357902798444,246,ReLU,27-44-327,0.0,False,True,keras.regularizers.L1L2
46,0.20681033,0.030017747828093546,186,ELU,125-154-187,0.0,False,True,None
47,0.17319162,0.03485456042662534,126,LeakyReLU,438,0.0,False,True,None
48,0.38246942,0.012921929314261105,101,PReLU,112,0.0,True,False,None
49,0.37741476,0.04200044503465877,41,LeakyReLU,126,0.0,True,False,None
