idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
100,0.39237016,0.014712006954873623,99,PReLU,428-403-249,0.006369829646252463,True,False,None
101,0.37416488,0.008509268892311059,42,LeakyReLU,418-220,0.0002923941490629356,False,True,None
102,0.3855353,0.014828695182717223,150,ReLU,251-427-108,0.00809903708830614,True,False,None
103,0.363524,0.01464907149302876,29,LeakyReLU,481,0.002303887246155375,False,True,None
104,0.3758468,0.01559328087721071,127,ELU,437-162-463,0.007958498155398773,True,False,None
105,0.4188652,0.010594837438932714,11,ELU,140-82,0.001993688170740784,False,True,None
106,0.43044543,0.008970078927278042,60,ELU,213,0.0022559505179352503,False,True,None
107,0.38407117,0.012014398677097953,96,ReLU,96-243,0.007740936025054621,False,True,None
108,0.38964513,0.0009332382873573475,60,ELU,211-125-408,0.004767303227398706,True,False,None
109,0.38927895,0.008900737031065777,111,selu,210,0.00898425797248439,True,False,None
110,0.43567902,0.004068009545021358,29,ELU,75,0.0030365709304475443,False,True,None
111,0.41888526,0.013984346852773485,115,ReLU,388-167,0.003299376102836631,False,True,keras.regularizers.L1L2
112,0.42641324,0.0008960775263293175,24,ELU,65,0.0011705587434370846,False,True,keras.regularizers.L1L2
113,0.37929952,0.016055086292046484,30,ReLU,481,0.0073559857140546294,True,False,keras.regularizers.L1L2
114,0.38742772,0.0070682813105954305,34,selu,167-299,0.0057206383088697485,True,False,keras.regularizers.L1L2
115,0.386863,0.013599949621364267,126,selu,394-191-461,0.001963746428459915,True,False,None
116,0.36342597,0.011965350501725695,69,selu,113-220-381,0.002238168550869036,False,True,keras.regularizers.L1L2
117,0.4177583,0.009157359826192509,10,LeakyReLU,222-257-209,0.0014872297148870585,False,True,keras.regularizers.L1L2
118,0.42582136,0.004139918477494981,45,selu,199-263-251,0.006694801220277121,False,True,keras.regularizers.L1L2
119,0.37100613,0.009174941859675942,84,PReLU,356-208-192,0.009832668287997183,True,False,keras.regularizers.L1L2
120,0.3749463,0.010328574361261033,68,ReLU,450,0.003672554082368402,True,False,keras.regularizers.L1L2
121,0.38038686,0.002044713429362628,41,LeakyReLU,404,0.00864966018606804,True,False,keras.regularizers.L1L2
122,0.37162656,0.01164231903476323,19,ELU,88-95-214,0.004311378601040481,True,False,keras.regularizers.L1L2
123,0.37652227,0.011472867381420018,72,LeakyReLU,469,0.0006976794732784131,True,False,keras.regularizers.L1L2
124,0.4205363,0.006591988189325941,131,ELU,418-470,0.008507816036374833,False,True,keras.regularizers.L1L2
