idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
125,0.38320625,0.022053326341205527,28,selu,216,0.001,True,False,keras.regularizers.L1L2
126,0.28607684,0.0266137157766837,210,ELU,91-288-149,0.001,False,True,None
127,0.3816359,0.014581320556486194,199,ELU,170-121-32,0.001,True,False,None
128,0.3868603,0.03321967360602545,134,PReLU,287,0.001,True,False,None
129,0.36780238,0.01830653525237184,95,LeakyReLU,162-392-386,0.001,True,False,None
130,0.390836,0.008701244019648847,36,selu,218,0.001,True,False,None
131,0.22061034,0.03150541926476185,78,selu,177-58-451,0.001,False,True,keras.regularizers.L1L2
132,0.40731233,0.005840164265306253,145,PReLU,344-43-174,0.001,False,True,None
133,0.36023903,0.03140662090835249,164,PReLU,204-252-330,0.001,True,False,keras.regularizers.L1L2
134,0.38382766,0.0013354180105666581,187,ELU,92,0.001,True,False,keras.regularizers.L1L2
135,0.35513204,0.031175240424500084,88,ELU,429-222,0.001,True,False,keras.regularizers.L1L2
136,0.38659778,0.04075002340074769,15,ReLU,213-90,0.001,True,False,keras.regularizers.L1L2
137,0.37744945,0.046404862437101485,123,PReLU,293-320,0.001,True,False,None
138,0.4143732,0.019032042786024963,128,PReLU,50,0.001,False,True,None
139,0.23555914,0.0496468103339015,167,ELU,328-152-329,0.001,False,True,keras.regularizers.L1L2
140,0.26395896,0.042890967357434494,66,LeakyReLU,170,0.001,False,True,keras.regularizers.L1L2
141,0.3662626,0.010590491952316379,77,PReLU,268,0.001,True,False,keras.regularizers.L1L2
142,0.37258393,0.009461193178482354,185,LeakyReLU,83,0.001,True,False,None
143,0.4289964,0.009713844994776172,11,LeakyReLU,380-207,0.001,False,True,keras.regularizers.L1L2
144,0.38027695,0.03639241855581474,45,ELU,346-176,0.001,True,False,keras.regularizers.L1L2
145,0.22051483,0.03552592469732061,142,selu,143-37,0.001,False,True,None
146,0.42371047,0.0010261319318004226,126,ReLU,182-287,0.001,False,False,None
147,0.34903112,0.0356185133867392,254,LeakyReLU,272,0.001,True,False,keras.regularizers.L1L2
148,0.37921605,0.03390909568480501,90,ReLU,91,0.001,True,False,None
149,0.37859616,0.008893957354488764,124,ReLU,145-169-417,0.001,False,True,None
