idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
125,0.38671958,0.0003813946738097973,16,ELU,50-166,0.0011620946106522948,True,False,None
126,0.38458574,0.0006883123456743996,85,PReLU,347-89,0.0006989028427600788,True,False,keras.regularizers.L1L2
127,0.43131936,0.00031757250636781033,50,LeakyReLU,414,0.0014159415613409943,False,True,keras.regularizers.L1L2
128,0.3800553,0.0010590541874557994,69,LeakyReLU,490,0.0005478798301509291,True,False,keras.regularizers.L1L2
129,0.3777446,0.0013133752592448143,78,selu,446,0.001380966077555202,True,False,keras.regularizers.L1L2
130,0.43428993,0.0017563452132133119,41,ReLU,199,0.0019866454227515725,False,True,keras.regularizers.L1L2
131,0.43146583,0.00010628611764162965,24,LeakyReLU,432,0.001480933470276886,False,True,None
132,0.37667722,0.0007875751424924837,85,selu,487-159,0.0015504668901424577,True,False,keras.regularizers.L1L2
133,0.40035155,0.000905747401821369,69,ReLU,453-425,0.0012139500590144952,True,False,None
134,0.37252307,0.0017430772061735249,64,selu,445,0.0019245995000379908,True,False,keras.regularizers.L1L2
135,0.37822124,0.0018791179745568341,127,selu,187,0.0011908721958629029,True,False,keras.regularizers.L1L2
136,0.37767965,0.000550677114675584,73,ELU,350,0.0011018880053069418,True,False,None
137,0.36765057,0.0001381822091577769,49,selu,498-111,0.0005205382413811186,True,False,keras.regularizers.L1L2
138,0.3741996,0.0005115714004239971,140,ELU,424-84,0.0016240239246220762,True,False,keras.regularizers.L1L2
139,0.3859649,0.0017171112282103314,89,ReLU,463,0.001715352476908506,True,False,keras.regularizers.L1L2
140,0.40407377,0.0019658680820363768,18,LeakyReLU,87,0.001721269066562227,True,False,None
141,0.42262852,0.0009483804258756184,53,ELU,455,0.0019293982857405973,False,False,keras.regularizers.L1L2
142,0.4296226,0.0005558339056968535,107,selu,331-124,0.00040250124858690284,False,True,keras.regularizers.L1L2
143,0.36878708,0.00016265945072589693,101,selu,295,0.0006052269480927049,True,False,None
144,0.36351222,4.747525503721084e-05,119,selu,265-114,0.00016049670967903284,True,False,None
145,0.42438257,0.0007169799606080749,35,ELU,437,0.001217144718868188,False,False,keras.regularizers.L1L2
146,0.3762981,0.0007112821259484417,120,ELU,116-323,0.0016673185974270383,True,False,None
147,0.41857564,0.0013171944353851492,49,selu,209,0.00047031748824760846,False,True,None
148,0.38500255,0.0008342287401296611,60,PReLU,104,0.0005372085082816017,True,False,None
149,0.3789499,0.0015027146349947502,125,ELU,314,0.000616403094302704,True,False,keras.regularizers.L1L2
