idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
150,0.4223264,0.01659388476793431,126,PReLU,104,0.001,False,False,keras.regularizers.L1L2
151,0.38012314,0.027998269656697602,118,PReLU,413,0.001,True,False,None
152,0.14872769,0.04378047641157948,138,ELU,123,0.001,False,False,None
153,0.12162062,0.02250698564384454,250,ELU,380-268,0.001,False,False,None
154,0.29509678,0.014451019029028973,124,ReLU,492-42-419,0.001,False,True,keras.regularizers.L1L2
155,0.41497904,0.006187813864376963,139,ReLU,394-296-94,0.001,False,True,keras.regularizers.L1L2
156,0.2994487,0.01739243828747394,16,ELU,292,0.001,False,True,None
157,0.35868552,0.007045384518561621,216,ReLU,47-271-397,0.001,False,True,None
158,0.42329162,0.00563747091124921,83,selu,28-121-355,0.001,False,True,keras.regularizers.L1L2
159,0.36909094,0.03709986177437876,140,ELU,28,0.001,True,False,None
160,0.38525832,0.039786376745965406,20,PReLU,354-256,0.001,True,False,None
161,0.35176444,0.027672758669614595,243,ELU,396-488-324,0.001,True,False,None
162,0.20938683,0.020423406651689586,59,selu,439,0.001,False,True,None
163,0.24554983,0.041602625966449286,87,selu,117-187,0.001,False,True,keras.regularizers.L1L2
164,0.38118336,0.025089328679960155,118,ReLU,461-212-113,0.001,True,False,None
165,0.19028848,0.030230568075492237,69,LeakyReLU,482,0.001,False,False,None
166,0.4315306,0.01840491977459743,153,ELU,144,0.001,False,True,None
167,0.410833,0.011616659075570319,44,LeakyReLU,29,0.001,False,False,None
168,0.35993487,0.030271679441100298,53,selu,212-28,0.001,False,True,keras.regularizers.L1L2
169,0.22051483,0.04440137673259699,232,selu,276-322-238,0.001,False,False,None
170,0.17653419,0.03576634379867053,88,ELU,192-417-419,0.001,False,True,None
171,0.24219549,0.04734877158736309,61,ReLU,194,0.001,False,True,keras.regularizers.L1L2
172,0.3403477,0.021448473809777487,158,selu,78-130-109,0.001,False,True,None
173,0.37887466,0.002419710215874288,236,selu,370-205,0.001,True,False,None
174,0.34861475,4.3168624776562806e-05,254,LeakyReLU,461-141-444,0.001,True,False,None
