idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
150,0.4256234,0.00032983260313388497,71,ELU,148,0.0015854350558024435,False,True,keras.regularizers.L1L2
151,0.37644136,0.0016772266812754455,135,selu,168,0.0006813499243549066,True,False,None
152,0.435185,0.0018533836135975826,42,LeakyReLU,187-195,0.0018128147404703051,False,True,None
153,0.43052715,0.00022717890313004154,35,ReLU,119,0.0009188263356994701,False,True,None
154,0.42827928,0.0019498829062938494,100,LeakyReLU,120,0.0018461802839746786,False,True,None
155,0.37969166,0.0011873390265640172,38,selu,118,0.0018497371587207216,True,False,keras.regularizers.L1L2
156,0.42868373,0.0008140703985342888,31,PReLU,210,4.2204725727802876e-05,False,False,None
157,0.42876342,0.001660495684571418,101,ELU,444,0.001898085866436578,False,True,keras.regularizers.L1L2
158,0.3845076,0.0019349692913288215,112,PReLU,499-107,0.0017593024361639996,True,False,keras.regularizers.L1L2
159,0.42531496,0.00018519537802403962,115,LeakyReLU,199,0.001154228018459941,False,True,None
160,0.42862272,0.0003075777863316866,19,ELU,344,0.001005836230038481,False,True,None
161,0.35111225,0.0007144906898282017,77,ReLU,50-459,0.0012903622566384338,True,False,None
162,0.35282665,0.0002623054792805066,130,PReLU,400-236,0.0002515531907249151,True,False,keras.regularizers.L1L2
163,0.42324913,0.0013628091239344178,14,ReLU,258,0.0010920448224487835,False,False,keras.regularizers.L1L2
164,0.43590075,0.0016437365591803652,127,ReLU,131,0.00046602779447880316,False,True,None
165,0.08664553,6.554909820359889e-07,49,ELU,77,0.00029648799433288286,True,False,None
166,0.42195678,0.0008895407246553715,111,selu,303,0.0011952323991444242,False,True,None
167,0.4236566,0.0011955924547107928,98,ELU,494,0.0007300252896512694,False,True,keras.regularizers.L1L2
168,0.42359576,0.00047624430670361597,22,selu,213-101,0.0004706926151267934,False,True,keras.regularizers.L1L2
169,0.41951483,0.0014282583342744674,92,selu,288,0.0005977093578236767,False,False,keras.regularizers.L1L2
170,0.41588187,0.0007791625475567308,135,selu,394-457,0.0007106184875378832,False,False,keras.regularizers.L1L2
171,0.3806759,0.0006803511170976824,117,ELU,270-494,0.0014940459405876933,True,False,keras.regularizers.L1L2
172,0.3853727,0.001591746199454203,24,selu,53,0.0017677005100947385,True,False,keras.regularizers.L1L2
173,0.42099226,0.001633180754959271,28,selu,254-209,0.0018021566512198793,False,True,None
174,0.3885941,0.0012176156834880494,149,PReLU,493,0.0014601237695396287,True,False,None
