idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
150,0.39933062,0.0016004817602661536,24,PReLU,473-86,0.0001770485480021733,True,False,None
151,0.42268527,0.0018600975168413484,19,ReLU,400-362,0.0006847600904380185,False,True,None
152,0.3793965,0.00030321778127561695,75,ReLU,239-298,5.338237681053637e-05,True,False,keras.regularizers.L1L2
153,0.4339013,0.00022191331396136406,75,ReLU,380,0.0004018934199265567,False,True,keras.regularizers.L1L2
154,0.3549648,0.00016198960256685126,53,PReLU,107-379,0.00026742648201619055,True,False,keras.regularizers.L1L2
155,0.3897121,0.0019402005984127445,29,ReLU,277-391,0.0004032236497385158,True,False,None
156,0.40810812,0.001226486958816643,58,PReLU,144,0.00039013915581328454,True,False,None
157,0.43748996,0.00024375776419324137,27,PReLU,201,0.0002645467650888708,False,True,None
158,0.42772225,0.001993702162423907,30,PReLU,396-454,0.00035763734722197096,False,True,keras.regularizers.L1L2
159,0.4305076,0.0010303450952138375,27,PReLU,471-139,0.0006659497463268795,False,True,keras.regularizers.L1L2
160,0.43112767,0.0011117320912097798,24,ReLU,222-184,0.0008948445166890949,False,True,keras.regularizers.L1L2
161,0.3978498,0.0009942309923398642,54,ReLU,403-236,0.00011327992087858141,True,False,keras.regularizers.L1L2
162,0.38175872,0.000436746434420356,72,ReLU,189,8.729525612486388e-05,True,False,keras.regularizers.L1L2
163,0.43068552,9.306429294457486e-05,14,PReLU,75-228,0.00016035318813763277,False,True,keras.regularizers.L1L2
164,0.3623562,0.00026571224668122317,55,ReLU,426-342,0.000576868928166962,True,False,None
165,0.4028669,0.0007925264665509146,19,ReLU,339-437,4.538946048471293e-05,True,False,None
166,0.39547196,0.000840889905158007,14,ReLU,344-319,0.00047169331814924986,True,False,None
167,0.43117985,0.0015522578887399885,36,PReLU,89-184,0.00043851789050223947,False,True,None
168,0.39574862,0.0018145513796003782,60,ReLU,193,0.0006943918127733797,True,False,None
169,0.38634777,0.0018875949316588506,44,ReLU,322,0.0002623861921399519,True,False,None
170,0.43524873,0.0003492633493595665,12,PReLU,124,0.0006887389857844471,False,True,None
171,0.43852755,0.0003237746590939117,43,PReLU,455,1.1648234768687039e-05,False,True,None
172,0.4320611,0.0006779998502245071,45,ReLU,230,0.0006211171723030363,False,True,keras.regularizers.L1L2
173,0.4233699,0.0004275734555460409,59,ReLU,304-415,0.0008961452956011902,False,False,None
174,0.43142846,0.001376274188184017,27,PReLU,223-487,5.346283073231051e-05,False,True,None
175,0.3771131,0.0004749026459177228,41,ReLU,270-243,0.0002464894749496844,True,False,None
176,0.43786532,0.0012683031457066576,75,ReLU,346,0.00044295349485792303,False,True,None
177,0.38062,0.001878521848920498,27,PReLU,329-336,0.000888094377610878,True,False,keras.regularizers.L1L2
178,0.4361113,0.001324751625017126,79,ReLU,167-202,0.000512948608568125,False,True,None
179,0.42091453,0.00025415483776105474,43,ReLU,119,0.0005620440182764707,False,False,None
180,0.43204463,0.00012677504695931874,41,ReLU,354,0.0005629009834594228,False,True,keras.regularizers.L1L2
181,0.4376998,0.000898019768141753,60,ReLU,296-177,0.0007177848266848166,False,True,None
182,0.43425477,0.0002299079184502162,60,ReLU,457-144,0.0009341917757375018,False,True,keras.regularizers.L1L2
183,0.43370134,0.0010365414726935048,49,PReLU,244-366,0.0008170490220235881,False,True,keras.regularizers.L1L2
184,0.41172105,0.001221595294887843,37,ReLU,86-194,0.0001252368414950784,False,False,None
185,0.38863912,0.0015306112166124082,70,PReLU,381,0.00027407192380402435,True,False,keras.regularizers.L1L2
186,0.43177855,0.0005414791827326171,65,PReLU,114-308,0.00044651632688212797,False,True,None
187,0.43157732,0.0018987596549002528,58,ReLU,132-262,0.0005898149051229692,False,True,keras.regularizers.L1L2
188,0.4253765,0.0018535934992594892,46,ReLU,67-355,0.00034795175462901275,False,True,None
189,0.42932045,0.0013386712113524933,62,PReLU,446-255,0.00026577612002349474,False,False,None
190,0.40017685,0.001598419194172073,18,PReLU,385,0.0002443894529979789,True,False,None
191,0.40059745,4.480071533519325e-05,71,ReLU,345-63,0.000732959808670916,False,True,None
192,0.37619752,0.0004600543515315023,68,ReLU,171-227,0.00018028741511415125,True,False,keras.regularizers.L1L2
193,0.43396235,0.000698209806203584,48,ReLU,224,0.0005976005184111464,False,True,None
194,0.4333985,0.0005861873023652197,24,ReLU,236-106,0.0007532172189397363,False,True,None
195,0.42692286,0.0016063316043912743,42,ReLU,231-381,0.0008843592136619879,False,True,None
196,0.43329346,0.0003119838622026696,50,ReLU,453,0.0008121401259303143,False,True,None
197,0.38531578,0.001963100674964977,16,ReLU,256-153,0.0002124982320880533,True,False,keras.regularizers.L1L2
198,0.42901814,0.001617132279597989,24,PReLU,311,0.0005197306293033692,False,True,keras.regularizers.L1L2
199,0.4285031,0.00154855871665502,31,ReLU,324-276,0.0003729423735900097,False,False,keras.regularizers.L1L2
