idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
175,0.42214864,0.009696890385428682,249,selu,45,0.001,False,True,keras.regularizers.L1L2
176,0.35402918,0.014756376315105707,121,ReLU,429-84-330,0.001,True,False,keras.regularizers.L1L2
177,0.41804492,0.012315782136606746,183,LeakyReLU,74,0.001,False,False,None
178,0.3709936,0.02873083570378393,106,LeakyReLU,61-436-26,0.001,False,True,keras.regularizers.L1L2
179,0.18024348,0.03625559640906699,177,ELU,297,0.001,False,True,None
180,0.37026536,0.00015711526862286496,24,LeakyReLU,43,0.001,True,False,None
181,0.37467936,0.03363237554138412,57,ELU,351-359-73,0.001,True,False,None
182,0.22051483,0.04300043535821132,22,selu,496,0.001,False,True,None
183,0.42982396,0.03002330816205305,188,ELU,25,0.001,False,True,keras.regularizers.L1L2
184,0.15514177,0.04322734452468699,229,LeakyReLU,174-126,0.001,False,True,None
185,0.17653419,0.03353989689290329,130,LeakyReLU,28-375,0.001,False,False,None
186,0.34050542,0.03157245749662159,250,LeakyReLU,462-401,0.001,True,False,keras.regularizers.L1L2
187,0.3985362,0.043418824880664675,16,ELU,358-57,0.001,True,False,keras.regularizers.L1L2
188,0.3888495,0.02408314506320344,206,ReLU,453,0.001,True,False,None
189,0.25638962,0.030893341259291725,169,ELU,423-195,0.001,False,True,keras.regularizers.L1L2
190,0.22057533,0.00924899967453703,32,selu,497-222,0.001,False,True,None
191,0.37212446,0.022588149088934185,135,ReLU,32-196,0.001,True,False,keras.regularizers.L1L2
192,0.2366961,0.049900324937574195,186,selu,163,0.001,False,True,None
193,0.37028557,0.006106447455731523,182,ELU,328-105-467,0.001,True,False,keras.regularizers.L1L2
194,0.22057533,0.040605002273193934,234,ReLU,114-442-263,0.001,False,True,None
195,0.373697,0.04839850508632437,87,PReLU,306-236-217,0.001,True,False,keras.regularizers.L1L2
196,0.4232938,0.008255317335483193,240,ReLU,465,0.001,False,False,None
197,0.3938542,0.045795862791481665,118,LeakyReLU,318,0.001,True,False,None
198,0.3929134,0.011566004578304541,13,selu,224-44,0.001,False,True,None
199,0.15514177,0.04485200937207062,104,PReLU,181-355-265,0.001,False,True,None
