idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
200,0.22309339,0.0340168985356293,120,selu,418-333,0.0,False,True,keras.regularizers.L1L2
201,0.3839082,0.023542361415072988,71,ELU,436-202,0.0,True,False,None
202,0.17653419,0.044358209804678535,95,ELU,299-313-342,0.0,False,False,None
203,0.37426051,0.011747831550159515,33,ELU,333,0.0,True,False,keras.regularizers.L1L2
204,0.2538522,0.03328368044369932,84,ELU,366,0.0,False,True,keras.regularizers.L1L2
205,0.37711143,0.0358169059291629,126,ELU,339-459,0.0,True,False,None
206,0.17653419,0.04837665606091376,15,selu,392,0.0,False,False,None
207,0.38194484,0.0015045693201789557,229,LeakyReLU,460-34-333,0.0,True,False,keras.regularizers.L1L2
208,0.37975204,0.015747999962960436,115,LeakyReLU,346-478-432,0.0,True,False,keras.regularizers.L1L2
209,0.22051483,0.01789692937180685,29,LeakyReLU,499-197-376,0.0,False,True,keras.regularizers.L1L2
210,0.22051483,0.026535388769168763,152,selu,232-217-274,0.0,False,True,None
211,0.19912241,0.026765724064823405,159,LeakyReLU,204-315-214,0.0,False,False,keras.regularizers.L1L2
212,0.41761807,0.03015696806749607,252,selu,81-188,0.0,False,True,keras.regularizers.L1L2
213,0.37059486,0.011542061807754873,85,selu,452,0.0,True,False,keras.regularizers.L1L2
214,0.22051483,0.03994745824586821,107,ELU,190-421-185,0.0,False,True,None
215,0.14630786,0.022398817376725236,41,LeakyReLU,354-233,0.0,False,True,None
216,0.053460345,0.020697980584052696,77,LeakyReLU,136-477,0.0,False,True,None
217,0.37328663,0.012886103100235857,44,LeakyReLU,194-263-117,0.0,True,False,keras.regularizers.L1L2
218,0.38417894,0.037374984211028923,115,ReLU,432,0.0,True,False,None
219,0.4247595,0.004586201445661459,48,selu,495,0.0,False,True,None
220,0.362432,0.005721118046179547,190,LeakyReLU,142,0.0,True,False,keras.regularizers.L1L2
221,0.3665002,0.02649849857329762,114,PReLU,161-338,0.0,True,False,None
222,0.37567514,0.00751459720945234,118,selu,397-421-61,0.0,True,False,None
223,0.4230367,0.010095883164304938,63,selu,76,0.0,False,True,None
224,0.24668142,0.02230670352747216,219,ELU,411-142,0.0,False,True,None
225,0.29964858,0.019199243037831833,73,PReLU,379-147-143,0.0,False,True,keras.regularizers.L1L2
226,0.3809665,0.01765047794669707,150,ELU,190-274,0.0,True,False,None
227,0.36211747,0.03357788336914929,114,PReLU,63-58-416,0.0,True,False,keras.regularizers.L1L2
228,0.3945569,0.018088367518556636,108,selu,43-413,0.0,False,True,None
229,0.27568203,0.025460998233831272,109,ReLU,251-239-178,0.0,False,True,keras.regularizers.L1L2
230,0.30910277,0.028974733051546676,184,PReLU,172-299,0.0,False,True,keras.regularizers.L1L2
231,0.36553562,0.044529365493561394,188,ELU,149,0.0,True,False,keras.regularizers.L1L2
232,0.22051483,0.032601581544989267,32,ReLU,229-396-148,0.0,False,True,keras.regularizers.L1L2
233,0.18890168,0.030245786507602047,85,PReLU,58-281-271,0.0,False,True,None
234,0.42491442,0.010821484483869177,253,PReLU,334-487,0.0,False,True,keras.regularizers.L1L2
235,0.41343537,0.00583979658714423,167,ReLU,119-325-220,0.0,False,True,keras.regularizers.L1L2
236,0.23983273,0.03898873861325682,131,ReLU,99-237,0.0,False,True,None
237,0.3253989,0.04466979656707007,83,LeakyReLU,484-296-321,0.0,True,False,keras.regularizers.L1L2
238,0.2206581,0.023768136756043112,96,ELU,383-248-422,0.0,False,False,keras.regularizers.L1L2
239,0.13990922,0.032097211074837075,126,PReLU,275-129-499,0.0,False,True,None
240,0.38101137,0.0065000844940551585,101,ELU,392,0.0,True,False,keras.regularizers.L1L2
241,0.35511643,0.02935213730260258,187,LeakyReLU,342-50-463,0.0,True,False,None
242,0.43035552,0.005793421213083872,199,selu,179,0.0,False,True,None
243,0.42117697,0.0064057476331446876,245,selu,408,0.0,False,True,None
244,0.37388307,0.005064220224199606,135,ReLU,422-386-222,0.0,True,False,None
245,0.3799014,0.01753951171973891,55,ELU,248-210-350,0.0,True,False,keras.regularizers.L1L2
246,0.23867616,0.020800721788656593,171,LeakyReLU,209-371,0.0,False,True,None
247,0.17653419,0.03186328275316959,107,PReLU,296-44-331,0.0,False,True,None
248,0.22051483,0.042329277710817195,20,LeakyReLU,286-193-107,0.0,False,True,None
249,0.24683903,0.04412504665297764,85,PReLU,488,0.0,False,True,keras.regularizers.L1L2
