idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
250,0.37944022,0.037763163715828454,18,ELU,420-67-314,0.001,True,False,keras.regularizers.L1L2
251,0.41168553,0.0007511441195323598,256,selu,100-326-298,0.001,False,True,keras.regularizers.L1L2
252,0.3746391,0.04986092752969707,221,selu,353-203-431,0.001,True,False,keras.regularizers.L1L2
253,0.38878018,0.013048963808101572,96,PReLU,303-317-100,0.001,False,True,None
254,0.39048612,0.0378138555801972,19,LeakyReLU,487-274,0.001,True,False,None
255,0.37446898,0.04599656881504019,156,ELU,245-67-206,0.001,True,False,None
256,0.23803166,0.018924368342243494,122,LeakyReLU,365-374,0.001,False,True,keras.regularizers.L1L2
257,0.24412917,0.02623751258549359,114,selu,382-265,0.001,False,True,keras.regularizers.L1L2
258,0.4220453,0.0006988472372306599,187,PReLU,448,0.001,False,False,keras.regularizers.L1L2
259,0.36823195,0.03500506178812994,250,PReLU,260,0.001,True,False,keras.regularizers.L1L2
260,0.27193862,0.03471805439209819,66,LeakyReLU,321,0.001,False,True,keras.regularizers.L1L2
261,0.34200722,0.021720032155082666,148,ReLU,66-404,0.001,False,True,keras.regularizers.L1L2
262,0.3738195,0.025110765110139984,214,PReLU,339-411-288,0.001,True,False,None
263,0.17653419,0.049851474038285916,100,ReLU,143-457,0.001,False,False,None
264,0.37913617,0.022557888689512907,229,ELU,250-93,0.001,True,False,None
265,0.3635148,0.03909626691694016,200,LeakyReLU,348-426-197,0.001,True,False,None
266,0.4236388,0.0023021475933337867,19,ELU,215,0.001,False,False,keras.regularizers.L1L2
267,0.3675099,0.018711077209210142,38,selu,434-421,0.001,True,False,keras.regularizers.L1L2
268,0.15514177,0.04943416121634912,219,ELU,287-308,0.001,False,True,None
269,0.39230853,0.025588969953452546,85,ELU,245-118-146,0.001,False,True,keras.regularizers.L1L2
270,0.3786549,0.037349081532755256,144,PReLU,121,0.001,True,False,keras.regularizers.L1L2
271,0.37129027,0.016139425492191436,49,LeakyReLU,468-79-227,0.001,True,False,keras.regularizers.L1L2
272,0.37059706,0.041593001880724755,195,LeakyReLU,118,0.001,True,False,None
273,0.37221432,0.0349905703574642,65,selu,414-104-52,0.001,True,False,None
274,0.37328386,0.0020313369530452984,51,selu,77-314-282,0.001,True,False,keras.regularizers.L1L2
