idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
250,0.42850327,0.006266430094830317,75,LeakyReLU,328,0.0,False,True,None
251,0.10830091,0.01772652348574399,68,ELU,185-36-472,0.0,False,False,None
252,0.35471314,0.02313485889991576,228,ReLU,303-416-25,0.0,True,False,None
253,0.37978262,0.02713328584644592,18,ELU,149-246,0.0,True,False,None
254,0.43512738,0.00021121765376084234,75,ELU,470-271-289,0.0,False,True,None
255,0.42769402,0.016222304629329023,116,selu,118,0.0,False,True,None
256,0.40116262,0.01646720768833418,255,ELU,330,0.0,False,False,keras.regularizers.L1L2
257,0.36157352,0.04007350788926225,206,LeakyReLU,185-398,0.0,True,False,keras.regularizers.L1L2
258,0.4198981,0.02986044441189698,163,ELU,246,0.0,False,True,keras.regularizers.L1L2
259,0.17662969,0.026624606037282356,186,ReLU,488-346-124,0.0,False,True,None
260,0.43339866,0.0024947250988732184,235,PReLU,144,0.0,False,True,keras.regularizers.L1L2
261,0.3669286,0.017315311159824272,233,selu,189-85,0.0,True,False,keras.regularizers.L1L2
262,0.33246684,0.036811042095565676,99,LeakyReLU,121,0.0,False,True,keras.regularizers.L1L2
263,0.38177627,0.02189938539145523,64,LeakyReLU,282-219,0.0,True,False,keras.regularizers.L1L2
264,0.3731668,0.015882053968761408,68,LeakyReLU,76-334,0.0,True,False,None
265,0.35386777,0.024982688600690806,246,PReLU,376-120-222,0.0,True,False,None
266,0.43115455,0.0026386427278382698,176,ReLU,55,0.0,False,True,None
267,0.3783452,0.020994123676014068,11,PReLU,403-219,0.0,True,False,keras.regularizers.L1L2
268,0.17683667,0.019712408180853402,214,LeakyReLU,457-230,0.0,False,True,None
269,0.39870173,0.02193036977999311,122,LeakyReLU,79-83,0.0,False,True,keras.regularizers.L1L2
270,0.36113697,0.049660003355270904,254,ReLU,251-367,0.0,True,False,keras.regularizers.L1L2
271,0.4301421,0.0028033596053400503,239,LeakyReLU,196,0.0,False,True,keras.regularizers.L1L2
272,0.3717978,0.048849801127608596,211,selu,82,0.0,True,False,None
273,0.22318888,0.031443835400234904,54,selu,451-399-202,0.0,False,True,keras.regularizers.L1L2
274,0.40873283,0.036782060007754656,132,PReLU,150,0.0,False,True,keras.regularizers.L1L2
275,0.22051483,0.03764462147972081,91,ReLU,255-307,0.0,False,False,None
276,0.3404246,0.04519231161782077,124,selu,163-153,0.0,True,False,keras.regularizers.L1L2
277,0.21478541,0.03106801301535449,195,PReLU,345,0.0,False,True,None
278,0.37437043,0.037805556836639886,17,selu,128,0.0,True,False,None
279,0.2796336,0.040434565084920215,118,ReLU,136,0.0,False,True,None
280,0.42151356,0.0002848667973218699,22,selu,104-226-348,0.0,False,True,keras.regularizers.L1L2
281,0.37842008,0.0010701850092627696,29,ReLU,57-59,0.0,True,False,keras.regularizers.L1L2
282,0.37599683,0.04479066465010855,131,selu,193-269,0.0,True,False,None
283,0.35376322,0.02286588402781069,192,PReLU,446-458-64,0.0,True,False,keras.regularizers.L1L2
284,0.37317002,0.03617058054640339,29,ELU,255,0.0,True,False,None
285,0.42220843,0.010177259403007883,235,PReLU,229-277,0.0,False,True,None
286,0.38694847,0.0096385368085875,190,ReLU,309,0.0,True,False,None
287,0.18575013,0.04377765367973144,52,ReLU,98,0.0,False,True,None
288,0.3952152,0.019687815404547438,97,ReLU,245,0.0,True,False,None
289,0.22051483,0.029053122302555492,29,selu,186-284-497,0.0,False,True,keras.regularizers.L1L2
290,0.3979625,0.015077543500659558,49,LeakyReLU,213-116,0.0,False,True,keras.regularizers.L1L2
291,0.17653419,0.040431939381997906,254,ELU,117-290-191,0.0,False,True,None
292,0.38339263,0.025715047061307124,65,LeakyReLU,391,0.0,True,False,None
293,0.2977553,0.012839029888364063,237,selu,305,0.0,False,True,None
294,0.36323833,0.01933137730815824,84,ReLU,426-282,0.0,True,False,keras.regularizers.L1L2
295,0.14630786,0.024248602701070866,121,ReLU,347-386,0.0,False,True,None
296,0.38715327,0.029590027507507423,68,ReLU,402,0.0,True,False,None
297,0.3587385,0.01957329602484737,191,ELU,156-362-214,0.0,True,False,keras.regularizers.L1L2
298,0.17653419,0.04032050526621725,208,selu,192-150-105,0.0,False,True,None
299,0.37486276,0.013439682985787843,227,PReLU,248-146-369,0.0,False,True,None
