idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
250,0.4326598,0.0003185510742927904,127,LeakyReLU,399-449,0.001060463032759087,False,True,None
251,0.39909726,0.001263522374000843,72,ReLU,259-113,0.0012883057821638593,True,False,keras.regularizers.L1L2
252,0.37686142,0.0012006936406035859,74,selu,312,0.0007542784372704133,True,False,None
253,0.387089,0.0007128270256785476,96,ReLU,477-362,0.001358160330126046,True,False,keras.regularizers.L1L2
254,0.43604738,0.0003866574923838528,144,ReLU,302-120,0.001361018435178231,False,True,None
255,0.37468052,0.0005611306865878052,136,PReLU,258,0.00182550594861079,True,False,None
256,0.38415122,0.0015140305890957008,79,ReLU,101-73,0.0011358665596388473,True,False,keras.regularizers.L1L2
257,0.430129,0.0010305317708595788,30,LeakyReLU,252-342,0.0009351147894361814,False,True,None
258,0.42895728,0.0018541052931450063,88,LeakyReLU,195,0.0013633868150865567,False,True,keras.regularizers.L1L2
259,0.3712674,0.00023695707842361324,62,LeakyReLU,332-96,0.0016991532059069492,True,False,keras.regularizers.L1L2
260,0.3770569,0.0015440005303642276,117,ELU,154,0.00011577365636439918,True,False,keras.regularizers.L1L2
261,0.37417245,0.0018469259389566214,56,selu,214-125,0.0009284034728438489,True,False,keras.regularizers.L1L2
262,0.43193656,0.0014041227221127063,138,PReLU,447,0.0017200186856095024,False,True,keras.regularizers.L1L2
263,0.39803183,0.0015085003811295492,106,ReLU,137,0.000536125650200159,True,False,keras.regularizers.L1L2
264,0.42306674,0.0003638643151842842,40,selu,116-399,0.0016214460829401037,False,True,keras.regularizers.L1L2
265,0.40566856,0.0015020075837717723,27,PReLU,443-259,0.0019137117329726596,True,False,None
266,0.4298488,0.0017003653397486094,80,ELU,113,0.0002704317737028208,False,True,None
267,0.41770625,0.0013236231715010901,113,ELU,157-336,0.000850176711389828,False,False,None
268,0.41906875,0.0018838238671479073,79,ReLU,128-300,0.0010683960048819814,False,False,None
269,0.38005313,0.0019638929754579354,95,selu,208-314,0.00034707948198319503,True,False,None
270,0.43258366,0.000857098506240495,29,PReLU,124-266,0.0009613599352281617,False,True,None
271,0.43239266,0.0008209848912233224,142,ReLU,315,0.001039539364690037,False,True,None
272,0.42994124,0.0019098462866983035,52,LeakyReLU,320-85,0.0006950089521325023,False,True,keras.regularizers.L1L2
273,0.38228163,0.0008521982110201998,68,LeakyReLU,246-72,0.0017354971387848462,True,False,None
274,0.44176835,0.00029065529185619667,48,ReLU,463-435,0.0006116554015849762,False,True,None
275,0.424328,9.423748367936047e-05,40,LeakyReLU,465-234,0.000654887381670175,False,False,None
276,0.36806452,0.00010603875010920038,124,ELU,342-393,0.0016246281741773324,True,False,keras.regularizers.L1L2
277,0.41440856,0.001486818647322426,19,ELU,370,0.0008038296937841571,False,False,keras.regularizers.L1L2
278,0.36792147,0.0011158808628582144,99,selu,187-76,0.001938652998163023,True,False,None
279,0.33390027,0.00011835688107817855,76,ReLU,118-122,0.0010832179314432286,True,False,keras.regularizers.L1L2
280,0.41459545,0.0010189479228928395,101,ELU,151-464,0.0010202859660270755,False,False,keras.regularizers.L1L2
281,0.42693865,0.0011111897277358666,84,ELU,185,0.0017223443417197094,False,True,keras.regularizers.L1L2
282,0.42136046,0.0016265795273781346,112,selu,58,0.0009199217334468852,False,True,keras.regularizers.L1L2
283,0.3784097,0.0015295162749074452,145,ELU,263,0.000722823298539254,True,False,keras.regularizers.L1L2
284,0.39045095,0.001272018098114185,48,selu,491,7.882774915376633e-05,True,False,keras.regularizers.L1L2
285,0.37409747,0.0005117748890494774,108,LeakyReLU,140-333,0.0009286897299062797,True,False,keras.regularizers.L1L2
286,0.42796063,0.0009006045463182524,19,ReLU,362,0.0018387533667181839,False,False,None
287,0.3774863,0.0007529375454513596,65,ELU,185-270,0.0011555862082997474,True,False,None
288,0.36988336,0.0005861564566473854,47,PReLU,223-71,0.001617225954114754,True,False,keras.regularizers.L1L2
289,0.39020252,0.0018803327235020644,43,ReLU,168-266,0.0019050250783503554,True,False,None
290,0.37187666,0.0008210971069857607,133,ELU,152-204,0.0007166734634845378,True,False,keras.regularizers.L1L2
291,0.38656202,0.00036149299487633126,107,LeakyReLU,439,0.00018114902422541746,True,False,keras.regularizers.L1L2
292,0.4232751,0.0019026177746912952,93,selu,335,0.00037685082180002107,False,True,None
293,0.3846286,0.0018223284807815181,68,PReLU,292-476,0.0009735405137252174,True,False,keras.regularizers.L1L2
294,0.4367059,0.001164681390151735,38,ReLU,111,0.0007202393525325078,False,True,keras.regularizers.L1L2
295,0.4307625,0.0011881584947356781,90,selu,219-166,0.0009913659589355286,False,True,keras.regularizers.L1L2
296,0.4254681,0.0008820380152853749,37,ELU,326-402,0.00044560581283847146,False,True,None
297,0.36741966,0.0004104581169173922,127,ReLU,225-190,0.0003122269179277206,True,False,None
298,0.30434212,1.3565416911374806e-05,67,LeakyReLU,253-200,0.0016034569814747707,False,True,None
299,0.4144016,0.0016157446874117537,140,selu,124,0.0004354951483329972,False,False,None
