idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
25,0.38770062,0.018804937237587745,89,ELU,173-189-454,0.00924130720416769,False,False,keras.regularizers.L1L2
26,0.43400037,0.008619093286816246,126,ReLU,342,0.006198809591360043,False,True,keras.regularizers.L1L2
27,0.4319505,0.005079644009292477,40,LeakyReLU,472,0.0044048282650373536,False,True,keras.regularizers.L1L2
28,0.37550387,0.01715217117687931,36,ELU,374,0.0007828280833612378,True,False,keras.regularizers.L1L2
29,0.38007557,0.0165796627418287,33,PReLU,399-293-468,0.0001492880657424145,True,False,None
30,0.3604071,0.016275792403698273,96,selu,341-446,0.003688623098245539,False,True,keras.regularizers.L1L2
31,0.41724235,0.016503093236441852,35,ELU,353-250-218,0.009216245945595641,False,True,keras.regularizers.L1L2
32,0.36804435,0.01437787165391742,103,selu,157-183-344,0.009405205093854252,True,False,keras.regularizers.L1L2
33,0.39495027,0.010662251389886001,33,PReLU,415-448-430,0.009707773084584995,False,False,keras.regularizers.L1L2
34,0.40281284,0.013105706900394948,38,ELU,298,0.004976234804970866,True,False,None
35,0.42907253,0.0025418990748940717,94,ELU,499,0.0069552741970259,False,True,keras.regularizers.L1L2
36,0.38311207,0.01869166856985891,106,LeakyReLU,98,0.005092052958938854,True,False,None
37,0.21370047,0.014618087666132767,47,ELU,259-338-140,0.008610661870070377,False,True,None
38,0.39155498,0.010851053413611278,109,PReLU,104-408,0.009044250723926443,True,False,None
39,0.39699388,0.00457261512980872,17,selu,196-77,0.003811108981172593,True,False,None
40,0.42019677,0.015789703827212006,104,selu,263-431,0.009769188811220903,False,True,keras.regularizers.L1L2
41,0.39885938,0.018835685602611493,22,LeakyReLU,408,0.005906755450959013,True,False,None
42,0.3774647,0.01601669380512549,118,ELU,247-107-492,0.0012238795159134719,True,False,None
43,0.15514177,0.0181310332113873,35,ELU,494-272,0.004042190885314969,False,True,None
44,0.28155535,0.019206303675531493,139,ELU,310-75-206,0.002258029056601658,False,True,None
45,0.3198199,0.01575370163629169,106,ReLU,278-177-205,0.0007404070175617739,False,True,keras.regularizers.L1L2
46,0.3828385,0.007936888039874206,150,LeakyReLU,357-91,0.008458867860471739,True,False,None
47,0.3840347,0.014618851086771299,47,PReLU,138-100-120,0.003748569413481193,False,True,keras.regularizers.L1L2
48,0.43877226,0.002388922187965663,20,ReLU,495-177,0.0033965579001370262,False,True,None
49,0.4241713,3.385525432020531e-05,43,ELU,327,0.0002743067831006041,False,True,None
