idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
275,0.43712342,0.0010460220272010296,28,PReLU,225-123,0.0009035420597671198,False,True,None
276,0.3990689,0.0014545303837684021,20,ReLU,315,0.000265518658747207,True,False,keras.regularizers.L1L2
277,0.40144762,0.0006995837089564103,45,ReLU,450-415,0.0007770928312022745,True,False,None
278,0.3990881,0.0008932912420278476,16,ReLU,130,0.0004109367366204655,True,False,None
279,0.39114174,0.0018542887438888266,49,ReLU,387-409,0.0004918494143818092,True,False,keras.regularizers.L1L2
280,0.36351544,0.0001540179260068899,15,ReLU,170,0.0009952433062179417,True,False,None
281,0.38576204,0.0016862989552427182,48,PReLU,138-497,0.0009885782831785049,True,False,keras.regularizers.L1L2
282,0.4347892,0.0008217500892844922,22,PReLU,146-166,0.0006904409145500343,False,True,keras.regularizers.L1L2
283,0.34092444,4.791954417515632e-05,46,PReLU,226-490,0.000188427543877724,True,False,keras.regularizers.L1L2
284,0.43177462,0.0007708625724673344,41,ReLU,312-376,0.0006964281034148502,False,True,keras.regularizers.L1L2
285,0.4379255,0.0015483394248794623,39,PReLU,299,0.0005755455873825894,False,True,None
286,0.4319634,0.0017210933817822366,48,ReLU,228-466,0.00032433626963012454,False,True,keras.regularizers.L1L2
287,0.43322057,0.0008730868377317047,41,PReLU,346-287,0.0005143577211608143,False,True,None
288,0.38739794,0.0012629893355499855,20,PReLU,334,0.0006456182490695702,True,False,keras.regularizers.L1L2
289,0.42657804,0.0002091861034703033,14,ReLU,113-334,0.0009836091584453765,False,False,None
290,0.39342085,0.0011654952341046921,35,ReLU,495,0.0003496746944270414,True,False,keras.regularizers.L1L2
291,0.38648474,0.00018685037440674423,11,PReLU,273,0.0006222755551067924,True,False,None
292,0.4330355,0.0009898198928226497,29,ReLU,385,0.0002311881542633425,False,True,keras.regularizers.L1L2
293,0.31776434,2.6540175864508743e-05,49,ReLU,304-442,0.0008023502096107572,True,False,None
294,0.39459682,0.0005798445588361922,37,ReLU,467-419,0.0004822247960165201,True,False,keras.regularizers.L1L2
295,0.43458003,0.0008676787425009496,29,ReLU,209,4.507894942213375e-05,False,True,None
296,0.43302023,0.0018738190743343302,20,PReLU,459,0.0009067831337936859,False,True,None
297,0.4343472,0.0006136736811736888,39,ReLU,160,0.00045012812852741646,False,True,None
298,0.43822813,0.00035937767200871893,22,ReLU,250,0.0002673111373566549,False,True,keras.regularizers.L1L2
299,0.43446228,0.0014090960645932453,28,ReLU,316,0.0004395494117705653,False,True,keras.regularizers.L1L2
