idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
300,0.38813257,0.0065041469747404105,192,ELU,149,0.001,True,False,keras.regularizers.L1L2
301,0.18169333,0.036503856739070834,135,ELU,262-202-129,0.001,False,False,None
302,0.36050993,0.005805906107643116,196,PReLU,286-310,0.001,True,False,keras.regularizers.L1L2
303,0.39852995,0.026189333823108042,137,PReLU,104-62,0.001,False,True,keras.regularizers.L1L2
304,0.22242486,0.046466090900297075,230,LeakyReLU,489-70,0.001,False,False,keras.regularizers.L1L2
305,0.2233454,0.028882147597541447,207,LeakyReLU,136-237-355,0.001,False,True,keras.regularizers.L1L2
306,0.22051483,0.03060035656934972,81,selu,93-389,0.001,False,False,keras.regularizers.L1L2
307,0.37109262,0.020178215698334858,95,ReLU,76-261,0.001,True,False,keras.regularizers.L1L2
308,0.37110636,0.029367473060482648,249,LeakyReLU,37-344,0.001,True,False,None
309,0.38108158,0.01439329190897004,37,LeakyReLU,35-227-143,0.001,True,False,None
310,0.27221087,0.01909384658764785,103,selu,188-259,0.001,False,True,None
311,0.34939647,0.041294594401421414,256,LeakyReLU,413-222-450,0.001,True,False,None
312,0.35174865,0.011803562243885096,174,selu,365-159,0.001,True,False,keras.regularizers.L1L2
313,0.4315906,0.011137675734435748,255,ReLU,172,0.001,False,True,keras.regularizers.L1L2
314,0.3642824,0.010192936324288965,109,ReLU,53-55-234,0.001,True,False,keras.regularizers.L1L2
315,0.35630777,0.0031175723042033143,256,LeakyReLU,348-387,0.001,True,False,keras.regularizers.L1L2
316,0.22051483,0.04762334925882504,51,ReLU,412-251-343,0.001,False,True,keras.regularizers.L1L2
317,0.38787413,0.03931051704030045,11,LeakyReLU,86-52-83,0.001,True,False,keras.regularizers.L1L2
318,0.38399795,0.027590633859402847,24,selu,227-91,0.001,True,False,None
319,0.38408053,0.004393397722826331,115,ELU,265-95,0.001,True,False,None
320,0.22051483,0.039576683193913005,175,LeakyReLU,165-424-472,0.001,False,True,None
321,0.22051483,0.03948967417138559,118,ELU,469-485-237,0.001,False,True,keras.regularizers.L1L2
322,0.14630786,0.029381877388034577,68,PReLU,495-338,0.001,False,True,None
323,0.38674068,0.03296243668047766,37,ReLU,30-38-494,0.001,True,False,keras.regularizers.L1L2
324,0.37744448,0.012923010333651603,226,LeakyReLU,456,0.001,True,False,None
