idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
300,0.42707276,0.0016517707461366886,64,selu,195-484,0.001287284929438688,False,True,None
301,0.37414235,0.0002690163044961038,103,LeakyReLU,237,0.001852276264604152,True,False,None
302,0.37626308,0.0003362947511090417,89,PReLU,163,0.000966767048175198,True,False,None
303,0.43197155,0.00034396076464205815,69,LeakyReLU,488-397,0.0016949597110030928,False,True,keras.regularizers.L1L2
304,0.42955902,0.001761754798235341,118,ELU,206-53,0.0006724607298341626,False,True,keras.regularizers.L1L2
305,0.37480456,0.0005944498731715328,131,PReLU,152,0.0013384413966565205,True,False,None
306,0.37297222,0.0018681646040900235,141,ELU,289-467,0.00023178305314883253,True,False,keras.regularizers.L1L2
307,0.37991512,0.0018139058251271047,147,ELU,197,0.00109773134189315,True,False,keras.regularizers.L1L2
308,0.431759,0.0018487706838181404,87,LeakyReLU,316-90,0.00022476752585531612,False,True,None
309,0.43372,0.0014977409671869649,27,ReLU,242,0.0019970263795460017,False,True,None
310,0.35784853,0.0014301917144067457,127,selu,329-465,0.0008140602784771254,True,False,keras.regularizers.L1L2
311,0.39744592,0.0009034533622754244,99,PReLU,173,0.0008446027655098207,True,False,keras.regularizers.L1L2
312,0.3743121,0.000401587998447533,119,LeakyReLU,221-273,0.0007058008201773696,True,False,keras.regularizers.L1L2
313,0.37779078,0.0010621696754461128,134,selu,321,0.0002489609214887585,True,False,keras.regularizers.L1L2
314,0.37177366,0.0003525136154920796,88,ELU,492-307,0.00013039129127792327,True,False,None
315,0.35329896,0.0003419730494807047,97,PReLU,81-387,0.0004007434804761103,True,False,None
316,0.42079425,0.0017203911145234356,140,ELU,126-440,0.0015806180543757556,False,True,None
317,0.3783774,0.0018666976254484038,99,selu,124,0.0014109095513882102,True,False,keras.regularizers.L1L2
318,0.4369737,0.00071457372381834,118,ReLU,176-213,0.0005858954617513885,False,True,None
319,0.4360695,0.00038816021611116257,38,ReLU,434,0.001172777890884432,False,True,keras.regularizers.L1L2
320,0.38616252,0.0009557456514474905,95,LeakyReLU,376-102,0.00077321249013633,True,False,None
321,0.38773257,0.0004670316900575704,56,PReLU,493-328,0.0006742420670896898,True,False,keras.regularizers.L1L2
322,0.20878874,2.0315016511368134e-05,122,ReLU,56,0.0010579685150512031,True,False,None
323,0.42386323,0.001561140910786921,35,PReLU,63-157,0.0003057740630151704,False,True,None
324,0.42008477,0.0012685391257092117,51,selu,300-240,0.00027489867986855976,False,True,keras.regularizers.L1L2
325,0.37600464,0.00033267000068426246,146,ELU,314,0.0004277380373996791,True,False,None
326,0.3970666,0.000621039695727486,23,PReLU,341,0.001761880253641308,True,False,keras.regularizers.L1L2
327,0.41322446,0.0012132728311933301,83,selu,433-250,0.0012085023650540343,False,False,keras.regularizers.L1L2
328,0.43275294,0.00131370037407824,97,selu,197-434,0.001993726863380931,False,True,keras.regularizers.L1L2
329,0.37837026,0.001041163013928893,122,LeakyReLU,314,0.0012658303165610316,True,False,None
330,0.38018006,0.0009963092197543533,133,LeakyReLU,82-268,7.086989008800604e-05,True,False,keras.regularizers.L1L2
331,0.4319758,0.0018772023782604081,30,PReLU,386,6.91122707275229e-05,False,True,keras.regularizers.L1L2
332,0.3940571,0.0014697672074184243,100,ReLU,435,0.0007663065800792421,True,False,keras.regularizers.L1L2
333,0.3844182,0.001514650798279229,72,ReLU,327-215,0.0012123743776057323,True,False,keras.regularizers.L1L2
334,0.3988781,0.0010216981691037984,18,PReLU,314-407,0.0011080303406752847,True,False,None
335,0.43372935,0.0010182279520450257,79,ReLU,130-195,0.0016867419639481926,False,True,keras.regularizers.L1L2
336,0.43118885,0.0010588428416605205,65,PReLU,342-454,0.0016831876886927305,False,True,keras.regularizers.L1L2
337,0.38143006,0.0010505666993696813,31,ELU,290-245,0.0007475892668170951,True,False,keras.regularizers.L1L2
338,0.43171698,0.00010533014354965653,54,LeakyReLU,493-295,0.0013961692426491556,False,True,None
339,0.3610584,0.00010705415405292463,127,PReLU,146,0.0007006276953247082,True,False,keras.regularizers.L1L2
340,0.42591974,0.001713050444866719,137,PReLU,203,0.0008976538621236177,False,False,keras.regularizers.L1L2
341,0.3576215,3.273332187038669e-05,82,selu,345-69,0.0007659567422867903,True,False,keras.regularizers.L1L2
342,0.381858,0.00111268886496427,52,ELU,215,0.00039856163441558335,True,False,keras.regularizers.L1L2
343,0.42670742,0.0014472241258541194,137,selu,467-391,0.0006028001648562294,False,True,None
344,0.39147615,0.0009685536666537825,58,ReLU,60,0.0008734259427315539,True,False,None
345,0.38541025,0.0018112185346929866,85,selu,480-233,0.0010413898727550284,True,False,None
346,0.43291095,0.0005024342631995844,127,LeakyReLU,476-382,0.0017826767575830627,False,True,None
347,0.41877544,0.0005653933737089716,35,selu,121,0.0010439375295958767,False,True,None
348,0.42697793,0.0014675494316234512,66,selu,442,3.7992809039279375e-05,False,True,None
349,0.42693204,0.001637812701540398,22,selu,93,0.001189883564543407,False,True,keras.regularizers.L1L2
