idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
350,0.37431383,0.00031612205523662843,39,ReLU,184-266-133,0.0004872241363098684,True,False,keras.regularizers.L1L2
351,0.21497571,0.037197149569751446,183,PReLU,421,0.00679340253695034,False,True,None
352,0.43289566,0.005161867951346444,91,PReLU,372,0.006908536065175618,False,True,None
353,0.36872393,0.04251990787028671,67,LeakyReLU,345-58-377,0.00014480999644620685,True,False,keras.regularizers.L1L2
354,0.23681065,0.04257378977672682,102,ReLU,66-145,0.00047748059366456766,False,True,None
355,0.38000762,0.02790852313142895,119,selu,328-457,0.008346371602375594,True,False,keras.regularizers.L1L2
356,0.41709602,0.04609562733774381,122,selu,57,0.0013600163033196,False,True,keras.regularizers.L1L2
357,0.35807168,0.023788182322526625,244,selu,214-203-81,0.0009054344050415242,True,False,keras.regularizers.L1L2
358,0.38746798,0.017178751499801425,55,ELU,333,0.007543948175372877,True,False,keras.regularizers.L1L2
359,0.41862047,0.02124125040417864,148,ReLU,366,0.002577351306329856,False,False,keras.regularizers.L1L2
360,0.34681568,0.018834617605373357,188,ReLU,292-479-33,0.007283856659810529,False,True,keras.regularizers.L1L2
361,0.3855855,0.029209686939903445,63,LeakyReLU,417,0.002104259412235021,True,False,keras.regularizers.L1L2
362,0.38495314,0.007426231751139662,239,selu,381,0.008281023524926759,True,False,keras.regularizers.L1L2
363,0.42747378,0.0035452036568744297,247,selu,478-129-344,0.005647358051548442,False,True,None
364,0.4247384,0.0005522073463522404,98,ELU,423-43,0.005721013988098366,False,True,keras.regularizers.L1L2
365,0.38718468,0.02793316945570364,67,PReLU,291-369,0.004213062046633984,True,False,None
366,0.3833585,0.014105798195956221,27,ReLU,476,0.00021717784613289214,True,False,keras.regularizers.L1L2
