idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
350,0.42917344,0.00154877053059428,117,selu,370,0.0009376948268200661,False,True,None
351,0.37167457,8.292116728399402e-05,81,selu,283-444,0.0019524724815359854,True,False,keras.regularizers.L1L2
352,0.31124115,5.72547074987666e-05,20,ReLU,63,0.001585020260680203,True,False,keras.regularizers.L1L2
353,0.37955827,0.0011451092521051964,140,LeakyReLU,232-262,3.6947345304958025e-05,True,False,None
354,0.394634,0.0018408461171362744,74,PReLU,361,0.0006050487627629178,True,False,None
355,0.4292214,0.0019018028973025332,129,LeakyReLU,192,0.0017890502534854819,False,True,keras.regularizers.L1L2
356,0.3833,0.0013658355400828466,103,selu,176,0.0009429256866535585,True,False,keras.regularizers.L1L2
357,0.42106375,7.208103358515162e-05,103,ReLU,331-497,0.0004207429155203166,False,True,keras.regularizers.L1L2
358,0.38330325,0.0012177412094313983,38,selu,251-423,0.0002537556815093387,True,False,None
359,0.38236314,0.0005814944574955625,62,selu,237,0.0010345798897051029,True,False,keras.regularizers.L1L2
360,0.43222713,0.0016793777251243836,58,PReLU,64-364,5.892702949834572e-05,False,True,keras.regularizers.L1L2
361,0.4275686,0.00176322070959894,115,LeakyReLU,89,0.0009383064789594389,False,True,None
362,0.37755123,0.0018152104423200272,64,LeakyReLU,266-281,0.001540015533975115,True,False,keras.regularizers.L1L2
363,0.4300753,0.0019570867017291477,103,LeakyReLU,331-71,3.2202644745054744e-05,False,True,None
364,0.4265152,0.0005958259269505373,70,ELU,489,0.0011812782058294674,False,True,keras.regularizers.L1L2
365,0.42719376,0.0010838916267263065,72,ELU,236-445,0.0014406227745652701,False,True,None
366,0.3737641,0.00015724389685601838,97,ELU,85,0.00035112693478815736,True,False,keras.regularizers.L1L2
367,0.39305395,1.771389870987483e-05,47,ELU,297,0.0004888622657258235,False,True,keras.regularizers.L1L2
368,0.43023437,0.0010692257418359332,90,selu,396-414,0.000588458191930209,False,True,None
369,0.427728,0.0015711909442968366,116,ELU,231,0.0015545532175416554,False,True,None
370,0.42816454,0.0010446783984011817,78,selu,328-469,0.001728559823724239,False,True,None
371,0.33559078,5.5728963109948014e-05,39,PReLU,287-198,0.0015470171145792143,True,False,None
372,0.43581474,0.0015633552037996347,90,PReLU,269,0.001857743995058275,False,True,None
373,0.3765955,0.001266741499657591,144,ReLU,102-186,0.0004128450277764566,True,False,None
374,0.37994963,0.0005314981824670049,51,selu,255-290,0.0010611233879694669,True,False,None
375,0.43346256,0.0012210135088603531,64,PReLU,117-303,0.00041818632488706454,False,True,keras.regularizers.L1L2
376,0.42225927,0.0012439173303192268,75,selu,98,0.000980759282490017,False,True,None
377,0.395899,0.0012994083506548395,14,ReLU,308,0.0008752200659847496,True,False,keras.regularizers.L1L2
378,0.43308666,0.0012753077769758654,43,PReLU,477-363,0.0008117390086881615,False,True,None
379,0.43352577,0.0012531530819685853,23,ReLU,304,0.0015713723374139246,False,True,None
380,0.43513334,0.001185188100232111,96,PReLU,453-190,0.0016136999827533712,False,True,keras.regularizers.L1L2
381,0.424994,0.0019257419017886942,134,selu,451-441,0.0010053051433791653,False,True,None
382,0.43239588,0.00066518664502265,47,LeakyReLU,308,0.0005301906185206218,False,True,None
383,0.43653172,0.0018428792783436348,72,ReLU,313-196,0.0003566724592472812,False,True,keras.regularizers.L1L2
384,0.38202858,0.0008838638582725971,124,ELU,147-201,0.001862989582279951,True,False,None
385,0.42812312,0.001145277382809675,126,selu,374-376,0.0010946972532195397,False,True,None
386,0.3930372,0.0011187321749397054,39,LeakyReLU,319-371,0.0001893809056895752,True,False,keras.regularizers.L1L2
387,0.39033914,0.0019292718175291184,122,ReLU,422-486,0.0004252380892768559,True,False,None
388,0.42913896,0.001242916218772388,28,selu,66,0.0012428302504773783,False,True,keras.regularizers.L1L2
389,0.42869034,0.0018767045230785261,42,selu,145,0.0010561631638349104,False,True,None
390,0.37976575,0.00039485372795140306,68,PReLU,220,0.0016595057153515431,True,False,keras.regularizers.L1L2
391,0.4272517,0.001995665229407457,30,ELU,258,5.5978040774748776e-05,False,True,keras.regularizers.L1L2
392,0.41676056,0.00012609221234545953,131,selu,223-269,0.00081792359265818,False,True,None
393,0.3774929,0.0013515950438682035,60,selu,318,0.0008091183531087753,True,False,keras.regularizers.L1L2
394,0.43117017,0.00182773412858414,71,PReLU,149,0.0014361178179799787,False,True,None
395,0.39589116,0.0007252893191678607,18,ReLU,124,0.00028484694748469953,True,False,None
396,0.41909444,0.0016789529212478665,46,selu,459,0.0012416059814430547,False,True,keras.regularizers.L1L2
397,0.42900383,0.00030482907110256676,84,LeakyReLU,293-159,0.0016915536079236517,False,True,keras.regularizers.L1L2
398,0.3857705,0.001564206993594089,19,LeakyReLU,478,0.0017550245248948557,True,False,None
399,0.43108994,0.00027036997547616524,21,ReLU,278-221,0.0015077537182422614,False,True,keras.regularizers.L1L2
