idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
400,0.37920243,0.03507184365392501,157,PReLU,328-301,0.001,True,False,None
401,0.37591565,0.03152300443217971,209,ELU,201-114,0.001,True,False,keras.regularizers.L1L2
402,0.4237598,0.0334015543409112,166,selu,196,0.001,False,True,keras.regularizers.L1L2
403,0.4240874,0.037465643378858576,194,ELU,62,0.001,False,False,keras.regularizers.L1L2
404,0.38464028,0.04851048341323919,211,ELU,254,0.001,True,False,None
405,0.385014,0.03480220181346196,130,PReLU,389,0.001,True,False,None
406,0.37168536,0.03765073485759998,98,ELU,465-30-484,0.001,True,False,keras.regularizers.L1L2
407,0.3196929,0.043701556575138856,249,ReLU,133-444,0.001,True,False,keras.regularizers.L1L2
408,0.41142523,0.003631839138415144,57,PReLU,148-237-371,0.001,False,False,None
409,0.42944825,0.017142136623967935,252,LeakyReLU,304,0.001,False,True,keras.regularizers.L1L2
410,0.38199496,0.022992960626696837,60,LeakyReLU,186,0.001,True,False,None
411,0.37594315,0.04046490915095886,91,selu,31,0.001,True,False,None
412,0.19053048,0.031172584095599056,213,ELU,456,0.001,False,True,None
413,0.37717515,0.010628135848745807,85,selu,191-74,0.001,True,False,None
414,0.37729222,0.005828279857194191,167,LeakyReLU,220-481-496,0.001,True,False,None
415,0.37241384,0.025803854561823537,93,selu,51-108-65,0.001,True,False,keras.regularizers.L1L2
416,0.39048833,0.036160766407079034,151,ReLU,447,0.001,True,False,None
417,0.08941985,0.027277611175968115,85,ReLU,471-369-97,0.001,False,False,None
418,0.17577016,0.034172051462310414,145,ELU,460,0.001,False,True,None
419,0.3376614,0.028470639303480164,246,selu,226,0.001,False,True,None
420,0.4230489,0.0013778832269387533,245,selu,430-467,0.001,False,True,None
421,0.3923637,0.004609588822968936,112,ReLU,221-401,0.001,True,False,None
422,0.41117626,0.019564523693162184,120,selu,224,0.001,False,True,keras.regularizers.L1L2
423,0.30008543,0.02121618115653358,245,PReLU,276-150-35,0.001,False,True,None
424,0.36275148,0.028075605044758284,107,PReLU,402-278-99,0.001,True,False,keras.regularizers.L1L2
