idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
400,0.3688671,0.0007307226148465236,109,LeakyReLU,168-134,0.0017922421443348879,True,False,keras.regularizers.L1L2
401,0.43465328,0.00021647977839492217,103,ReLU,311-321,0.00018884516645799044,False,True,None
402,0.3782214,0.001724792036824476,112,PReLU,174-295,0.0019977179212705186,True,False,None
403,0.38128322,0.0004333036806621371,77,selu,301,0.0014963224388289567,True,False,keras.regularizers.L1L2
404,0.43236715,0.00043104644764054093,39,ELU,296,0.0013330400388769064,False,True,None
405,0.38957798,0.0016611725937264164,45,LeakyReLU,434,0.0003794610875011069,True,False,None
406,0.4272311,0.0004058370560471962,48,PReLU,243-60,0.0007796146914904143,False,True,keras.regularizers.L1L2
407,0.42838073,0.0015585598596087316,67,PReLU,105-294,0.0016283249383645183,False,True,keras.regularizers.L1L2
408,0.41127175,0.00017711669751741566,96,ELU,51-169,0.00039498361155103546,False,False,None
409,0.4261682,0.0017053676716843199,123,ELU,114,3.925162025933738e-06,False,True,keras.regularizers.L1L2
410,0.367845,0.0008098408040995064,136,selu,229-77,0.0017920604376462106,True,False,None
411,0.3950342,0.0007567720123657748,66,PReLU,195,0.0014517975556961396,True,False,None
412,0.43131325,0.001945010655637693,77,PReLU,203-160,0.00028885346292009076,False,True,None
413,0.3970763,0.0005730583159820653,43,ReLU,269,0.00010890847840412565,True,False,keras.regularizers.L1L2
414,0.42707276,0.0016279482551948025,70,LeakyReLU,224-218,4.271386698855384e-05,False,True,keras.regularizers.L1L2
415,0.38699841,0.0018366259050610417,145,ELU,425-165,0.0010069579460038867,True,False,None
416,0.4343664,0.0018184860225226997,22,ReLU,207,0.00028467053486174907,False,True,None
417,0.380004,0.001199487423587593,99,LeakyReLU,325,0.001942350703998835,True,False,None
418,0.3969677,0.000981316057370865,119,ReLU,484-149,0.0019874724104425004,True,False,None
419,0.42310822,0.0005342242153069587,99,LeakyReLU,496,0.0005386489894573072,False,False,None
420,0.4363594,0.0010378282229302886,105,ReLU,491,0.001889412481526763,False,True,None
421,0.4388839,0.0004414959774894227,24,ReLU,306-365,0.0016959492923516032,False,True,None
422,0.41991806,0.00044399600263159237,131,LeakyReLU,257,0.0012032438887125602,False,False,keras.regularizers.L1L2
423,0.3810265,8.88345289166228e-05,145,ReLU,82-499,0.0018519714524268004,False,True,None
424,0.3912226,0.001014581851933773,122,PReLU,354,0.0006043023627812339,True,False,None
