idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
400,0.4161509,0.008661019996488528,149,ReLU,398,0.0,False,True,keras.regularizers.L1L2
401,0.35210383,0.01988304563944318,172,LeakyReLU,249-400-53,0.0,True,False,keras.regularizers.L1L2
402,0.3430099,0.03400695850743062,81,ReLU,143,0.0,False,True,None
403,0.22063582,0.021102254796588168,79,ReLU,411-83,0.0,False,True,None
404,0.4149785,0.0069368655429470245,218,ELU,477-232-303,0.0,False,True,keras.regularizers.L1L2
405,0.37100798,0.021930831193352388,149,PReLU,404-195,0.0,True,False,None
406,0.3684631,0.005458207042112639,210,selu,44-217-306,0.0,True,False,keras.regularizers.L1L2
407,0.40795144,0.006047970947816933,252,PReLU,109-234-215,0.0,False,True,None
408,0.37063074,0.032335851429596524,100,selu,109-368,0.0,True,False,keras.regularizers.L1L2
409,0.38328135,0.02703555694602802,71,ELU,267,0.0,True,False,keras.regularizers.L1L2
410,0.3797235,0.009159652538909836,119,PReLU,305,0.0,True,False,keras.regularizers.L1L2
411,0.37959248,0.014343898874248879,161,PReLU,89-183-405,0.0,True,False,None
412,0.3681453,0.0015289999816399725,248,LeakyReLU,212-356-191,0.0,True,False,None
413,0.3760361,0.016048711065470924,58,ELU,331,0.0,True,False,keras.regularizers.L1L2
414,0.3648398,0.026573420796920412,196,ELU,489-296-94,0.0,True,False,keras.regularizers.L1L2
415,0.411821,0.01488789803394272,103,PReLU,257-485,0.0,False,True,keras.regularizers.L1L2
416,0.22051483,0.021916183765167453,129,selu,381-339,0.0,False,True,None
417,0.24061798,0.0292800320405763,182,PReLU,286-315,0.0,False,True,keras.regularizers.L1L2
418,0.4322241,0.007463009107086693,218,selu,241,0.0,False,True,None
419,0.39200568,0.02637773531381988,27,ReLU,40,0.0,True,False,None
420,0.3947885,0.026255801527762773,134,ReLU,426-349-299,0.0,False,False,keras.regularizers.L1L2
421,0.3707376,0.01832237914482549,174,ELU,342-223-101,0.0,True,False,None
422,0.22051483,0.03861691654000121,217,ELU,272-281-304,0.0,False,True,keras.regularizers.L1L2
423,0.17653419,0.01919506093967417,22,ReLU,276-478-464,0.0,False,True,None
424,0.37805063,0.03954112719421826,141,PReLU,449,0.0,True,False,None
425,0.23775621,0.043917322091979766,148,ELU,77-491-315,0.0,False,True,keras.regularizers.L1L2
426,0.43666187,0.001063122738628619,57,PReLU,199,0.0,False,True,None
427,0.33546034,0.04569963558854153,255,ReLU,266-478,0.0,True,False,keras.regularizers.L1L2
428,0.3598529,0.014837100165224432,217,selu,192-485-207,0.0,True,False,keras.regularizers.L1L2
429,0.4129308,0.012433085379980746,154,selu,134-355,0.0,False,True,keras.regularizers.L1L2
430,0.3496192,0.03303513223720356,255,PReLU,90,0.0,True,False,keras.regularizers.L1L2
431,0.35625923,0.024840041095888582,93,ELU,99-346,0.0,True,False,keras.regularizers.L1L2
432,0.3827936,0.006578522046485358,76,PReLU,261,0.0,True,False,None
433,0.4274578,0.003322760007281678,142,ReLU,286-55,0.0,False,True,None
434,0.36563253,0.02737814249518677,151,ReLU,126-234,0.0,False,True,keras.regularizers.L1L2
435,0.4282511,0.0005643252558657219,187,selu,193-164-498,0.0,False,True,None
436,0.38186017,0.003230071043754812,228,ELU,459-377,0.0,True,False,None
437,0.19028848,0.030996734946820606,240,PReLU,244-231-461,0.0,False,False,None
438,0.17653419,0.04652478834525027,61,ReLU,458,0.0,False,True,None
439,0.38737857,0.030062962122212235,99,LeakyReLU,483,0.0,True,False,None
440,0.35000265,0.031331652722065374,164,LeakyReLU,305-193,0.0,True,False,keras.regularizers.L1L2
441,0.35487887,0.008014683740504031,239,PReLU,140-261-202,0.0,True,False,keras.regularizers.L1L2
442,0.14630786,0.030167221680521078,90,LeakyReLU,197-401,0.0,False,True,None
443,0.36488682,0.026954104082368865,67,ReLU,36-105-234,0.0,True,False,None
444,0.36374283,0.03507044724170738,69,selu,427,0.0,True,False,keras.regularizers.L1L2
445,0.42459977,0.011556588078153525,237,ReLU,157,0.0,False,True,None
446,0.22528058,0.027537934644672454,37,selu,159,0.0,False,False,keras.regularizers.L1L2
447,0.22877574,0.03427630688764951,30,selu,341,0.0,False,True,keras.regularizers.L1L2
448,0.43130732,0.008643823804586842,127,ReLU,195,0.0,False,True,keras.regularizers.L1L2
449,0.17323938,0.024440087481296176,172,ELU,424,0.0,False,True,None
