idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
400,0.26001877,0.024996019982268237,65,ReLU,291-344-42,0.00495288546751422,False,True,keras.regularizers.L1L2
401,0.15819784,0.020375011322010445,135,selu,405,0.00046425582727000923,False,True,None
402,0.41127428,0.0010571012965521042,166,LeakyReLU,155-338-30,0.003636396906183632,False,False,keras.regularizers.L1L2
403,0.38232955,0.018463365251607616,24,LeakyReLU,340,0.005949358123130259,True,False,keras.regularizers.L1L2
404,0.21502347,0.04392419485507766,233,LeakyReLU,35-475,0.009518090490743375,False,True,None
405,0.06282477,0.024895834283132287,30,ELU,326-473-497,0.0021572247798242075,False,False,None
406,0.4156266,0.002021056851936509,180,PReLU,257-423,0.00036986582049751806,False,False,None
407,0.29395705,0.006773228499565476,201,selu,383-380-47,0.007520822502376829,False,True,None
408,0.38395667,0.035732611614038796,20,selu,376-43,0.009379330141294358,True,False,None
409,0.18388987,0.0286072187285444,107,ELU,147-448,0.007098460055501008,False,True,None
410,0.42403573,0.01730052999969095,227,LeakyReLU,360,0.0026966605954753375,False,True,None
411,0.36886275,0.008376286906334369,196,ReLU,367,0.004889825886521367,True,False,keras.regularizers.L1L2
412,0.26774222,0.03209865369875261,237,ReLU,196,0.0037633470375547117,False,True,None
413,0.38428646,0.001704858188602415,90,LeakyReLU,427-313-224,0.008361143791244568,True,False,None
414,0.41002193,0.024431541996868367,175,selu,444-46,0.004809372457483236,False,False,keras.regularizers.L1L2
415,0.43428743,0.006686460655672255,95,ReLU,477-155,0.00517854825778625,False,True,keras.regularizers.L1L2
