idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
450,0.38888094,0.0016072752621926624,53,ELU,407,0.0012414043105957874,True,False,keras.regularizers.L1L2
451,0.39661205,0.01766933300033883,16,ELU,98,0.0033438653665412575,True,False,None
452,0.4192727,0.006028428698572026,52,selu,152-277-183,0.003935757627896448,False,True,keras.regularizers.L1L2
453,0.38547534,0.006387154785613893,45,selu,380-193-248,0.008894238954383597,True,False,None
454,0.37603202,0.018881249803562386,64,selu,141-487-399,0.008984507140858237,True,False,None
455,0.3831386,0.01766731363882187,126,ELU,242-114-193,1.641221822849537e-05,True,False,None
456,0.412559,0.006965360023810181,41,ReLU,343-441-424,0.007519889674885673,False,True,keras.regularizers.L1L2
457,0.42746788,0.00882582800601827,87,LeakyReLU,358,0.002947305378969719,False,False,keras.regularizers.L1L2
458,0.3910525,0.0015560620040081608,23,LeakyReLU,329-61-384,0.005664824934384642,True,False,None
459,0.38772234,0.013253772066490624,101,LeakyReLU,479,0.0028715603647627044,True,False,None
460,0.39351737,0.01875093116311127,52,ELU,419-194,0.0034214964611503362,True,False,None
461,0.43499398,0.013483252462868892,83,PReLU,337,0.0071458936730029775,False,True,keras.regularizers.L1L2
462,0.4273885,0.008611746036775425,79,LeakyReLU,127-219,0.0026055630568104582,False,True,None
463,0.38414085,0.004901619236388519,49,LeakyReLU,431-328-287,0.008509091728679639,True,False,keras.regularizers.L1L2
464,0.37606004,0.018726757374404407,96,ReLU,213-93-414,0.0018027841107532527,True,False,None
465,0.40651315,0.016169517478127983,43,selu,103-164,0.005826148171938856,False,False,keras.regularizers.L1L2
466,0.411822,0.008923010252626895,144,ELU,393-227-234,0.006855933527193297,False,True,None
467,0.37513208,0.014833995334699568,37,PReLU,297,0.003561315865094277,True,False,keras.regularizers.L1L2
468,0.3842172,0.015231077376669303,147,ReLU,152-71-73,0.007455454748695973,False,True,keras.regularizers.L1L2
469,0.3943023,0.016167129952860997,139,ELU,224,0.003981935233428529,True,False,None
470,0.3717314,0.013028797301204995,106,PReLU,396-384,0.0012375730820119702,True,False,keras.regularizers.L1L2
471,0.3873366,0.006238014596814992,61,ELU,163-64,0.006302822367327185,True,False,None
472,0.38245326,0.006621663155915274,83,LeakyReLU,375,0.0050455604732637695,True,False,None
473,0.4256122,0.018522657472244127,101,ELU,162-277,0.0016040395535657371,False,True,keras.regularizers.L1L2
474,0.388633,0.016894845970689822,40,LeakyReLU,328-367,0.008371342793610556,True,False,None
