idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
450,0.38349068,0.016848530126347874,201,selu,497-249,0.0,True,False,None
451,0.37144932,0.046813099956630556,38,ELU,240-286,0.0,True,False,keras.regularizers.L1L2
452,0.35843194,0.024188821272136025,190,selu,55-34-454,0.0,True,False,None
453,0.38213986,0.033084777821416354,128,selu,173,0.0,False,True,keras.regularizers.L1L2
454,0.22051483,0.049860823980347385,114,LeakyReLU,72-30-341,0.0,False,True,None
455,0.38123327,0.00997882475634045,171,selu,233,0.0,True,False,None
456,0.27033427,0.013932566463207131,243,ELU,383-435,0.0,False,True,keras.regularizers.L1L2
457,0.40957943,0.004495058661088275,220,ReLU,110-161-290,0.0,False,True,keras.regularizers.L1L2
458,0.37010324,0.005094101951665342,83,LeakyReLU,49,0.0,True,False,None
459,0.3697316,0.03570313242994002,90,LeakyReLU,267-70,0.0,True,False,None
460,0.3691166,0.044920405950695366,189,LeakyReLU,78,0.0,True,False,None
461,0.43159723,0.003132283324342611,103,LeakyReLU,488-203,0.0,False,True,None
462,0.20886362,0.045201067738127966,211,PReLU,354,0.0,False,True,None
463,0.38483503,0.00968393965619429,190,ELU,435,0.0,True,False,keras.regularizers.L1L2
464,0.39726084,0.0011111914182699802,20,ELU,387-89,0.0,True,False,keras.regularizers.L1L2
465,0.22369564,0.034027210247510035,172,selu,136-391-190,0.0,False,True,keras.regularizers.L1L2
466,0.19912241,0.02975155565702491,18,selu,383-218-151,0.0,False,True,keras.regularizers.L1L2
467,0.38578343,0.04704126798607632,58,ELU,240,0.0,True,False,keras.regularizers.L1L2
468,0.4245299,0.004755508719880414,250,LeakyReLU,388-345-342,0.0,False,True,None
469,0.17653419,0.0476119750454902,94,ReLU,435,0.0,False,True,None
470,0.27943802,0.032478524893705556,183,ReLU,249-64,0.0,False,True,keras.regularizers.L1L2
471,0.3709429,0.007339952450207538,112,ReLU,124-97-330,0.0,True,False,keras.regularizers.L1L2
472,0.36075154,0.010154271537791026,222,LeakyReLU,227-322,0.0,True,False,keras.regularizers.L1L2
473,0.3831126,0.0436899126389695,128,LeakyReLU,447,0.0,True,False,None
474,0.36538813,0.007640545713691594,226,LeakyReLU,120-363-185,0.0,True,False,None
475,0.4239973,0.0012310770426462838,148,selu,282,0.0,False,True,keras.regularizers.L1L2
476,0.39331245,0.0017624121494657253,114,PReLU,471,0.0,True,False,None
477,0.379031,0.015709094663559492,76,selu,414-365,0.0,True,False,None
478,0.4177105,0.022453630034276174,202,LeakyReLU,237-110,0.0,False,True,keras.regularizers.L1L2
479,0.17653419,0.04882400495458061,170,LeakyReLU,322-425-235,0.0,False,True,None
480,0.17653419,0.04751140176442239,109,ReLU,139-361-285,0.0,False,True,None
481,0.2232844,0.047155596298937986,48,ReLU,223-264,0.0,False,False,keras.regularizers.L1L2
482,0.39301133,0.004801667015458178,19,ELU,458-169,0.0,True,False,None
483,0.22700897,0.04356416439197176,160,ELU,339-287-186,0.0,False,True,keras.regularizers.L1L2
484,0.42725205,0.025674216897904775,201,ELU,107,0.0,False,True,None
485,0.2300528,0.040838892302035704,256,ELU,274-131-142,0.0,False,True,keras.regularizers.L1L2
486,0.22051483,0.04070136122562128,65,ELU,366-288-466,0.0,False,True,keras.regularizers.L1L2
487,0.28471395,0.0282645464928422,160,ReLU,238-478,0.0,False,True,keras.regularizers.L1L2
488,0.42523527,0.0003643418960586009,215,selu,363-420,0.0,False,True,None
489,0.14630786,0.04954090448602855,187,PReLU,162-406,0.0,False,True,None
490,0.37802228,0.007952307872055904,56,ELU,435,0.0,True,False,keras.regularizers.L1L2
491,0.3821683,0.027372809605578592,20,ReLU,325-121,0.0,True,False,keras.regularizers.L1L2
492,0.3604805,0.02735684651892515,211,ELU,103,0.0,True,False,keras.regularizers.L1L2
493,0.36019784,0.048563942770101814,161,ELU,341,0.0,True,False,keras.regularizers.L1L2
494,0.38184035,0.03020327319220355,37,ELU,43-198,0.0,True,False,keras.regularizers.L1L2
495,0.22057533,0.027336823838994564,132,ReLU,491-65,0.0,False,True,None
496,0.22051483,0.011331689100258625,18,ELU,304-252-303,0.0,False,True,keras.regularizers.L1L2
497,0.39136982,0.01583067989409705,173,selu,419-94,0.0,False,True,keras.regularizers.L1L2
498,0.37654454,0.01391081078514993,146,PReLU,372-80,0.0,True,False,None
499,0.36898845,0.0004620121130281985,130,LeakyReLU,92-441,0.0,True,False,None
