idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
475,0.4284315,0.0009444794708636779,144,ELU,281,0.0003839918014236181,False,True,keras.regularizers.L1L2
476,0.37522855,0.0015193282998722816,118,selu,440-135,0.0006678912147116564,True,False,None
477,0.40952924,4.66665523435752e-05,135,ReLU,337,0.0007199039198769474,False,False,keras.regularizers.L1L2
478,0.43759173,0.0009513483676332068,95,PReLU,359-472,0.0009703079832174393,False,True,None
479,0.37737936,0.0004888037339372766,123,selu,259,0.0007204123907529467,True,False,keras.regularizers.L1L2
480,0.42957178,0.0018234536034660448,70,selu,163-87,0.0014635628901495726,False,True,keras.regularizers.L1L2
481,0.4295048,0.0006889517670697629,47,LeakyReLU,307,8.554122926366259e-05,False,True,keras.regularizers.L1L2
482,0.4241025,0.001607887396843402,58,selu,193-290,0.00015088431812056925,False,True,keras.regularizers.L1L2
483,0.3894378,0.00188424886457067,56,PReLU,214,0.001909384829722341,True,False,None
484,0.42281866,0.0003512691491839042,150,ELU,163,0.0015342594296602597,False,True,keras.regularizers.L1L2
485,0.34254748,8.296939852472552e-05,94,PReLU,378-269,0.0018110277416820506,True,False,None
486,0.42774162,0.0013313461222191005,60,selu,264-70,0.00051926738254841,False,True,None
487,0.38578832,0.00038856899463408245,34,selu,481,0.00040748711762955117,True,False,keras.regularizers.L1L2
488,0.42578942,0.001582525296332473,123,selu,136-279,0.00032224755629485193,False,True,keras.regularizers.L1L2
489,0.42575443,0.00129313896907998,127,ELU,333-355,0.0012455552987984018,False,True,keras.regularizers.L1L2
490,0.41995123,0.0010032680742139218,17,selu,230,0.0007547212554988019,False,False,None
491,0.42929208,0.0005520430366268236,132,ReLU,330-317,0.0012126131711920696,False,False,None
492,0.42763627,0.0015723069230312002,141,ELU,452,0.0013057023143601086,False,True,keras.regularizers.L1L2
493,0.3676414,0.00018193464900458767,121,selu,102-232,0.0008379192814654859,True,False,keras.regularizers.L1L2
494,0.39059082,0.0005138745544240548,27,ReLU,493-284,0.0006652849648430204,True,False,keras.regularizers.L1L2
495,0.43592316,0.0010165175739586083,93,PReLU,155-491,0.001096917130722893,False,True,keras.regularizers.L1L2
496,0.42614236,0.000645785483125954,76,ELU,116,0.0019936343028769763,False,True,None
497,0.42296872,0.0005813420839463219,78,selu,297-423,0.00021904520800509087,False,True,None
498,0.43175507,0.00011374108481066769,112,ReLU,329-436,0.001820481322364745,False,True,keras.regularizers.L1L2
499,0.43267542,0.0009101216184208152,59,ReLU,132-467,0.0009662163849561736,False,True,keras.regularizers.L1L2
