idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
500,0.37951243,0.017048688712459004,48,ELU,40-174-463,0.007465752100972586,True,False,None
501,0.37686265,0.029505436455951706,60,ReLU,184,0.0044027727481763855,False,True,None
502,0.22051483,0.04336294832035639,128,LeakyReLU,273-90-135,0.004654323846213155,False,True,None
503,0.36334434,0.04688262847867178,100,PReLU,198-337-366,0.0008749572681000051,True,False,None
504,0.41006967,0.026887447427782818,168,ELU,454-108-209,0.005214076477144305,False,True,keras.regularizers.L1L2
505,0.38420492,0.02713524410435629,27,ELU,271-194,0.0014175556901205723,True,False,None
506,0.42331707,0.028191705453222485,90,LeakyReLU,103,0.0034466107044029736,False,False,keras.regularizers.L1L2
507,0.3978595,0.0037569754928995116,17,ReLU,98-73-247,0.009336834251125657,False,True,None
508,0.36236572,0.0342225836977519,142,ELU,323-81,0.002180263257393086,True,False,keras.regularizers.L1L2
509,0.42548728,0.007980139946324854,135,LeakyReLU,493,0.00859909824594976,False,True,None
510,0.17653419,0.046372227554938875,151,ReLU,478-282-458,0.0052478635387795255,False,True,None
511,0.40788537,0.008981540713539921,28,selu,411,0.009657200719209065,True,False,None
512,0.38281387,0.03785838281227379,152,ELU,196-316,0.003796458971372191,True,False,None
513,0.41628867,0.03328872920309448,199,LeakyReLU,256,0.0025196143072223256,False,True,keras.regularizers.L1L2
514,0.27763888,0.015591482591777929,251,PReLU,346-138-124,0.0017588546159507668,False,False,None
515,0.36885837,0.036207526099956304,168,LeakyReLU,206-70-346,0.007832062351379569,True,False,keras.regularizers.L1L2
516,0.4250735,0.016723053649952465,90,ELU,257,0.0066603357215282745,False,True,None
517,0.22051483,0.04975950310236713,147,ELU,287-370-242,0.00931770491054888,False,True,None
