idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
500,0.41722602,0.0015428348027840429,54,selu,272,7.617186162510704e-05,False,False,None
501,0.3893005,0.0013962029842722382,135,ReLU,196,0.0014011259439584323,True,False,None
502,0.38650852,0.0017050545860892153,34,selu,96,0.001667846584227709,True,False,keras.regularizers.L1L2
503,0.43894476,0.0016782714806149845,117,ReLU,272,0.0010272265061734753,False,True,None
504,0.3887761,0.0019099149976942165,71,ReLU,482,0.0005172970235046459,True,False,keras.regularizers.L1L2
505,0.43352577,0.001466980564423347,47,ReLU,479,0.0011913646787139298,False,True,keras.regularizers.L1L2
506,0.39203912,0.0003850672581762062,59,PReLU,486,0.000932814645411822,True,False,None
507,0.4327113,0.0017559590737859006,77,LeakyReLU,245,0.0011175417219277976,False,True,keras.regularizers.L1L2
508,0.38370973,0.0010533973658771979,106,LeakyReLU,370,0.001437376134742546,True,False,keras.regularizers.L1L2
509,0.42241764,0.0002712799254351828,102,ELU,77,0.0011384290944826514,False,True,None
510,0.36055288,6.740685831980509e-06,71,LeakyReLU,477,0.00012566856325518815,False,True,keras.regularizers.L1L2
511,0.41884547,0.00017404274260716092,143,PReLU,438-129,0.0019054148934322802,False,False,None
512,0.43031982,0.0015906413489572982,26,LeakyReLU,122,0.001143661529631175,False,True,None
513,0.43591705,0.0016739775863279186,79,PReLU,216-198,0.001704760553322739,False,True,keras.regularizers.L1L2
514,0.42521012,0.000861508076947737,56,ReLU,164,0.001652215903479309,False,False,None
515,0.4324909,0.0008727795486984564,84,ReLU,209-290,0.0008890741828660054,False,True,None
516,0.42979133,0.0005726640469019815,146,LeakyReLU,331-346,0.0016675834895741848,False,True,keras.regularizers.L1L2
517,0.42668176,0.0010447106046750933,17,ELU,499-55,0.0007603431899546982,False,True,None
518,0.42487282,0.0006375075737075461,18,selu,109-355,0.001718584870286753,False,True,None
519,0.40092438,0.0007753200709648905,145,PReLU,373,0.0015879228918133075,True,False,keras.regularizers.L1L2
520,0.39063996,0.0016316219127976161,89,PReLU,206-489,0.0006555808644357306,True,False,keras.regularizers.L1L2
521,0.41945758,0.0011424603049366097,20,PReLU,291-315,0.0007057253562396015,False,False,keras.regularizers.L1L2
522,0.3957761,0.0016250267439235197,43,LeakyReLU,349-106,0.0007943621446748901,True,False,None
523,0.3851212,0.001452654945401148,131,selu,66,0.000866814995295951,True,False,keras.regularizers.L1L2
524,0.4199186,0.0008522881694050038,27,ELU,210-117,0.0011137554769806673,False,True,None
525,0.39080477,0.0012473502286890926,54,selu,408,0.00036517320598142614,True,False,keras.regularizers.L1L2
526,0.4379,0.0011749904397575378,148,PReLU,292,0.0017652888749776984,False,True,None
527,0.42641103,0.0014898611417059424,114,PReLU,272-362,0.00016205310752211188,False,False,None
528,0.42400002,0.0009097348410168094,72,ELU,466,0.0013947941746974084,False,True,None
529,0.39165747,0.0011385079921477472,95,ELU,447-321,0.0009210441988217777,True,False,None
530,0.40681714,5.932003966227062e-05,137,selu,115-447,0.0010229746470996092,False,True,keras.regularizers.L1L2
531,0.433138,0.0011773309963459533,12,selu,326-469,0.0004678278412790433,False,True,keras.regularizers.L1L2
532,0.38204437,0.0009059065973530413,99,selu,138,0.0011171192693602311,True,False,keras.regularizers.L1L2
533,0.4283238,0.00046164217615168537,11,ELU,192,0.0014565724803389459,False,True,None
534,0.4252708,0.0012328590497749103,127,selu,223,0.0018452420786925084,False,True,None
535,0.4213797,0.0010309738860520556,135,ELU,340-265,0.0017974986791627076,False,False,keras.regularizers.L1L2
536,0.43412444,0.0005268875850285498,89,ReLU,471-200,0.0015766572897754241,False,True,None
537,0.3768725,0.0019099778290650798,38,LeakyReLU,469,0.0007807675417866396,True,False,keras.regularizers.L1L2
538,0.36764193,0.001949962317333205,107,ELU,74-262,5.7708681660478155e-05,True,False,None
539,0.36717036,0.0009935943889140516,101,ELU,379,0.0012851716926929478,True,False,keras.regularizers.L1L2
540,0.39349052,0.0019928663639193667,108,ReLU,172,0.0017361864875835103,True,False,None
541,0.38238865,0.0007587088832055278,126,selu,195,0.0016663512949741967,True,False,None
542,0.39595628,0.0018353706654834995,13,PReLU,235-267,0.0011187440726335525,True,False,None
543,0.3904761,0.0017010454320860362,125,ReLU,151,0.0005259589601894729,True,False,None
544,0.43393937,0.0003513946210702501,13,LeakyReLU,305,0.001439734342822417,False,True,keras.regularizers.L1L2
545,0.38354146,0.0010893681078006478,45,selu,214,0.0019817187785032405,True,False,None
546,0.4301893,0.0013982577755558307,83,PReLU,355-187,0.0008552447392275959,False,True,None
547,0.39203084,0.0018842785277897545,66,ReLU,330-295,0.001592565179094984,True,False,keras.regularizers.L1L2
548,0.433478,0.0014405705187039708,121,PReLU,301,0.0012109620829152644,False,True,keras.regularizers.L1L2
549,0.408804,5.189805276590809e-05,111,PReLU,403,0.0019155648842250628,False,True,None
