idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
500,0.4332168,0.0009539561472656641,68,PReLU,235,0.0006091367540923748,False,True,keras.regularizers.L1L2
501,0.43431222,0.001803228981674454,45,PReLU,127-125,0.0007543638626332222,False,True,keras.regularizers.L1L2
502,0.42898548,0.00010681681998703985,52,PReLU,444,0.0007322853064491917,False,True,keras.regularizers.L1L2
503,0.4343474,0.00024532255187608955,63,ReLU,332,1.2885290857072462e-05,False,True,None
504,0.3519854,0.0002348828478312235,79,ReLU,56-357,0.00015959308037351272,True,False,keras.regularizers.L1L2
505,0.43398136,0.0016899342703027194,41,PReLU,386,0.0005207553955943213,False,True,keras.regularizers.L1L2
506,0.39198884,0.001116844463435641,10,PReLU,453,0.00039745449325202434,True,False,None
507,0.43563667,0.001441565056836572,80,ReLU,375,4.601222498163971e-05,False,True,None
508,0.42071202,0.001751660552991031,37,ReLU,377-157,0.0005559391631778168,False,False,keras.regularizers.L1L2
509,0.42660135,0.0015888012118515284,11,PReLU,252-107,2.586266063028364e-06,False,True,None
510,0.43292403,0.001929155398282659,77,PReLU,219,0.0008069852939184837,False,True,keras.regularizers.L1L2
511,0.39526752,0.0019282530462684045,50,PReLU,267,0.0006496211680225225,True,False,None
512,0.43498397,0.0012004730691197484,59,ReLU,376-403,0.00011143661210745104,False,True,keras.regularizers.L1L2
513,0.43239588,0.001981301479747561,38,ReLU,300-247,0.0007465036272533472,False,True,None
514,0.3821987,0.0014599317684710759,34,PReLU,74-350,0.0005962052967095452,True,False,keras.regularizers.L1L2
515,0.4350448,0.0010442568631423331,50,PReLU,190,0.00049482124573418,False,True,None
516,0.4321602,0.001990927971724083,48,ReLU,419-483,0.0007585515960379851,False,True,keras.regularizers.L1L2
517,0.3951282,0.00033983480502933607,51,PReLU,482-212,0.0006084870667618933,True,False,keras.regularizers.L1L2
518,0.3903427,0.001989665833549737,74,ReLU,188,2.7606122197741834e-05,True,False,keras.regularizers.L1L2
519,0.3968503,0.0013583036185045852,18,ReLU,238-422,3.2791006569745987e-05,True,False,keras.regularizers.L1L2
520,0.35032684,0.00017230763941501338,23,PReLU,85-477,0.00048321196311529324,True,False,None
521,0.40315,0.0014804490176146428,21,ReLU,404-257,0.0004736152469247388,True,False,None
522,0.40302306,0.001559986552118372,47,PReLU,471-359,0.0005389205226062661,True,False,None
523,0.38322353,1.6978130111885203e-05,44,PReLU,370,0.0003247512236065613,False,True,keras.regularizers.L1L2
524,0.428916,0.0019896579664593905,33,ReLU,418-168,7.993888346874778e-05,False,True,None
525,0.43452924,0.0008874057215261568,47,ReLU,282,0.0007893649043601199,False,True,None
526,0.38316238,0.00036593447135572864,49,ReLU,85,0.0005329824825714945,True,False,keras.regularizers.L1L2
527,0.43968326,0.001258861633403339,74,PReLU,176-127,0.00047380074162697475,False,True,keras.regularizers.L1L2
528,0.38372794,0.0008495168950699004,48,ReLU,332-57,0.0005323821935349905,True,False,keras.regularizers.L1L2
529,0.38413763,0.0007995688327802026,56,PReLU,163-120,0.0006643444396158114,True,False,keras.regularizers.L1L2
530,0.3779934,0.0007702260125814389,33,PReLU,339-184,0.00020501607256759424,True,False,keras.regularizers.L1L2
531,0.43372986,0.0013644970916818348,65,ReLU,445,2.958825663487552e-05,False,True,keras.regularizers.L1L2
532,0.43119872,0.0017647749573360644,27,PReLU,306-381,0.00017471228413499983,False,True,None
533,0.43310517,0.0009013343906113969,55,ReLU,113,0.00015965659738813664,False,True,keras.regularizers.L1L2
534,0.38059926,0.0013824137855813492,61,ReLU,57,0.0007639259941340982,True,False,None
535,0.39921808,0.0017858949614794452,78,ReLU,175,0.0005701232788117802,True,False,keras.regularizers.L1L2
536,0.43291792,0.0013409180857619598,35,ReLU,184-267,0.0001956801654187842,False,True,keras.regularizers.L1L2
537,0.43831414,0.0002935395173799451,17,PReLU,173-80,0.00030612808968653226,False,True,None
538,0.43900812,0.0006081978964779209,33,PReLU,307,0.0007258303253247586,False,True,None
539,0.38695782,0.0004302874432201964,17,PReLU,188,0.0009049509938903734,True,False,None
540,0.3933736,0.0011772571906933397,30,ReLU,376-442,0.0009786534625771772,True,False,None
541,0.43540418,0.0003850464827467264,10,ReLU,235,0.0002662298697351917,False,True,None
542,0.43221423,0.0015651539782254136,57,PReLU,344-325,0.0008419308172904761,False,True,keras.regularizers.L1L2
543,0.3963019,0.0005730164157792408,53,ReLU,383,0.0005103655695980173,True,False,keras.regularizers.L1L2
544,0.43104237,0.00036321716844854904,41,PReLU,80-165,0.0009114231743297878,False,True,keras.regularizers.L1L2
545,0.3825469,0.0019114382901818776,78,PReLU,330-351,0.0008334813063040322,True,False,keras.regularizers.L1L2
546,0.40010703,0.00046095843877901353,12,PReLU,393,4.8427369121535335e-06,True,False,None
547,0.38558054,0.001168938275542323,41,PReLU,363-113,0.00047650900333977953,True,False,keras.regularizers.L1L2
548,0.3846291,0.0016129310366896404,19,PReLU,229-359,0.00029095441444353554,True,False,keras.regularizers.L1L2
549,0.3933483,0.0007969496189574768,18,ReLU,243-123,0.0004977234697905526,True,False,keras.regularizers.L1L2
