idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
50,0.39155316,0.0018535973756120781,60,selu,288-354,0.0009597568052461934,True,False,keras.regularizers.L1L2
51,0.42195916,0.000898807655303391,105,selu,55,0.0012797841242246388,False,True,None
52,0.4391106,0.0018994871752900924,118,ReLU,257-341,0.0007654804304769192,False,True,None
53,0.3857319,0.0019779099553260526,84,LeakyReLU,365-99,0.0017021505060994249,True,False,None
54,0.36498165,0.0018701740761960747,132,selu,450-474,0.0005764077041441831,True,False,keras.regularizers.L1L2
55,0.39441973,0.0005574409290938422,59,PReLU,241,0.0007210240285459732,True,False,None
56,0.43258008,0.000323035168600315,19,LeakyReLU,169,0.0017071569660772462,False,True,None
57,0.3797469,0.0004689833344710828,116,ELU,346-182,0.0010693355413185716,True,False,None
58,0.4300566,0.0015801178223061865,81,selu,123-326,0.0007481219846576235,False,True,keras.regularizers.L1L2
59,0.39460817,0.000786513330205314,112,ReLU,177,5.9920599903311e-05,True,False,None
60,0.4311025,0.0005065430446423989,62,ReLU,135-95,0.0012782621964141083,False,True,keras.regularizers.L1L2
61,0.41926894,0.0002079452227085543,110,ELU,221,0.0011655357077467415,False,False,None
62,0.43229952,0.0016204531024734215,132,PReLU,361,0.0003212853932705879,False,True,None
63,0.3771556,0.0012919073264951555,65,PReLU,174-109,0.0013558047938987184,True,False,keras.regularizers.L1L2
64,0.3826434,0.0008623882862093713,37,selu,412-279,0.001045807018731959,True,False,None
65,0.38542622,0.0015137226893197932,41,selu,309-140,0.0011168109671735793,True,False,None
66,0.42732376,0.0002773447673471745,121,LeakyReLU,131,0.0008268109712091545,False,True,None
67,0.38350362,0.0010850266713380563,116,LeakyReLU,203,0.0004098969553731069,True,False,None
68,0.42989618,0.00105700286156067,38,LeakyReLU,76-326,0.001567801266740674,False,True,keras.regularizers.L1L2
69,0.41450572,0.00011223680889086118,138,LeakyReLU,211,0.0005909689208739348,False,False,None
70,0.4266175,0.000842979053800262,133,selu,403,0.0008027403664768928,False,True,None
71,0.36118194,0.0004392263815306699,54,selu,66-131,0.00026732467745875033,True,False,keras.regularizers.L1L2
72,0.39099985,0.001670494546711418,27,LeakyReLU,174-322,0.00030416122757327967,True,False,keras.regularizers.L1L2
73,0.4047523,0.0007867368348684525,21,ReLU,424,0.0010563208754749741,True,False,None
74,0.3869571,0.0010242679420077914,71,ELU,226,0.0013891583912905444,True,False,None
75,0.4257551,0.00147669539435548,25,selu,196-371,0.0017430431364457086,False,True,keras.regularizers.L1L2
76,0.42759764,0.0010315520100057408,115,ReLU,76,0.0018947383197434762,False,False,keras.regularizers.L1L2
77,0.43203616,0.00047951932906114994,120,LeakyReLU,223,0.0003841154211984819,False,True,None
78,0.3767372,0.0017197476455742184,126,ELU,355,0.001909430365228987,True,False,None
79,0.43144357,0.0009598677126684789,44,ELU,313-219,0.0008967793457015507,False,True,keras.regularizers.L1L2
80,0.38892257,0.001885719720546975,41,PReLU,243-497,0.0018687721500541643,True,False,None
81,0.3687113,0.0004410556827015171,109,selu,330-379,1.5134893196399712e-05,True,False,None
82,0.37568146,0.0013119848234596054,60,ELU,110-307,0.0018800692998728287,True,False,None
83,0.4185663,0.0010421912003812758,17,LeakyReLU,482-247,0.00019372010461885615,False,False,keras.regularizers.L1L2
84,0.39613062,0.0009210826463017476,30,ReLU,373,0.0008542739238689956,True,False,keras.regularizers.L1L2
85,0.37883145,0.00040631648765730065,110,PReLU,263,0.0012271635037825045,True,False,None
86,0.41921186,0.0002187724768456214,105,selu,352,0.0014606033748077471,False,True,None
87,0.3902914,0.0018443401706594441,116,PReLU,210-61,0.0008305916997751834,True,False,None
88,0.38003933,0.0010720275057093489,144,PReLU,451-406,0.0015611131874297714,True,False,None
89,0.4281513,0.00011057531045803892,145,LeakyReLU,255-338,0.0012321448424080469,False,True,None
90,0.36938828,0.0004746705027449394,133,selu,150,0.001834356395200452,True,False,None
91,0.42365557,0.00015259459119455098,84,LeakyReLU,166,0.001719560959018452,False,True,None
92,0.40506363,0.0009548097013325654,72,PReLU,409,0.001401178675004917,True,False,keras.regularizers.L1L2
93,0.43495542,0.0012554666372693998,145,PReLU,388,0.0019580851444747096,False,True,keras.regularizers.L1L2
94,0.389291,0.000568106879676134,37,selu,325,0.00032448494623453516,True,False,keras.regularizers.L1L2
95,0.43205804,0.00043070520328172845,133,PReLU,328,0.0003314528277402222,False,True,None
96,0.38315573,0.0008140000204899736,106,selu,414-117,0.000947381843161699,True,False,None
97,0.37661797,4.2349511772697304e-05,22,ReLU,165,0.0014453167283661912,False,True,keras.regularizers.L1L2
98,0.42731762,0.0012438471175127538,79,ELU,479,0.0012726130192338798,False,True,keras.regularizers.L1L2
99,0.42730504,0.0008696116199104971,128,ELU,470,0.0005630634810573403,False,True,None
