idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
50,0.42972404,0.0016038043780441313,133,ReLU,229-346,0.00879422590615771,False,True,keras.regularizers.L1L2
51,0.39319503,0.002397722691862596,125,LeakyReLU,234-403,0.009134997770721211,True,False,None
52,0.38189077,0.007250351280786516,82,ReLU,281-477,0.008829016088768321,True,False,keras.regularizers.L1L2
53,0.43098596,0.008491101103249772,142,ELU,85,0.009542375427458186,False,True,keras.regularizers.L1L2
54,0.4186973,0.008883238805776347,29,ELU,325-270-234,0.0009026977590968677,False,True,keras.regularizers.L1L2
55,0.435898,0.002474283951927754,93,PReLU,292,0.009357018507493124,False,True,None
56,0.39521724,0.0023006472436849145,70,ReLU,67,0.008030714724912761,True,False,None
57,0.41863596,0.003926836909642926,122,ELU,63-278-52,0.0038471188396680543,False,True,None
58,0.424554,0.006177608647937098,45,selu,258-228-284,0.009434975110393547,False,True,None
59,0.43551385,0.006077439682368678,46,selu,276-446,0.0013863413089399968,False,True,None
60,0.3133493,0.011021970257264655,135,ELU,357-455,0.007856622105864033,False,True,None
61,0.43045154,0.019812249875616934,116,ELU,243,0.004216486871764211,False,True,keras.regularizers.L1L2
62,0.43038833,0.004708478737708934,80,selu,154-275,0.0018839111274520737,False,True,None
63,0.39500737,0.017434371906198558,10,LeakyReLU,292,0.006395764414793956,True,False,keras.regularizers.L1L2
64,0.3852509,0.01570028934838357,30,LeakyReLU,329-372,0.0008311171698599074,True,False,keras.regularizers.L1L2
65,0.40194267,0.014816458292586914,129,ReLU,127-328-118,0.00960655080539374,False,True,keras.regularizers.L1L2
66,0.3626364,0.013369585171153974,118,ReLU,180-231,0.0006905423491893203,False,True,None
67,0.4133361,0.005637578437178601,100,LeakyReLU,143-486-476,0.006561022416644182,False,False,None
68,0.38067406,0.002580359752876258,138,ReLU,295-488-285,0.00464704710019415,True,False,keras.regularizers.L1L2
69,0.3888563,0.012320280924276427,98,LeakyReLU,480-437,0.001680902374530795,True,False,None
70,0.3883788,0.012049342018690462,63,PReLU,102-383-106,0.008209300354468246,True,False,None
71,0.4073822,0.015360408151067203,24,PReLU,317-387,0.0005075058430620306,False,False,keras.regularizers.L1L2
72,0.36825526,0.017377280502257498,90,ReLU,82-329,0.003988992833222826,True,False,keras.regularizers.L1L2
73,0.38195652,0.008301405861479927,142,selu,291,0.00672038189907526,True,False,keras.regularizers.L1L2
74,0.4038447,0.005649132801361769,36,ReLU,258,0.0077195742003466575,True,False,None
