idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
550,0.39439237,0.0012261978370177629,17,LeakyReLU,280-328,0.0006195621806865153,True,False,None
551,0.40769243,4.7950784229240155e-05,141,selu,248-287,0.00018707084433001642,False,True,keras.regularizers.L1L2
552,0.4359293,0.0014417545355538634,133,PReLU,312-318,0.0011580395482997901,False,True,keras.regularizers.L1L2
553,0.4237555,0.001684789831181257,28,selu,62,0.0004293919445459669,False,True,keras.regularizers.L1L2
554,0.4275122,0.0011238998157554602,114,ELU,302,0.0010335215226592353,False,False,keras.regularizers.L1L2
555,0.42815506,0.0007322349085378353,141,ReLU,128,0.00047525373507018866,False,False,None
556,0.41847384,0.0019098248140436223,68,ReLU,359-476,0.0011145156905715402,False,False,keras.regularizers.L1L2
557,0.38136345,0.0007623893595754647,108,LeakyReLU,319,0.00030551770941688905,True,False,keras.regularizers.L1L2
558,0.4254871,0.0011480781577476247,36,ELU,194,0.0011334562198262925,False,True,keras.regularizers.L1L2
559,0.39479053,0.0011907863114542804,76,ReLU,422,5.391730945833339e-06,True,False,keras.regularizers.L1L2
560,0.37517878,0.001857639151893505,114,LeakyReLU,339-106,0.0009191898581864613,True,False,keras.regularizers.L1L2
561,0.38055763,0.00040329463540266744,56,ELU,215-189,0.0009359353480137405,True,False,None
562,0.42408943,0.0015567055615691948,128,selu,348,0.0002407662182123731,False,True,None
563,0.4326095,0.0018586908192095115,52,LeakyReLU,212,0.0012789153003152207,False,True,keras.regularizers.L1L2
564,0.3734135,9.612294322040028e-05,98,selu,351-313,0.0017324769403604765,True,False,None
565,0.4270911,0.0003261303500915773,107,LeakyReLU,376,0.0001485174170214556,False,True,keras.regularizers.L1L2
566,0.42742622,0.0012266686554638399,127,selu,452-62,0.0017923304210935448,False,True,keras.regularizers.L1L2
567,0.4347865,0.0019363849873631734,132,LeakyReLU,410-327,0.0011226655134344721,False,True,None
568,0.38331956,0.0003971144726132656,102,PReLU,429-272,0.00168679334724813,True,False,keras.regularizers.L1L2
569,0.3877385,0.0019315326853613067,87,LeakyReLU,359-496,0.0015128700086530574,True,False,keras.regularizers.L1L2
570,0.39046115,0.0013071035084392217,118,PReLU,393-284,0.00040505417600284014,True,False,keras.regularizers.L1L2
571,0.33909956,0.00011832860577836968,71,ReLU,206-244,0.0012246859013849128,True,False,keras.regularizers.L1L2
572,0.42421943,0.00033281598351967426,131,PReLU,122,0.001283733035740208,False,True,None
573,0.4250796,0.0008423901876871763,53,selu,473,0.0015281524526523094,False,True,keras.regularizers.L1L2
574,0.36917013,0.0002021239899433427,116,ReLU,487-498,0.001304412057080632,True,False,None
575,0.42798936,0.0006714022104759014,147,ELU,325,0.00010226100255816984,False,True,keras.regularizers.L1L2
576,0.42621577,0.0012009754297158594,80,selu,341,0.00040718803142260264,False,True,None
577,0.38539442,0.0008163281313386135,46,LeakyReLU,177,0.0010703893985585782,True,False,None
578,0.43543902,0.0010055008647200084,85,PReLU,126-396,0.000340205408187906,False,True,keras.regularizers.L1L2
579,0.4274325,0.0009683617967556713,107,LeakyReLU,431-312,0.0017216980430345488,False,False,keras.regularizers.L1L2
580,0.3915611,0.0007966809610840189,103,LeakyReLU,351,0.0016286062002303322,True,False,keras.regularizers.L1L2
581,0.42977232,0.0007660329267918869,75,selu,475,0.0018851232521133966,False,True,keras.regularizers.L1L2
582,0.4280113,0.00010683662605396439,15,LeakyReLU,253,0.00033439628599954554,False,False,keras.regularizers.L1L2
583,0.3815232,0.0014174477435978557,116,ELU,424-140,0.0005659674586287064,True,False,keras.regularizers.L1L2
584,0.43447775,0.0017700341849937959,114,ReLU,157,0.0018419769917174696,False,True,keras.regularizers.L1L2
585,0.38862026,0.00043605171162207324,98,PReLU,497-353,0.000697599708040418,True,False,keras.regularizers.L1L2
586,0.390584,0.0013171772181189655,141,PReLU,199,0.001409924190397513,True,False,keras.regularizers.L1L2
587,0.42634678,0.0004803177491260071,145,selu,196,0.0016678983338892029,False,True,None
588,0.42218906,0.0015234601358552517,44,ELU,174,0.0015148731306157475,False,False,None
589,0.43347192,0.0016725342337960776,14,PReLU,99-125,0.001636570906266685,False,True,None
590,0.37273547,0.0013464858668468032,47,selu,75,0.00033009031312080994,True,False,keras.regularizers.L1L2
591,0.4298863,0.0007451282458831263,133,PReLU,170-159,0.0005404083412362289,False,True,keras.regularizers.L1L2
592,0.41996634,0.001013313189672417,85,ELU,305-187,6.906666406786587e-05,False,False,keras.regularizers.L1L2
593,0.38818693,0.0013824968703443393,54,ELU,225,0.00145979324687755,True,False,None
594,0.39284497,0.0011306588960656864,22,LeakyReLU,251,0.0010823181413523188,True,False,keras.regularizers.L1L2
595,0.37570876,0.0002317774872595626,98,ReLU,338,0.0010614809687584177,True,False,keras.regularizers.L1L2
596,0.39600247,0.001320449603879098,76,ReLU,472,0.0007170950111189652,True,False,None
597,0.4348628,0.0017372177085936765,65,PReLU,176,0.00013537754335921236,False,True,keras.regularizers.L1L2
598,0.33225536,0.0002528726604178606,110,PReLU,141-64,0.000197656530062021,True,False,None
599,0.42605743,0.0014844924870960694,29,ReLU,434-365,0.001013164205527141,False,False,None
