idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
550,0.43265367,0.0004571392390025357,74,PReLU,269,0.0002953634349771197,False,True,None
551,0.38859904,0.0012887868646961971,41,ReLU,353-490,0.0001552123397441847,True,False,keras.regularizers.L1L2
552,0.39534742,0.0007197397186185004,27,ReLU,423-220,0.0004544055834264903,True,False,None
553,0.43114075,0.00012035420401486085,32,PReLU,194-303,0.0009050071288324108,False,True,keras.regularizers.L1L2
554,0.13824058,2.748300006990556e-06,57,PReLU,231,0.000876730084331972,True,False,None
555,0.39196607,0.0005541176673060472,14,ReLU,310-58,0.0005136890655510769,True,False,keras.regularizers.L1L2
556,0.38606077,0.0017249667559431322,68,PReLU,165-303,0.0006135113854169313,True,False,None
557,0.43358234,0.000549516071107746,68,ReLU,171-345,0.00010355191259318319,False,True,None
558,0.39296526,0.0012631551549801626,11,PReLU,200,0.0007881414198223896,True,False,keras.regularizers.L1L2
559,0.4331278,0.0002938911314686914,16,ReLU,418,0.0006491886727575781,False,True,keras.regularizers.L1L2
560,0.43010587,0.0013213292281733476,77,PReLU,139-137,0.00025393965777077113,False,True,None
561,0.39404488,0.0007578828552126886,47,ReLU,187,0.0008491190666859663,True,False,None
562,0.36823308,0.0001385204128031934,72,PReLU,344,0.0009145122876691158,True,False,keras.regularizers.L1L2
563,0.43037438,0.0019794164742797282,48,PReLU,268-469,0.00017799665334331116,False,True,keras.regularizers.L1L2
564,0.39502537,0.0015532198138525223,80,ReLU,221,0.00010321656476265673,True,False,None
565,0.43161878,0.001235486738978295,61,PReLU,131-179,0.0009721876158285338,False,True,keras.regularizers.L1L2
566,0.42917055,0.0011521568390464,13,ReLU,279-125,0.0004296828693209793,False,True,keras.regularizers.L1L2
567,0.39798576,0.0007651903241936075,39,PReLU,365,0.00019646324768969083,True,False,keras.regularizers.L1L2
568,0.39342767,0.0010429147944850468,27,PReLU,175-319,0.0004545284882927172,True,False,None
569,0.3879137,0.0011351827355685804,34,PReLU,200,0.0006151989236693349,True,False,keras.regularizers.L1L2
570,0.37761986,0.0004522194658682508,17,ReLU,104-300,9.242692434187005e-05,True,False,None
571,0.36190414,8.541249414461905e-05,44,ReLU,200,0.0007716939715059507,True,False,keras.regularizers.L1L2
572,0.3975827,0.0013433256282220302,19,ReLU,98-158,0.0007477142600441522,True,False,None
573,0.42549592,0.0005565593341657427,29,ReLU,94,0.0003330664037764484,False,False,keras.regularizers.L1L2
574,0.43582463,0.0006275392525977286,27,PReLU,146-237,9.8984150094108e-05,False,True,None
575,0.38660538,0.0014818843376570396,34,PReLU,68-60,0.0003662978154255988,True,False,keras.regularizers.L1L2
576,0.4318606,0.0018118264800194535,57,ReLU,323-51,0.0008315980937954217,False,True,keras.regularizers.L1L2
577,0.43509254,0.0016861855935655914,68,PReLU,214,0.0005852955278621724,False,True,None
578,0.4352419,0.0011614004629431631,53,PReLU,212,0.0004178903959670924,False,True,keras.regularizers.L1L2
579,0.43342772,0.001166258269145144,28,PReLU,60,0.000659385765140199,False,True,None
580,0.43533707,0.00019245170728487415,72,ReLU,293-221,8.696270778629667e-05,False,True,None
581,0.3820558,0.0005454913124458387,37,PReLU,365-94,0.0006635708889031502,True,False,None
582,0.41743213,0.0003753573667103032,75,PReLU,96-128,7.623786447717651e-05,False,False,None
583,0.4330644,0.0018506353585023218,27,ReLU,270,0.0009915228165733553,False,True,keras.regularizers.L1L2
584,0.3922366,0.0006360597799419248,18,PReLU,241,0.0009030572062033323,True,False,keras.regularizers.L1L2
585,0.42949224,0.0017890488231296138,25,ReLU,135-139,0.0005349136214388785,False,True,keras.regularizers.L1L2
586,0.42513686,0.0018708576402325931,64,ReLU,394,0.0006087455848511916,False,False,None
587,0.38089633,0.0005675142058455557,32,PReLU,98,9.342632114223493e-05,True,False,None
588,0.38870084,0.0019112762371962884,48,ReLU,189-149,0.0006305308849415636,True,False,keras.regularizers.L1L2
589,0.40443385,0.0011971224121051169,24,ReLU,455-167,0.00015433044480523095,True,False,None
590,0.38432354,0.0017667368169820958,58,PReLU,218-295,0.00016153999614357785,True,False,keras.regularizers.L1L2
591,0.43279624,0.00013697406193287253,53,ReLU,418-330,0.0008920427021870902,False,True,keras.regularizers.L1L2
592,0.38736582,0.00021463555136091216,20,PReLU,238,3.4136198581299794e-05,True,False,keras.regularizers.L1L2
593,0.35077956,0.00015318405672337622,48,PReLU,152-217,0.00018498472872006123,True,False,None
594,0.39246723,0.0009756515045473222,16,ReLU,316-400,0.00014221317411839817,True,False,keras.regularizers.L1L2
595,0.34600815,7.357325374131207e-05,71,PReLU,300-244,0.0001511868067112998,True,False,keras.regularizers.L1L2
596,0.43174303,0.0014988039981771294,45,PReLU,183,0.0003025324191501223,False,True,keras.regularizers.L1L2
597,0.42019522,0.0017551278940584325,15,PReLU,473,0.0003410562431605486,False,False,keras.regularizers.L1L2
598,0.42952693,0.00013735091610808547,27,ReLU,275,0.00013894056887709915,False,True,keras.regularizers.L1L2
599,0.38504386,0.001325890611969537,41,PReLU,106,0.0007174066392679367,True,False,None
