idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
650,0.38976324,0.0013292024908035797,34,PReLU,89-404,0.0002765717300539052,True,False,keras.regularizers.L1L2
651,0.39692605,0.0010645641577890356,43,ReLU,472,0.00023517566189150874,True,False,None
652,0.43117338,0.0012987645084311956,46,ReLU,453,0.0007934557830757837,False,True,keras.regularizers.L1L2
653,0.38805914,0.0006929897445867812,25,ReLU,239-148,0.0008449254391330055,True,False,None
654,0.43646747,0.0006748914367068219,27,ReLU,410,0.0009548925181882557,False,True,None
655,0.43758816,0.00036287416595538535,44,PReLU,490-362,0.0005180023472808904,False,True,None
656,0.43582106,0.00014810330484873769,11,ReLU,385,0.0002299181682959379,False,True,None
657,0.38887247,0.0010014423697735835,43,ReLU,137-240,0.00044821996342065974,True,False,keras.regularizers.L1L2
658,0.43100786,0.0017094984701773533,18,ReLU,390-278,0.00043256839354324593,False,True,keras.regularizers.L1L2
659,0.3911805,0.0009059772933152825,19,PReLU,170-177,6.679944617699274e-05,True,False,None
660,0.43129402,0.0017962625718971061,35,ReLU,301,0.000903608258863361,False,True,keras.regularizers.L1L2
661,0.36019462,2.7395149018535126e-05,22,ReLU,314,0.0004330673981530672,True,False,None
662,0.43410474,5.711044577295055e-05,37,PReLU,221,0.00011203106601674119,False,True,keras.regularizers.L1L2
663,0.25008172,2.260943675995719e-06,14,PReLU,292,0.0008607319690971371,False,False,keras.regularizers.L1L2
664,0.388998,0.0009115546571888862,43,PReLU,208,0.00048199792532532506,True,False,keras.regularizers.L1L2
665,0.40477407,0.0006592378939697781,19,PReLU,429,6.410565243154454e-05,True,False,None
666,0.3948374,0.0019347110482928144,49,PReLU,374,0.000637909062140551,True,False,None
667,0.43234795,0.0008240923867852652,15,PReLU,74-174,0.00010259122177030044,False,True,None
668,0.43375805,0.00015195173392385452,19,PReLU,227-152,0.0005658019938617442,False,True,keras.regularizers.L1L2
669,0.42773247,0.0006175536853139865,11,PReLU,340-369,0.00027798816465450136,False,False,keras.regularizers.L1L2
670,0.29089016,1.084503574368223e-05,15,ReLU,67-235,0.00034882307461668285,False,True,keras.regularizers.L1L2
671,0.43326205,0.0017626127548427493,28,PReLU,83,0.00083617017878038,False,True,None
672,0.36429134,2.243254986467691e-05,23,PReLU,497,0.0005431947792110284,True,False,None
673,0.38975102,3.413778419075286e-05,26,ReLU,207-266,0.0006692856627532989,False,True,None
674,0.34896532,4.265564642759378e-05,44,ReLU,270,0.0008576963062808728,True,False,keras.regularizers.L1L2
