idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
650,0.42343384,0.0017182566063899726,142,selu,117,0.001575623574475065,False,True,keras.regularizers.L1L2
651,0.38699928,0.0012659353271563163,94,ELU,264-265,0.00025291271275842253,True,False,None
652,0.37875077,0.000574755106502958,15,ReLU,121-378,0.001746073831468899,True,False,keras.regularizers.L1L2
653,0.38005996,0.001564375098553439,58,ReLU,419-240,0.00179485486156904,True,False,keras.regularizers.L1L2
654,0.37308806,0.00013145455669101214,142,PReLU,413,0.001040866519056919,True,False,keras.regularizers.L1L2
655,0.37793744,0.0014826329424601765,133,ELU,188,0.0013740842780425838,True,False,None
656,0.39136755,0.0005347321446166808,26,ReLU,264-459,0.0008897189727835424,True,False,keras.regularizers.L1L2
657,0.43329978,0.0005598057276800597,79,LeakyReLU,487-224,0.000838659738676803,False,True,None
658,0.38853428,0.0018731516712962935,41,PReLU,204,0.0001359079407405568,True,False,None
659,0.37517792,0.0015961261433353037,123,ELU,478-125,0.001194162572024978,True,False,keras.regularizers.L1L2
660,0.4175905,0.0001608300488954304,82,PReLU,92,0.0010876724724123662,False,True,keras.regularizers.L1L2
661,0.42214692,0.0006434363606753903,136,LeakyReLU,489,0.0019307097824378002,False,False,keras.regularizers.L1L2
662,0.43296584,0.0015205370262041157,107,PReLU,133-84,0.0014582725290959607,False,True,None
663,0.3687898,0.00014832354141826998,65,selu,213,2.43401979733493e-05,True,False,None
664,0.42713037,0.0018301315662305933,101,selu,462,0.0007546327054683888,False,True,None
665,0.42143115,0.0001923921889123872,29,selu,62-190,0.0008023967645205643,False,True,keras.regularizers.L1L2
666,0.41867113,0.0012802434325874803,44,ELU,317,0.00044742151621708604,False,False,None
667,0.4270038,0.001780062174356242,54,selu,482,0.00010699112835913116,False,True,None
668,0.38068867,0.0009999131377977945,144,ELU,284-150,0.0019263628098425795,True,False,None
669,0.4294501,0.00034289185053674553,126,PReLU,498-108,0.0011025518762171622,False,True,keras.regularizers.L1L2
670,0.4259007,0.0005947898554075637,126,ReLU,478,0.0010270172843984916,False,False,None
671,0.38778722,0.0014365992629969205,138,PReLU,236,0.0007320700814867184,True,False,keras.regularizers.L1L2
672,0.42719394,0.0006640649555866582,55,ReLU,328-471,0.0009624797221726855,False,False,None
673,0.43201643,0.00017984451286418745,78,LeakyReLU,356-342,0.0012265589285593759,False,True,keras.regularizers.L1L2
674,0.38557574,0.0004526342956736855,20,selu,487,0.0017104018411221163,True,False,keras.regularizers.L1L2
675,0.42642325,0.0018102194676449623,70,PReLU,174,0.001975565398439253,False,False,keras.regularizers.L1L2
676,0.4251173,0.00048786173656148056,34,PReLU,255-254,0.0017708081973828022,False,False,keras.regularizers.L1L2
677,0.43409538,0.0004869096845035648,73,PReLU,485,0.001177917785275069,False,True,None
678,0.38457692,0.0015660787175057803,114,LeakyReLU,67,0.0002664251178944217,True,False,None
679,0.42725068,0.0015313967752911555,131,ELU,168,0.0010471540848693162,False,True,None
680,0.38018078,0.0006443439477802784,37,LeakyReLU,204-337,0.0012713447777602462,True,False,keras.regularizers.L1L2
681,0.43181676,0.0014971361329766484,92,LeakyReLU,344-193,0.0017786007046309159,False,True,keras.regularizers.L1L2
682,0.3969004,0.0015277054242345016,50,PReLU,209,0.0007823827164815474,True,False,None
683,0.38496774,0.0019228434329928313,92,ELU,496,0.001784801442716134,True,False,keras.regularizers.L1L2
684,0.37769344,0.0019595154565066938,84,LeakyReLU,223,2.1463067733411335e-05,True,False,keras.regularizers.L1L2
685,0.38613775,0.0009813072882811143,79,ReLU,57-224,0.0004782098554830148,True,False,None
686,0.3122921,1.242966799176215e-05,114,LeakyReLU,425-394,0.0018412142899487667,False,True,keras.regularizers.L1L2
687,0.38810128,0.001976517838294018,147,PReLU,357,0.0003605421249976106,True,False,None
688,0.4282791,0.0010939581249520105,115,ELU,219,0.00024802338745247754,False,True,keras.regularizers.L1L2
689,0.43036503,0.001532710145057188,93,selu,425,0.0011603656840766805,False,True,keras.regularizers.L1L2
690,0.3919375,0.0016724013606570678,83,ReLU,457,0.000772938401251651,True,False,None
691,0.4248563,0.0009798770952104713,114,ELU,281,0.0009492398264543186,False,True,keras.regularizers.L1L2
692,0.4319821,0.0019381041171971345,68,PReLU,364-449,0.0018994046876995257,False,True,keras.regularizers.L1L2
693,0.41340473,0.0012003183595280398,123,selu,174-117,0.0018664425318081566,False,False,None
694,0.43455726,0.0002486107415278891,12,LeakyReLU,314-492,0.0008037373123268388,False,True,None
695,0.36815783,0.0015592224143029538,133,selu,239-97,5.255147033464747e-05,True,False,None
696,0.42523205,0.00014127746406930952,27,selu,392,0.00021122826440266907,False,True,None
697,0.4321539,0.0005229948070307815,139,LeakyReLU,261,0.00040226193383366394,False,True,None
698,0.4322302,0.0018845993825155995,106,PReLU,335-471,0.00028863177665270246,False,True,keras.regularizers.L1L2
699,0.43419445,0.0003312910595652965,34,PReLU,191-264,0.0010864060738615302,False,True,None
