idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
675,0.4330005,0.0005032097483194007,46,PReLU,52-328,0.0009977916234139028,False,True,keras.regularizers.L1L2
676,0.43345863,0.00045152059879734717,22,ReLU,229,0.00041863198408173476,False,True,keras.regularizers.L1L2
677,0.39862996,0.001448766649615736,37,PReLU,283,0.00037333542080599235,True,False,keras.regularizers.L1L2
678,0.3755924,0.0007101208714258893,38,PReLU,65,0.0004899013410456755,True,False,None
679,0.38765556,0.0008056531787209844,27,ReLU,357-157,0.0005260896023872691,True,False,None
680,0.3821448,0.0004980304868736773,12,PReLU,58,7.275303020529589e-05,True,False,None
681,0.38151184,0.0006069395743148589,48,PReLU,75-471,0.00023394241992498268,True,False,None
682,0.35567802,0.00019165574158482035,15,PReLU,263-190,0.0002412720868599686,True,False,None
683,0.42709792,0.0008398122975480378,28,ReLU,128,0.0008621090214812908,False,False,keras.regularizers.L1L2
684,0.39395326,0.0019949401625781035,25,PReLU,110-368,0.0007832203373554892,True,False,None
685,0.44054604,7.773645471813518e-05,34,PReLU,270,1.6552240395327654e-05,False,True,None
686,0.39095342,0.0003116137654037137,25,ReLU,332-312,0.0002862830694357861,True,False,keras.regularizers.L1L2
687,0.4040702,0.001503928591117421,46,PReLU,398-415,0.0006880768603982261,True,False,None
688,0.42741942,0.0018481826853947163,34,ReLU,88-127,0.0009343082424197346,False,True,keras.regularizers.L1L2
689,0.43350944,0.0011629379812964265,45,PReLU,157-370,0.0009952556778053312,False,True,None
690,0.35291353,8.646647238153494e-05,50,PReLU,77,0.00041364581788975774,True,False,keras.regularizers.L1L2
691,0.43687174,0.0008799690039679705,24,ReLU,366-334,0.00043216131188077346,False,True,None
692,0.31126106,6.774341072869494e-05,27,PReLU,198-52,0.0005868822711778513,True,False,keras.regularizers.L1L2
693,0.4354455,0.0005258328318920196,14,ReLU,229-77,0.000638161995921452,False,True,keras.regularizers.L1L2
694,0.43867692,0.00039683567279694376,48,PReLU,455-85,0.00036590163205302127,False,True,None
695,0.40177613,0.000796091691984499,37,PReLU,470-372,0.00010732649975465436,True,False,None
696,0.4313994,0.0013763747806581454,14,PReLU,262-294,0.000768345320931398,False,True,None
697,0.35044846,8.368054077653664e-05,45,PReLU,156,0.0007323466880079302,True,False,keras.regularizers.L1L2
698,0.38602865,0.0008019555594601111,50,ReLU,213-362,7.675982714240382e-05,True,False,None
699,0.43142796,0.0009027095442827726,46,ReLU,485-398,0.0008633160085503149,False,True,keras.regularizers.L1L2
