idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
700,0.36865234,0.014151493054945964,171,ELU,166-389-421,0.0,True,False,None
701,0.34318227,0.012424861666737043,153,LeakyReLU,429-96-201,0.0,False,True,None
702,0.36904758,0.001614701516641054,163,LeakyReLU,45,0.0,True,False,None
703,0.30387598,0.02586642413843834,249,ReLU,265-284-414,0.0,False,True,keras.regularizers.L1L2
704,0.22051483,0.049448683004827645,161,ReLU,470-67-121,0.0,False,False,None
705,0.42046428,0.004910230512395259,107,ReLU,114-102,0.0,False,False,keras.regularizers.L1L2
706,0.36709797,0.04723921409571681,245,LeakyReLU,426-43,0.0,True,False,None
707,0.39992976,0.008501885529163384,157,selu,452-231,0.0,False,True,None
708,0.22051483,0.04124714478249668,187,ReLU,371-234-195,0.0,False,True,None
709,0.43350777,0.0026717783681442123,199,selu,274-462,0.0,False,True,keras.regularizers.L1L2
710,0.3732713,0.019783729465427415,132,ReLU,211-316-469,0.0,True,False,None
711,0.35232392,0.023700109536008762,164,selu,443-399-145,0.0,True,False,keras.regularizers.L1L2
712,0.19678059,0.025476211982111443,121,LeakyReLU,388,0.0,False,True,None
713,0.3923809,0.023846036879583456,54,ELU,95,0.0,False,True,keras.regularizers.L1L2
714,0.22051483,0.04706125404497774,90,ReLU,204-149-66,0.0,False,True,None
715,0.4267414,0.0009670562714546749,90,ReLU,120-430-480,0.0,False,True,keras.regularizers.L1L2
716,0.39349985,0.030067974131464233,45,LeakyReLU,421,0.0,True,False,None
717,0.38071895,0.026959846020115703,82,selu,97,0.0,True,False,None
718,0.3396973,0.04009423552228686,154,ELU,83,0.0,False,True,None
719,0.17424214,0.044873278937741845,161,PReLU,244,0.0,False,True,None
720,0.380807,0.01244404145913855,78,PReLU,460-120-461,0.0,False,True,keras.regularizers.L1L2
721,0.3589482,0.04216043137262838,181,LeakyReLU,403-159-176,0.0,True,False,None
722,0.36117128,0.045052567711125674,60,PReLU,313-95,0.0,True,False,None
723,0.34473065,0.022179974931297936,181,selu,155-262-38,0.0,True,False,keras.regularizers.L1L2
724,0.41152263,0.029562430639006956,65,PReLU,46,0.0,False,True,keras.regularizers.L1L2
725,0.40606183,0.014737514037469653,221,LeakyReLU,187-386-42,0.0,False,True,keras.regularizers.L1L2
726,0.3759257,0.0282560094891339,161,selu,144,0.0,True,False,keras.regularizers.L1L2
727,0.14630786,0.03128684047606478,40,LeakyReLU,437-303,0.0,False,True,None
728,0.19912241,0.03781222257233119,153,PReLU,318,0.0,False,True,None
729,0.38886496,0.0012849218945805486,40,ELU,499,0.0,True,False,None
730,0.22902523,0.047444622173195256,205,LeakyReLU,425-99-178,0.0,False,False,keras.regularizers.L1L2
731,0.24630518,0.025331609261229505,122,LeakyReLU,424-491,0.0,False,True,keras.regularizers.L1L2
732,0.30303475,0.03883437331109828,126,ELU,261,0.0,False,True,keras.regularizers.L1L2
733,0.37902236,0.025640554019234,44,selu,428-305-29,0.0,True,False,None
734,0.3628869,0.03743637234104063,167,ReLU,204-209-280,0.0,True,False,keras.regularizers.L1L2
735,0.36576095,0.02569424630827727,123,LeakyReLU,199-213,0.0,True,False,None
736,0.38319483,0.003974097834780132,215,ELU,83,0.0,True,False,keras.regularizers.L1L2
737,0.3751039,0.021667284223738228,153,selu,264-93-348,0.0,True,False,keras.regularizers.L1L2
738,0.37084383,0.02118197796485151,111,selu,81-93-357,0.0,True,False,keras.regularizers.L1L2
739,0.3775721,0.013014288794295965,199,LeakyReLU,451-351,0.0,True,False,None
740,0.38370097,0.01751350734483317,215,PReLU,183-191-182,0.0,False,True,None
741,0.4217561,0.011421809923126015,250,PReLU,343-84,0.0,False,True,None
742,0.22051483,0.01721681429534999,199,LeakyReLU,403-102-367,0.0,False,True,None
743,0.38304532,0.007834070066943684,61,ELU,121-229,0.0,True,False,None
744,0.38344395,0.010781759047253581,233,selu,178-484,0.0,True,False,None
745,0.36327738,0.019053279874961394,185,selu,235-39,0.0,True,False,None
746,0.35087287,0.023453646417901937,256,ELU,433-135-209,0.0,True,False,keras.regularizers.L1L2
747,0.32055303,0.01613006415832019,94,ELU,189-191-467,0.0,False,True,keras.regularizers.L1L2
