idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
700,0.42402297,0.001983409733144288,127,ReLU,81-227,0.0009696030368298203,False,True,None
701,0.39958858,0.0013713019874040723,117,PReLU,245-413,0.0013208089581229741,True,False,None
702,0.43291774,0.0015195011791498568,77,ReLU,420,0.0003176494536998795,False,True,keras.regularizers.L1L2
703,0.41881403,0.0005591887118433319,80,ELU,296,0.0008082684224180988,False,False,None
704,0.4226691,0.0018931691466781274,107,LeakyReLU,127,0.0015549664918196062,False,False,keras.regularizers.L1L2
705,0.4297917,0.0013976586617390663,40,ELU,411-358,0.0009853607368558507,False,True,None
706,0.43484122,0.0014031903931314713,42,PReLU,276-449,0.0014986956211095438,False,True,None
707,0.36985427,0.0011969359749924437,98,ELU,75,0.0011297598211278753,True,False,keras.regularizers.L1L2
708,0.43457627,0.00041703062582170206,114,PReLU,480-159,0.0011299645634084672,False,True,keras.regularizers.L1L2
709,0.36374825,0.00017537158437858923,84,PReLU,308-148,3.827086013952674e-05,True,False,keras.regularizers.L1L2
710,0.4217304,0.0005372408038263321,62,selu,175-374,0.0018662982813025292,False,True,None
711,0.3784318,0.0004973081804837682,88,LeakyReLU,129-461,0.000828988868198341,True,False,keras.regularizers.L1L2
712,0.37700197,0.0007437943027232279,86,ReLU,323-443,0.0013784597664942024,True,False,keras.regularizers.L1L2
713,0.39396977,0.001475037589451009,13,PReLU,237-410,0.0001690187972443571,True,False,None
714,0.37034637,0.00015379018361161555,55,LeakyReLU,285,0.0013408746528556542,True,False,keras.regularizers.L1L2
715,0.37260443,0.00024796714095046867,22,selu,169-325,0.0015225983799724548,True,False,keras.regularizers.L1L2
716,0.36936873,0.0003215221246546336,141,selu,135,0.0006302356583621514,True,False,keras.regularizers.L1L2
717,0.4162251,0.0019208075719951566,15,LeakyReLU,163-235,0.0007746000207041108,False,False,keras.regularizers.L1L2
718,0.37480402,0.000841491962449092,138,ELU,424-362,0.0009478851367924377,True,False,None
719,0.4302882,0.001193180920955222,109,ELU,279,9.765004991911575e-05,False,True,None
720,0.43168896,0.0019642219768861353,113,LeakyReLU,323-143,0.001501270757136777,False,True,None
721,0.39094785,0.0016846442254063803,27,LeakyReLU,418,0.0007888472960980975,True,False,None
722,0.39674744,0.0007668204290817764,33,ReLU,163,0.0014253891347843497,True,False,keras.regularizers.L1L2
723,0.42922223,0.0009975089698157234,64,selu,480-269,0.0019441733747631927,False,True,keras.regularizers.L1L2
724,0.42436928,0.0005430344502165567,58,ELU,288,0.00017253647331772636,False,False,None
725,0.4197561,0.0007784414496751209,89,selu,308,0.001803599095635008,False,True,keras.regularizers.L1L2
726,0.42614287,0.0017265077981588521,94,selu,400,0.0010392781837323052,False,True,None
727,0.3667013,0.00026694463917391163,122,selu,281-440,0.0017538434661305883,True,False,keras.regularizers.L1L2
728,0.3865403,0.001027743302601381,51,selu,335-91,9.256903798518223e-05,True,False,None
729,0.38396156,0.0013847639641840635,93,ELU,257-133,0.0006325328319172867,True,False,keras.regularizers.L1L2
730,0.38279974,0.00041192054483178356,78,ELU,57,0.00026424342690212145,True,False,keras.regularizers.L1L2
731,0.42715517,0.0012070411106917395,71,ELU,255,0.0013043228317336356,False,True,None
732,0.378781,0.00048608463959697333,138,LeakyReLU,178,0.000994304150482365,True,False,None
733,0.380898,0.000542970552638107,141,LeakyReLU,455-336,2.8762860670353163e-05,True,False,None
734,0.3861926,0.001047893409421089,129,LeakyReLU,396,0.0008668742213487444,True,False,keras.regularizers.L1L2
735,0.42467874,0.0013095316264589703,87,selu,470-171,0.0007699629688424456,False,True,None
736,0.42087615,0.0014669461356180238,106,ELU,71,0.001760970284847653,False,True,None
737,0.4330926,0.0001543188560417834,55,PReLU,372,0.0008063416508532002,False,True,keras.regularizers.L1L2
738,0.38273025,0.0010187986339709788,28,ELU,279-432,0.0011634208221723754,True,False,None
739,0.43307734,0.0007230108238381763,118,LeakyReLU,310-79,0.0011271852755515975,False,True,None
740,0.3802492,0.0010256239402194798,45,selu,255,0.001200739284640866,True,False,None
741,0.4234202,0.00016660679258413702,144,LeakyReLU,281-498,0.0013972590397727394,False,False,keras.regularizers.L1L2
742,0.37295693,0.0007390021581072817,48,ReLU,144-259,0.001997842748169636,True,False,None
743,0.4272954,0.0008793007535873235,28,ELU,91,0.0009915901928451978,False,False,keras.regularizers.L1L2
744,0.43084508,0.0001574631995732687,72,PReLU,153,0.0013102347203542252,False,True,None
745,0.4361429,0.0012790866499999879,45,ReLU,142-401,0.0011140867873447927,False,True,None
746,0.4350186,9.513424990536845e-05,62,ReLU,467,0.0006394027615178497,False,True,None
747,0.42322648,0.00020542731830515694,99,selu,486-481,0.0019468829863392573,False,True,keras.regularizers.L1L2
748,0.43725497,0.001799116851555307,23,LeakyReLU,318-116,0.0012950622259927397,False,True,None
749,0.38481426,0.00061391079833537,134,PReLU,443,0.0009135420482518105,True,False,None
