idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
750,0.08409619,0.03665689069152506,81,ELU,495-132-397,0.0,False,False,None
751,0.4080891,0.017748471545891775,197,PReLU,176-61,0.0,False,True,None
752,0.37853017,0.0007416663291085868,218,ELU,284,0.0,True,False,keras.regularizers.L1L2
753,0.38284397,0.005019869039427133,17,selu,382-374,0.0,True,False,keras.regularizers.L1L2
754,0.22051483,0.03252355739773323,23,ELU,231-364,0.0,False,False,keras.regularizers.L1L2
755,0.15514177,0.01865224150025886,216,LeakyReLU,339-274,0.0,False,False,None
756,0.37967646,0.03658930211255864,154,ELU,201,0.0,True,False,keras.regularizers.L1L2
757,0.22256812,0.03538709748385868,141,ReLU,116-346,0.0,False,True,None
758,0.15514177,0.04950576135967057,194,LeakyReLU,143-221,0.0,False,False,None
759,0.33585727,0.02034068419321752,246,PReLU,478-247,0.0,True,False,keras.regularizers.L1L2
760,0.17653419,0.0311841733247335,152,ReLU,408-333-48,0.0,False,True,None
761,0.37495995,0.047136057938737486,239,ELU,236-350,0.0,True,False,None
762,0.13990922,0.04914093490006831,56,ELU,163-233-479,0.0,False,False,None
763,0.27085036,0.0451869532712913,215,PReLU,380-40,0.0,False,True,keras.regularizers.L1L2
764,0.22051483,0.038311804659701514,198,selu,266-488-262,0.0,False,False,None
765,0.17653419,0.049594281151219104,70,ELU,298,0.0,False,True,None
766,0.22638819,0.022526501427610826,67,PReLU,206-112-283,0.0,False,True,None
767,0.37371397,0.005378640503658339,154,ReLU,55-53,0.0,True,False,None
768,0.37545896,0.03404352057678222,111,LeakyReLU,147,0.0,False,True,keras.regularizers.L1L2
769,0.41931397,0.011197565007614025,253,PReLU,277-129,0.0,False,True,None
770,0.36963445,0.012880124467781008,56,ReLU,50-417-446,0.0,False,False,keras.regularizers.L1L2
771,0.25272572,9.13407272531419e-06,215,PReLU,284-207-227,0.0,False,True,keras.regularizers.L1L2
772,0.3296695,0.014520743711655282,177,PReLU,36-246-292,0.0,False,True,None
773,0.38213277,0.019728498588836664,40,ReLU,141,0.0,True,False,None
774,0.35599786,0.015219536708514742,168,selu,320-365-315,0.0,True,False,keras.regularizers.L1L2
775,0.17653419,0.034777786100012927,201,selu,445,0.0,False,False,None
776,0.2524121,0.015585893391018076,165,LeakyReLU,439-178,0.0,False,False,keras.regularizers.L1L2
777,0.42067614,0.007184708759977227,250,PReLU,374-439,0.0,False,True,None
778,0.43274254,0.001259012552073363,212,LeakyReLU,265-428,0.0,False,True,keras.regularizers.L1L2
779,0.42356128,0.002056974671305595,51,ELU,26-94-109,0.0,False,True,None
780,0.39078164,0.007622373738130156,64,ELU,458,0.0,True,False,None
781,0.37545562,0.0050001775703247655,168,ReLU,100-33,0.0,True,False,None
782,0.19912241,0.02585356118215869,253,ELU,282-122-286,0.0,False,True,None
783,0.37021267,0.044040469076376876,215,PReLU,117,0.0,True,False,None
784,0.38539293,0.0076379709814674126,41,ReLU,196,0.0,True,False,None
785,0.22156535,0.04881419266321649,104,LeakyReLU,277-359,0.0,False,True,keras.regularizers.L1L2
786,0.38829997,0.033115513456518295,37,ReLU,60-96,0.0,True,False,None
787,0.35914564,0.008385561130654867,228,selu,136,0.0,True,False,keras.regularizers.L1L2
788,0.2918397,0.011723074715380689,125,ELU,127-95-304,0.0,False,False,None
789,0.19028848,0.029389236678140675,83,LeakyReLU,238-478-411,0.0,False,True,None
790,0.2955428,0.015578174292082298,26,ELU,480,0.0,False,False,keras.regularizers.L1L2
791,0.22051483,0.020894380792086865,199,selu,424-389,0.0,False,True,None
792,0.18169333,0.02148587878534507,41,PReLU,253-329-137,0.0,False,False,None
793,0.42340612,0.004941727801895269,26,selu,395-239,0.0,False,True,None
794,0.348748,0.04584861834681924,97,LeakyReLU,96-298-303,0.0,True,False,keras.regularizers.L1L2
795,0.30232903,0.03966411312258586,187,selu,147,0.0,False,True,keras.regularizers.L1L2
796,0.38007444,0.018518718525213196,218,PReLU,238,0.0,True,False,keras.regularizers.L1L2
797,0.38153374,0.020405911176910187,71,ELU,321-265,0.0,True,False,None
798,0.25148237,0.012767606406486998,230,ReLU,58-355-448,0.0,False,True,None
799,0.36886206,0.012787491907658589,121,ReLU,447-178,0.0,False,True,keras.regularizers.L1L2
