idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
75,0.42629513,0.0014445849501712172,122,LeakyReLU,203-188,0.0018868359709476958,False,True,None
76,0.3513413,0.00026226107751817196,87,PReLU,267-281,0.001486166919564316,True,False,keras.regularizers.L1L2
77,0.3958854,0.0011253362104229215,134,ReLU,321,0.0001917224869380907,True,False,None
78,0.42804697,0.0018148260105074051,31,ReLU,162-316,0.0004393199889771469,False,True,None
79,0.4325422,0.0007914448811395607,88,ReLU,257-225,0.0019428923042293608,False,True,None
80,0.37224504,0.0009143371419059745,106,ELU,337,0.0016069095534758406,True,False,keras.regularizers.L1L2
81,0.4199096,0.001371829435844891,36,ELU,361-52,0.0008481482627798793,False,False,None
82,0.43120158,0.0005607612074433648,122,ELU,142-169,0.0005958357105089193,False,True,keras.regularizers.L1L2
83,0.43740076,0.00175068144410337,17,PReLU,450,0.001039160247694868,False,True,None
84,0.375824,0.001149576807328608,85,selu,207,0.00045732691031972816,True,False,keras.regularizers.L1L2
85,0.42755944,0.0015347109489717119,100,PReLU,263-223,0.001256413069630233,False,True,None
86,0.41410846,0.0006410978294018077,91,selu,284-417,0.0015693061943923836,False,False,None
87,0.4296795,0.000532375332474208,150,LeakyReLU,363,2.3582728567100197e-05,False,True,keras.regularizers.L1L2
88,0.25441337,1.4077017511874291e-05,125,ReLU,216-209,0.000732976260729278,True,False,keras.regularizers.L1L2
89,0.4251778,8.45128449214303e-05,88,ELU,363-284,0.0019375822792957853,False,True,None
90,0.37593156,0.0005105824783389334,126,selu,368-335,0.00044572335330052206,True,False,None
91,0.43112528,0.0011670847239230605,106,PReLU,199-271,0.0014576138060769155,False,True,keras.regularizers.L1L2
92,0.42538142,0.0013315458404837524,84,selu,60,0.0013404632032704116,False,True,keras.regularizers.L1L2
93,0.37973347,0.0005513908007105635,58,selu,393,4.694954171002008e-05,True,False,keras.regularizers.L1L2
94,0.42961287,0.00024717363960377603,41,LeakyReLU,212,0.0010378892683333342,False,True,None
95,0.42366612,0.0006251050261743254,48,selu,486,0.0018478282188765303,False,True,keras.regularizers.L1L2
96,0.3820483,0.0014773790518665328,130,ELU,446-355,0.001817530049406069,True,False,None
97,0.36475426,0.00033601890080451024,142,PReLU,345-451,0.0015311923470557659,True,False,None
98,0.37412417,0.0007533041922935817,51,ReLU,96-363,0.0008557565553284373,True,False,None
99,0.43287647,0.0006463830864154551,25,ReLU,279-98,0.00014293359839871145,False,True,keras.regularizers.L1L2
