idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
800,0.38726932,0.0018422678694604698,26,PReLU,110-283,0.0014323218523941861,True,False,None
801,0.4231441,0.0010312254424964004,21,PReLU,76,0.0018971347578692576,False,False,keras.regularizers.L1L2
802,0.39043516,0.0015802862740409843,12,PReLU,165,0.0010283001823161006,True,False,keras.regularizers.L1L2
803,0.42494607,0.0009659854084006836,11,ReLU,172,0.0003259336181014743,False,False,None
804,0.43073648,6.652244602041057e-05,65,PReLU,467,0.0014774152632441814,False,True,None
805,0.38883215,0.0012869289890664135,117,LeakyReLU,361,0.0011660988240439951,True,False,keras.regularizers.L1L2
806,0.41634068,0.0010324586861879467,84,selu,82-332,0.0009176991037482521,False,True,None
807,0.3873167,0.0014168090662800815,113,PReLU,362-124,0.0017902479569387928,True,False,None
808,0.36923707,0.0006289269812956084,61,LeakyReLU,74-466,4.1178089951252384e-05,True,False,None
809,0.42107463,0.0017933719419852996,19,ELU,172-366,0.0005217154618430038,False,True,keras.regularizers.L1L2
810,0.36012053,8.007724168701925e-05,132,ELU,225-439,0.0017753393134892718,True,False,keras.regularizers.L1L2
811,0.42990708,0.0017727505811592557,23,selu,167,0.000700017421936477,False,True,None
812,0.38868332,0.0003475057003451192,25,LeakyReLU,345,0.0003727038781406593,True,False,None
813,0.42343348,0.00022842918804459323,146,PReLU,169,0.001013827653882783,False,False,None
814,0.42300388,0.0018891464486808086,14,LeakyReLU,438-393,0.0014021703032504834,False,True,None
815,0.4287218,0.001442521628289449,113,ELU,420-360,0.000881958353529095,False,True,keras.regularizers.L1L2
816,0.40343615,0.001239436901944957,135,PReLU,420-244,0.0004907171442151785,True,False,None
817,0.42466635,0.0013673069979439462,122,selu,498,0.0005999040421655755,False,True,None
818,0.4310779,0.001700655378160746,40,ELU,492-196,0.00024313215355199213,False,True,keras.regularizers.L1L2
819,0.37002623,0.0018455107526591818,139,selu,267,0.001127362441480719,True,False,None
820,0.42748958,0.000993145945057756,66,LeakyReLU,265,0.0009821695789643233,False,True,None
821,0.43263054,0.0011698190214540008,99,LeakyReLU,234,0.00046474734005512387,False,True,None
822,0.3692617,0.00042779033194217345,82,selu,107-212,0.0009946449493407853,True,False,None
823,0.43417168,0.0019021839862410491,123,ReLU,382,0.001116429487653062,False,True,keras.regularizers.L1L2
824,0.4335098,0.0005836638490222153,18,PReLU,188-270,0.0009917048008704808,False,True,keras.regularizers.L1L2
825,0.370452,0.0015118863562628457,140,LeakyReLU,348-84,0.001410385370370291,True,False,keras.regularizers.L1L2
826,0.3997437,0.0016052270648553128,131,ReLU,193,0.0013077116853933007,True,False,keras.regularizers.L1L2
827,0.38629916,0.0011012023883231613,34,LeakyReLU,235-466,0.0005154939243548334,True,False,keras.regularizers.L1L2
828,0.3869862,0.0015295037247012762,78,LeakyReLU,386,0.0019508126166791048,True,False,keras.regularizers.L1L2
829,0.3712353,0.0010080074296001656,144,selu,360,0.0007832414447414528,True,False,keras.regularizers.L1L2
830,0.42831376,0.00021169630923325135,42,ReLU,466-414,0.0006203853176564904,False,True,keras.regularizers.L1L2
831,0.4321184,0.0006924857855780344,127,ReLU,496,0.0010747884812582146,False,True,None
832,0.3749451,0.0016425643631167392,71,selu,326-266,0.0013062279599482807,True,False,keras.regularizers.L1L2
833,0.38564253,0.00026383757526313254,19,ReLU,287,0.0011385304106772633,True,False,keras.regularizers.L1L2
834,0.4230671,0.0001362753844298059,18,LeakyReLU,173,0.0006236374269968137,False,False,None
835,0.42722774,0.0005324967467476651,112,LeakyReLU,147-259,0.0006418480677631172,False,True,None
836,0.43087685,0.0003978849233542985,111,ELU,263,0.0018362482094501464,False,True,None
837,0.42308885,0.0005259079802516881,146,ELU,98-168,0.0010162874661791758,False,True,None
838,0.27178544,5.9222421380165095e-06,44,ELU,434-270,0.001051404249251541,True,False,None
839,0.37382132,0.000423168487915387,43,selu,135-233,2.7511387431808255e-05,True,False,None
840,0.43924043,0.0013289465004850058,38,ReLU,359,0.000710488146437666,False,True,None
841,0.42735296,0.0005345272756323198,60,ELU,296,0.0007279439864142763,False,True,None
842,0.39407206,0.001944266364948085,12,LeakyReLU,467-226,0.0017731505463041736,True,False,None
843,0.43168557,0.0019920884871744648,112,ReLU,377-393,1.0656532948503994e-05,False,True,keras.regularizers.L1L2
844,0.39673182,0.0011013362513025886,17,ReLU,385-258,0.0013759441726138274,True,False,keras.regularizers.L1L2
845,0.37919667,0.0017019231733640587,150,ELU,243-268,0.0001994256234449139,True,False,keras.regularizers.L1L2
846,0.4257957,0.0006744167788752185,31,selu,179,0.0005904819007554196,False,True,keras.regularizers.L1L2
847,0.4310366,0.0019245505297866509,21,LeakyReLU,177,0.0014828870035773403,False,True,None
848,0.37401864,0.0015937021223895167,105,ELU,89,0.000537131610673865,True,False,None
849,0.4225585,0.001277663968946952,23,LeakyReLU,426-404,0.0012808361070744583,False,False,keras.regularizers.L1L2
