idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
800,0.342938,3.26559690988204e-05,60,PReLU,50-443,0.00035325729298318973,False,True,keras.regularizers.L1L2
801,0.33678097,7.277580681138107e-05,59,PReLU,335-277,0.0006594283479092199,True,False,keras.regularizers.L1L2
802,0.42749214,7.869849370083104e-05,22,ReLU,262,0.0007772117729666222,False,True,None
803,0.3986733,3.922340516722578e-05,71,PReLU,401-224,0.0009052969688383826,False,True,None
804,0.43917757,0.0004911217690475635,47,PReLU,126,2.8349100277014983e-05,False,True,None
805,0.43502882,0.0003729882504051134,23,ReLU,360-275,0.0004712487225041813,False,True,None
806,0.43083897,0.0009104922434342166,19,ReLU,496-242,2.1475070238930473e-05,False,True,keras.regularizers.L1L2
807,0.4257794,0.00021003173687116373,11,ReLU,154,0.0004616939184216146,False,False,None
808,0.39241755,0.0018282476385042077,64,ReLU,214,0.00019894571457163912,True,False,None
809,0.39304584,0.0013751945154678482,24,ReLU,220-307,0.0007128085867582217,True,False,keras.regularizers.L1L2
810,0.3889576,0.0005953247805431978,63,ReLU,419-285,0.0006092146319628734,True,False,keras.regularizers.L1L2
811,0.42805225,0.00010450039274925271,13,PReLU,390-167,0.0008306966182772879,False,True,keras.regularizers.L1L2
812,0.41114804,0.0005205392605538941,70,PReLU,100-52,0.0002890060696000376,False,False,None
813,0.4014597,0.00045885875773068487,23,ReLU,337,0.00045063640370317037,True,False,None
814,0.44072443,0.0018489810474358456,78,PReLU,305,0.0005784864765081276,False,True,None
815,0.4358056,0.000431300210844892,19,PReLU,430,0.0002509309730103111,False,True,None
816,0.39127973,0.0018754566370867607,66,PReLU,309-450,0.0009091573450940004,True,False,keras.regularizers.L1L2
817,0.43330568,0.0006781492976588696,64,PReLU,247,0.0004192279581702256,False,True,keras.regularizers.L1L2
818,0.39608932,0.0007648629163277201,24,PReLU,153,0.00048433066000741135,True,False,None
819,0.43827266,0.0008931485482433895,66,PReLU,365,0.0003724744329315486,False,True,None
820,0.4313804,0.0007678590116701891,75,ReLU,368-90,0.0001268872759717883,False,True,keras.regularizers.L1L2
821,0.38612938,1.14509507635292e-05,15,ReLU,113,1.7147719238758575e-05,False,True,keras.regularizers.L1L2
822,0.3776396,0.0004485174509967289,44,ReLU,256-464,6.489770752447e-05,True,False,None
823,0.43770015,0.0004931701050674388,67,ReLU,146,0.00013402788164813294,False,True,None
824,0.37213373,0.00034851079370391293,61,ReLU,218,0.00037096354411442944,True,False,None
825,0.43226182,0.0017967412819491658,30,PReLU,385-184,0.0007449256219621709,False,True,None
826,0.3841269,0.0010533487157749944,70,PReLU,189-80,0.0006944033428391368,True,False,None
827,0.44026595,0.0005105693937556484,27,ReLU,272,0.0009778672545794585,False,True,None
828,0.43254524,0.0012764629599310469,63,PReLU,290-360,0.00022662510663100743,False,True,None
829,0.3885725,0.0011460948942587303,10,PReLU,145-464,0.0008444388705212883,True,False,None
830,0.43252283,0.00033141125147286243,62,PReLU,499-362,0.0003259659786221938,False,True,None
831,0.43701518,0.0003980407999253821,43,PReLU,357,0.0005657700255364147,False,True,keras.regularizers.L1L2
832,0.3959746,0.001890473280400068,55,ReLU,444,0.00021994325492270272,True,False,None
833,0.39000434,0.0003033725522349917,35,ReLU,432,0.000615016118948165,True,False,keras.regularizers.L1L2
834,0.44153655,0.0008161330122645357,11,PReLU,285,7.374931824526487e-05,False,True,None
835,0.39361066,0.0008420442596830778,47,PReLU,112,0.0006948944250533359,True,False,keras.regularizers.L1L2
836,0.43144086,0.0019877821695431035,21,PReLU,241,0.00037659391468912283,False,True,keras.regularizers.L1L2
837,0.3961534,0.0009640901677447084,41,PReLU,137-350,0.0001372753702450592,True,False,keras.regularizers.L1L2
838,0.43320101,0.001907380449226329,64,ReLU,139,0.00040478083186374513,False,True,keras.regularizers.L1L2
839,0.36853427,0.0002437559840461776,80,PReLU,434-112,0.0007466368593852852,True,False,keras.regularizers.L1L2
840,0.38324326,0.0016084992367987308,68,PReLU,224-174,0.0002419115208784366,True,False,None
841,0.42459905,0.00045088796874136227,63,PReLU,422-145,0.0007930119293978841,False,False,None
842,0.42296565,0.001354977434467271,67,ReLU,242,0.0002781445675049563,False,False,keras.regularizers.L1L2
843,0.4310835,0.0006903230987753617,75,ReLU,239,0.0007936726109278439,False,True,keras.regularizers.L1L2
844,0.4369164,0.0016813403680216962,65,PReLU,263,0.0005749217676307222,False,True,None
845,0.3904066,0.0016644602068354947,28,PReLU,452,0.0008303203028367586,True,False,keras.regularizers.L1L2
846,0.38603222,0.0016645695714157045,79,PReLU,68-381,0.0001116209677769272,True,False,None
847,0.3449347,4.971996257132627e-05,47,ReLU,270-398,0.0005791838539580634,True,False,keras.regularizers.L1L2
848,0.43439943,0.0016589646305219948,11,PReLU,209-268,0.00020007135864170012,False,True,keras.regularizers.L1L2
849,0.3806197,0.001751230473034211,59,ReLU,262,0.0006658915343731736,True,False,keras.regularizers.L1L2
