idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
825,0.39465478,0.0015523606628580757,22,ReLU,274-302,0.0009243379878116842,True,False,None
826,0.43400037,0.0017914956778975967,42,ReLU,496-52,0.00022443257859642573,False,True,None
827,0.43273646,0.0007953160162554606,32,PReLU,355,0.00027586140860806055,False,True,keras.regularizers.L1L2
828,0.42808163,0.0008132414272560482,16,PReLU,295-366,0.00013505716844439787,False,True,None
829,0.43795726,0.0003866062691608183,25,ReLU,193,0.00038381933252399936,False,True,keras.regularizers.L1L2
830,0.39608574,0.0009580894939389937,35,ReLU,317-437,0.0006997659035568379,True,False,None
831,0.39128262,0.0013903546520972554,41,ReLU,221-352,0.0009476128719072722,True,False,keras.regularizers.L1L2
832,0.4371236,0.0007354461072262941,18,ReLU,337,0.0009416053041775625,False,True,None
833,0.43226826,0.001650450859596985,49,PReLU,400-394,0.0009150195049198127,False,True,keras.regularizers.L1L2
834,0.39848655,0.0012523379067073642,41,ReLU,132,2.0591474337301354e-05,True,False,keras.regularizers.L1L2
835,0.42369807,0.0005653101501181863,40,ReLU,497-334,6.298613546746812e-05,False,False,None
836,0.3928907,0.001456344593326696,43,PReLU,486-269,0.0007701764322445093,True,False,keras.regularizers.L1L2
837,0.3865408,0.0014309749171169007,38,PReLU,316,0.000517747552114347,True,False,keras.regularizers.L1L2
838,0.3995114,0.0016054914778992552,34,ReLU,174,0.0004029310479550503,True,False,None
839,0.3807364,0.0019603624391682788,30,PReLU,66,0.0008342583231752926,True,False,None
840,0.43553114,0.00034194837186028205,23,ReLU,401,0.0008470796663448637,False,True,keras.regularizers.L1L2
841,0.39264357,0.000691638794563372,32,PReLU,464,0.0006163409754479159,True,False,keras.regularizers.L1L2
842,0.42544937,0.00019359600509805187,30,PReLU,254-481,0.0006115239347122648,False,False,None
843,0.39305177,0.001165215728123895,39,PReLU,339,0.0007341729872264384,True,False,keras.regularizers.L1L2
844,0.42183524,0.0002768312808586533,35,ReLU,355-313,0.0007256258486979617,False,False,keras.regularizers.L1L2
845,0.36120656,9.800196741755585e-05,50,PReLU,342,0.0005348377723804834,True,False,None
846,0.39277294,0.0017578903523655246,44,PReLU,104-384,0.0007597391733797899,True,False,keras.regularizers.L1L2
847,0.43014175,0.0011358669501229368,12,ReLU,469-170,9.697228358740451e-05,False,True,keras.regularizers.L1L2
848,0.39684704,0.001231951489545837,26,PReLU,367-199,0.00044631191247839966,True,False,None
849,0.4089104,0.001611697271396853,16,PReLU,426-170,0.0004567608335867861,True,False,None
