idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
850,0.38385415,0.0004900651250984542,68,PReLU,50,0.0004500868113745196,True,False,keras.regularizers.L1L2
851,0.44097936,0.0015562777794771907,77,PReLU,318-485,0.0002523240927792476,False,True,None
852,0.416219,0.00020242282100347487,51,PReLU,54-132,0.0002958834174684956,False,True,None
853,0.43677622,0.0006418159184183934,63,ReLU,221-418,0.0008222252974292888,False,True,None
854,0.43614632,0.0017163825096012833,50,PReLU,398,7.764863147915258e-05,False,True,None
855,0.39923984,0.0009859422690425398,44,PReLU,349,0.0003579926307950729,True,False,None
856,0.3700074,1.3926753733316755e-05,18,ReLU,210,0.0009515137800904875,False,False,keras.regularizers.L1L2
857,0.31979883,2.0436154470920178e-05,46,PReLU,114-431,0.0008745916533446344,False,True,keras.regularizers.L1L2
858,0.39916712,0.001303513010324162,54,PReLU,413-153,0.00019393354028909181,True,False,None
859,0.421422,0.00116847230545158,13,ReLU,140-98,0.0006557706621726229,False,False,keras.regularizers.L1L2
860,0.40841672,0.001367732463013636,72,PReLU,471,0.0005324040753225914,True,False,None
861,0.36820018,0.00032595944391381447,52,ReLU,164-141,0.0007929148350472043,True,False,keras.regularizers.L1L2
862,0.435916,0.0003940195573826004,75,PReLU,428-489,0.0007679910763173469,False,True,None
863,0.42969567,0.0002508772457588513,64,PReLU,404-425,0.0006426164108664817,False,False,None
864,0.38433814,0.00035207243962793934,75,PReLU,197-463,4.707590822442032e-05,True,False,keras.regularizers.L1L2
865,0.38335747,0.001986852480635247,34,ReLU,406-228,0.00010438268834529774,True,False,keras.regularizers.L1L2
866,0.43197802,0.0004219136475426495,67,ReLU,188,0.0007519471593548788,False,True,keras.regularizers.L1L2
867,0.43202305,0.0012341432046345713,70,ReLU,238,0.0008884440135593138,False,True,None
868,0.38797796,0.000997487834099609,80,PReLU,408-203,0.0003048435276806315,True,False,keras.regularizers.L1L2
869,0.43659797,0.0013282208681332632,71,ReLU,285-171,0.00029297213802838165,False,True,keras.regularizers.L1L2
870,0.43769336,0.00027815887949806983,80,PReLU,457,3.484328475369336e-05,False,True,None
871,0.42892212,0.0018464655496807831,63,ReLU,341-188,0.0003068105961422093,False,True,keras.regularizers.L1L2
872,0.44022143,0.0007350852974246613,56,PReLU,205-168,0.00027691525233875794,False,True,keras.regularizers.L1L2
873,0.39483792,0.0010686602746865718,76,ReLU,183-129,0.00021479662744342798,True,False,None
874,0.42542645,0.0010348608614205827,36,PReLU,329-90,0.0002616693065647191,False,False,None
875,0.36646038,0.0001197285767776941,41,ReLU,144,0.0006915839450539357,True,False,None
876,0.4401579,0.0013766316206184953,37,PReLU,163,0.00032506283969403917,False,True,None
877,0.42947304,0.0015147610153199299,49,PReLU,365-350,0.0007768124662870532,False,True,keras.regularizers.L1L2
878,0.39080137,0.0018565708168357742,59,PReLU,136,0.0005920242442336385,True,False,None
879,0.43522286,0.001100941241574022,68,PReLU,409,0.00030098949824438026,False,True,None
880,0.39294368,0.0016635318775758093,56,ReLU,294-278,0.0006130356615728183,True,False,None
881,0.44068348,0.0012349922379789847,16,PReLU,257,0.0006410696092590256,False,True,None
882,0.43616515,0.0005859864881746846,37,ReLU,260,0.0006376001730840347,False,True,None
883,0.43275207,0.0019131813635334463,77,ReLU,206-406,0.00027291350696501517,False,True,keras.regularizers.L1L2
884,0.4352159,0.0007275658912324832,37,PReLU,130,0.000658532523368096,False,True,keras.regularizers.L1L2
885,0.3892577,0.0011235329596777028,28,PReLU,470,0.0006876011747253604,True,False,keras.regularizers.L1L2
886,0.4066404,0.0018076415858005502,15,ReLU,67,5.6765014503807555e-05,True,False,None
887,0.4341972,0.0003830391917956757,76,PReLU,483-87,0.0008096529678107611,False,True,keras.regularizers.L1L2
888,0.3946519,0.001851122076745477,54,ReLU,360,0.0007679403582599816,True,False,keras.regularizers.L1L2
889,0.3881166,0.0017421944441334655,14,ReLU,58,0.0005103942387099258,True,False,keras.regularizers.L1L2
890,0.34705377,0.00017121565504208137,52,PReLU,409-84,0.00045619584169659025,True,False,None
891,0.38660812,0.0008996093917870217,44,PReLU,56,0.0007187875225791478,True,False,keras.regularizers.L1L2
892,0.43875068,0.0009707080601927472,54,ReLU,350,0.00033644882316062933,False,True,keras.regularizers.L1L2
893,0.43252894,0.00028042070360984853,17,ReLU,413,0.0004603581822492072,False,True,None
894,0.4375853,0.001555604110410986,52,ReLU,299,0.0007572210830835507,False,True,None
895,0.32482797,0.00014568195810451412,72,PReLU,359-52,0.0009324464516654611,True,False,None
896,0.43574184,0.001143550119851217,18,ReLU,425,0.00025565637241108997,False,True,keras.regularizers.L1L2
897,0.42085814,0.0015209312894997249,30,ReLU,175,0.00046415498305114145,False,False,keras.regularizers.L1L2
898,0.4017557,0.0018491038034553133,55,PReLU,375,0.0002674540515957262,True,False,None
899,0.42419478,0.001602466968793342,33,ReLU,483-429,7.144203236833857e-05,False,True,None
