idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
875,0.3991255,0.0010383625550347251,22,ReLU,153,0.00031471618842725534,True,False,keras.regularizers.L1L2
876,0.37706012,0.001990012548698809,38,ReLU,64-84,0.00018817756090050075,True,False,None
877,0.34967005,5.4067630387926615e-05,50,ReLU,278-358,0.00018031938435951,True,False,keras.regularizers.L1L2
878,0.4319877,0.00033819684579922994,38,ReLU,202-450,0.0008343984734963533,False,True,keras.regularizers.L1L2
879,0.39017838,0.0014804716938221656,13,PReLU,80-321,0.0006408666972566951,True,False,keras.regularizers.L1L2
880,0.43499023,0.0010236177991521209,46,ReLU,262-187,3.694634737665315e-05,False,True,keras.regularizers.L1L2
881,0.42981717,0.0016055276534437336,43,PReLU,191,0.0004296485833643584,False,True,keras.regularizers.L1L2
882,0.43726683,0.0018552640776390188,43,PReLU,194,8.884756303824371e-05,False,True,None
883,0.3856604,0.0017954855673009982,28,PReLU,179-336,0.0009338604462632987,True,False,keras.regularizers.L1L2
884,0.38858238,0.0006231857668841259,10,PReLU,418-289,2.2484354850289655e-05,True,False,keras.regularizers.L1L2
885,0.43367887,0.0011081388222846198,22,ReLU,240,0.0006591896360209954,False,True,keras.regularizers.L1L2
886,0.39945248,0.001657177160402955,12,ReLU,240-222,0.0008588506437882381,True,False,keras.regularizers.L1L2
887,0.40349156,0.0014100888086552462,14,ReLU,490-261,0.0007777600712019321,True,False,None
888,0.43392733,0.0018416960654726578,35,PReLU,185,0.0006088962702507964,False,True,None
889,0.3861909,0.0010451637440824586,25,PReLU,108,0.0006050329157543423,True,False,None
890,0.39400798,0.0014381699089579866,22,PReLU,139-283,0.0008857196124630478,True,False,None
891,0.42686832,0.0005995255595348648,50,ReLU,268-405,0.0006820563125158354,False,True,keras.regularizers.L1L2
892,0.3806346,0.0005158377634005891,45,PReLU,119,0.0003529390072216263,True,False,keras.regularizers.L1L2
893,0.43964213,0.0005695958191289067,21,ReLU,202,0.0001240910283503991,False,True,None
894,0.42613083,0.001153923370357991,15,PReLU,197,0.00015519021935412136,False,False,keras.regularizers.L1L2
895,0.38557068,0.001799156209697761,33,PReLU,61-202,3.185584016051013e-05,True,False,None
896,0.43272603,0.00012364209441036712,14,ReLU,312,0.0008046305213317909,False,True,keras.regularizers.L1L2
897,0.4321918,0.0012094396914670506,19,PReLU,471-81,0.000588191660546214,False,True,keras.regularizers.L1L2
898,0.4298773,0.0009953891076130462,37,PReLU,107-222,3.975914763294963e-05,False,True,None
899,0.43744543,0.0005838964323528784,28,PReLU,219,0.0001695733391830382,False,True,None
