idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
900,0.3980478,0.0017662573932188841,35,ReLU,163-174,0.0008095090325670578,True,False,None
901,0.42290872,0.000703833713600617,44,PReLU,455-259,0.000600806117579527,False,False,keras.regularizers.L1L2
902,0.44428352,0.0003402091838636603,44,ReLU,366-139,0.0003723497454959546,False,True,None
903,0.4333737,0.001603925200329531,24,ReLU,477-375,3.7077569908483765e-05,False,True,keras.regularizers.L1L2
904,0.3880763,0.0014308485291337474,18,PReLU,336,0.0005292787484146595,True,False,keras.regularizers.L1L2
905,0.38141802,0.0001220291862086731,38,ReLU,442,0.00048463123732847026,True,False,None
906,0.43097526,0.0007625775867209461,50,ReLU,217,0.0005022429358389351,False,True,keras.regularizers.L1L2
907,0.42595512,0.0003488956718828899,14,PReLU,212-228,7.240138496566084e-05,False,False,None
908,0.42992508,0.0011169172351927017,38,PReLU,394,3.80131560986241e-06,False,False,None
909,0.4303096,0.000245354928457286,11,ReLU,183-412,0.0009648144537974444,False,True,keras.regularizers.L1L2
910,0.4231303,3.6764975926732116e-05,41,PReLU,486-311,0.000652348602529164,False,False,keras.regularizers.L1L2
911,0.4002549,0.0016764555975922804,15,PReLU,378-144,0.0006875300742598986,True,False,keras.regularizers.L1L2
912,0.4299667,0.0014202452285663328,11,ReLU,164-489,0.00031148062730774253,False,True,None
913,0.39166918,0.00037067705742218693,50,PReLU,405,7.456745089925265e-05,True,False,keras.regularizers.L1L2
914,0.38001865,0.0007726804626731232,34,ReLU,156-332,0.00029978821312228734,True,False,keras.regularizers.L1L2
915,0.43882662,0.0006444441004842865,29,PReLU,452-373,0.0009439753587312559,False,True,None
916,0.43151003,0.00013739566227229162,44,ReLU,420-432,0.0004101728287636678,False,False,None
917,0.42918384,0.0019560538114870214,16,ReLU,280-269,9.093677217609064e-05,False,True,keras.regularizers.L1L2
918,0.38726336,0.00023289603934149828,40,PReLU,311,0.0005178670597892881,True,False,None
919,0.3912695,0.0018161000581039047,44,PReLU,249,0.0008126917034725108,True,False,keras.regularizers.L1L2
920,0.3962195,0.0003631441266450364,18,PReLU,166,0.0007007392634267913,True,False,keras.regularizers.L1L2
921,0.4276427,0.0007483237169528152,33,PReLU,252,0.0005764195370642356,False,False,None
922,0.434586,0.0007123873560476948,43,PReLU,133-341,0.0002778037672618602,False,True,None
923,0.43245944,0.0012021209428266684,38,ReLU,141,0.0002791650424342247,False,True,keras.regularizers.L1L2
924,0.38600314,0.0012912610610206576,42,PReLU,283-115,0.0003319963610632852,True,False,keras.regularizers.L1L2
