idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
900,0.38129807,0.0014474887012930462,78,LeakyReLU,414-425,0.0003421370719678596,True,False,keras.regularizers.L1L2
901,0.41063824,0.0016529193789913898,66,selu,87,0.0015849494168065103,False,False,None
902,0.37336662,0.0016492943339020975,64,selu,75,0.0012359918373192438,True,False,keras.regularizers.L1L2
903,0.38319212,0.001201143241321243,20,selu,124-87,0.0002755983869362424,True,False,keras.regularizers.L1L2
904,0.43369776,0.0008927100515745887,10,PReLU,126-462,0.0008976828627768916,False,True,None
905,0.4296831,0.0006110689220725543,121,LeakyReLU,382,0.0012855515890342459,False,False,keras.regularizers.L1L2
906,0.4272607,0.0010391269104445564,126,selu,431,4.038329186522516e-05,False,True,None
907,0.4225772,0.000940384176635491,68,selu,292-414,0.000963157668291615,False,True,keras.regularizers.L1L2
908,0.4145965,0.0012326846868782719,22,selu,340,0.0017733507408191375,False,False,None
909,0.427919,0.0010647281526628733,130,LeakyReLU,214-483,0.001851826124234585,False,True,None
910,0.43868965,0.0014946332054203205,149,ReLU,297,7.272254430515623e-05,False,True,None
911,0.42912263,0.0008521526485323849,41,LeakyReLU,132,0.001996288631371234,False,True,None
912,0.42852414,0.00124339953465245,143,LeakyReLU,374,0.0013624845618005264,False,True,None
913,0.42860097,0.0013793504439964235,78,LeakyReLU,95-408,0.000790669388619821,False,True,None
914,0.42227915,0.0019302387982726155,43,LeakyReLU,74-451,0.0005515603079422695,False,False,None
915,0.4350414,8.490137479636605e-05,35,PReLU,244,0.0004446871896661797,False,True,None
916,0.42979762,0.0012337662065619551,59,ReLU,142-416,0.0004895431530153793,False,True,keras.regularizers.L1L2
917,0.43542033,0.0007287069752083779,20,LeakyReLU,308,0.0011566658965010508,False,True,keras.regularizers.L1L2
918,0.391434,0.0008284830807706875,81,PReLU,494-137,0.0014761836632330198,True,False,None
919,0.35382962,0.00019533742731818517,128,ReLU,237,0.0015679426391105786,True,False,keras.regularizers.L1L2
920,0.42629635,0.0007816863322852237,11,ReLU,294-491,0.0006605801188772196,False,False,keras.regularizers.L1L2
921,0.36175764,8.57250177662574e-05,105,ELU,200-446,0.0015527724003976296,True,False,None
922,0.37248284,0.0009188843448909127,145,PReLU,449-441,0.0007049274587511664,True,False,keras.regularizers.L1L2
923,0.4318006,0.00185261002193976,30,PReLU,451,0.001452044893779464,False,True,keras.regularizers.L1L2
924,0.4200134,0.00036907825685423456,146,selu,329,0.0006644754801436515,False,True,None
925,0.4251969,0.00033858744341162404,84,LeakyReLU,152,0.00155999975806525,False,True,keras.regularizers.L1L2
926,0.41979778,0.0014664896684500879,107,ELU,402-220,9.307601788847975e-05,False,False,keras.regularizers.L1L2
927,0.4324336,0.00037378338464345796,40,ReLU,84,0.001471207182811938,False,True,None
928,0.432523,0.0008448877411161535,20,PReLU,68-227,1.2654189560945106e-05,False,True,keras.regularizers.L1L2
929,0.426687,0.00043211033993215885,89,selu,341-177,0.0017394417085213648,False,True,keras.regularizers.L1L2
930,0.36483377,0.0003612938791765117,74,PReLU,424-177,0.0015613627551607611,True,False,None
931,0.4286042,0.0015799393319536625,13,LeakyReLU,403,4.634447698145472e-05,False,True,keras.regularizers.L1L2
932,0.38189754,0.0005463990804911747,72,LeakyReLU,77,0.0006235709832284299,True,False,None
933,0.41496864,0.001400520613489055,108,LeakyReLU,300-457,0.0001315509020442478,False,False,None
934,0.3861277,0.0009700166229692431,67,ReLU,168-184,0.0003397132595962533,True,False,keras.regularizers.L1L2
935,0.38067985,0.001276290724694183,79,ELU,206,0.00015852009053420903,True,False,keras.regularizers.L1L2
936,0.38110805,0.0010437218260720348,133,ELU,466-475,0.0016041824510642057,True,False,None
937,0.43335328,0.0003604377371732408,62,PReLU,86,0.0004690661057492227,False,True,keras.regularizers.L1L2
938,0.37851405,0.0011524285009866502,147,LeakyReLU,53,0.0004107110165928145,True,False,keras.regularizers.L1L2
939,0.43413123,0.0012262877381380912,107,selu,487-128,0.0009534302243029492,False,True,keras.regularizers.L1L2
940,0.435697,0.0007058820942894932,144,PReLU,408-414,0.001781978827783609,False,True,keras.regularizers.L1L2
941,0.39878476,0.001390008653663858,71,PReLU,252,0.0008854941967947688,True,False,keras.regularizers.L1L2
942,0.42574254,0.0007900129702097862,46,selu,373-470,0.0001261372054432084,False,True,None
943,0.37187326,0.0004480991050643448,113,ReLU,258-242,0.0008305186474923017,True,False,None
944,0.3776676,0.00018828951851210807,28,selu,97-141,0.0008968480976654501,True,False,keras.regularizers.L1L2
945,0.43141285,0.0011040508607083155,116,ELU,161-53,0.0005651150829475647,False,True,None
946,0.3659572,0.0007368198405676247,83,selu,177-291,0.0007625100077449083,True,False,None
947,0.37974262,0.00023820058815979085,82,selu,443,0.0012644608313639649,True,False,None
948,0.37686807,0.0011853673199193693,129,selu,326-462,0.00149979659967918,True,False,None
949,0.4313962,0.000876347973975117,111,ELU,455,0.00018300824043346298,False,True,None
