idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
900,0.3879378,0.00026756271295139133,24,ReLU,468,0.0009018343940740655,True,False,None
901,0.39042258,0.0013014993896049648,49,PReLU,341-362,0.0005618280326238672,True,False,keras.regularizers.L1L2
902,0.379988,0.0007906297064534853,77,ReLU,135,0.00048665968491797777,True,False,None
903,0.43283516,0.0017544428859976571,71,ReLU,129-271,0.00022500966395191135,False,True,keras.regularizers.L1L2
904,0.42528284,0.0005717004726047141,17,ReLU,129,0.0009477637055838201,False,False,None
905,0.43234473,0.0016137262190258537,18,PReLU,151,0.0009087120092782704,False,True,keras.regularizers.L1L2
906,0.43247575,0.0007242255354370286,43,ReLU,206-274,0.0002417524884938227,False,True,None
907,0.4375343,0.000894448887263052,33,PReLU,302-141,0.0002244505709483702,False,True,None
908,0.42965674,0.00010843618704734004,69,PReLU,394-172,0.0007031172773244557,False,True,keras.regularizers.L1L2
909,0.3786347,0.00019340036317120512,72,ReLU,284,1.9865066081916293e-05,True,False,None
910,0.41699845,4.6255714874734235e-05,41,ReLU,109,0.00014500941871791685,False,True,keras.regularizers.L1L2
911,0.4349872,0.0006222867140249806,21,ReLU,193,0.0007827228819195587,False,True,None
912,0.3933237,0.0016209182688622552,67,ReLU,429-187,0.0005414566843060601,True,False,keras.regularizers.L1L2
913,0.43031675,0.0018905049767109173,41,PReLU,356,3.346518007546928e-05,False,True,keras.regularizers.L1L2
914,0.43073648,0.0002065720229872512,57,PReLU,280-94,0.0004458943500716657,False,True,keras.regularizers.L1L2
915,0.43944094,0.00126954284907086,79,ReLU,78,0.0007962916002164539,False,True,None
916,0.39547554,0.0008353315663638064,68,ReLU,148-196,0.00020449973025397705,True,False,keras.regularizers.L1L2
917,0.39198136,0.001634866542999803,73,PReLU,189,0.0003014739636693109,True,False,None
918,0.43459567,0.0005037516216922531,43,ReLU,74,0.0008805836374380786,False,True,None
919,0.3839373,0.0006463292285704882,23,PReLU,144-151,0.0004753220459172107,True,False,None
920,0.43469727,0.0014248166703811466,25,ReLU,110,0.0006880195355459327,False,True,keras.regularizers.L1L2
921,0.42359358,0.0017805129589611316,15,ReLU,317-364,0.0002617030465371144,False,False,None
922,0.4338376,0.0005384343234487685,49,PReLU,182-411,6.666593224604134e-05,False,True,None
923,0.3948785,0.0009002921049237427,73,ReLU,243,0.00034867815347092515,True,False,None
924,0.4227779,0.0015617780518835027,17,PReLU,190,0.0008845503806034232,False,False,keras.regularizers.L1L2
925,0.42660442,0.0002392040164163376,40,PReLU,91-156,0.0003160262197238641,False,False,keras.regularizers.L1L2
926,0.42434365,0.001415669052855323,12,PReLU,104-205,0.0007452980586091496,False,True,keras.regularizers.L1L2
927,0.38852564,0.001233231909353602,16,PReLU,143-429,0.0005432296464093392,True,False,keras.regularizers.L1L2
928,0.39839393,0.0015709165363251723,68,PReLU,449,0.0001955247948123342,True,False,keras.regularizers.L1L2
929,0.4354676,0.0009545751721871039,58,PReLU,284,0.0005524860856670841,False,True,None
930,0.4196574,0.00012623419715770325,74,PReLU,73,0.0003832226984814978,False,False,None
931,0.4268656,0.0005962782592176799,60,ReLU,127-272,0.0006305525058634703,False,False,keras.regularizers.L1L2
932,0.4318545,0.000801463092986402,27,PReLU,308,0.0005362209836252253,False,True,keras.regularizers.L1L2
933,0.43272334,0.0012735942906177784,46,PReLU,159,0.0006769627185773131,False,True,keras.regularizers.L1L2
934,0.43298757,0.001310930894560128,71,PReLU,228-411,0.0004660631138202387,False,True,keras.regularizers.L1L2
935,0.43479925,0.0010480795616516216,57,ReLU,259,0.0005312615019976672,False,True,None
936,0.3923073,0.0011863787560491322,36,PReLU,260-198,0.0009311101210220202,True,False,keras.regularizers.L1L2
937,0.4038002,0.0008469641088594144,20,ReLU,239,0.00023390766233714023,True,False,None
938,0.43329364,0.0013996880652454502,28,ReLU,416-217,0.0008261401680589457,False,True,keras.regularizers.L1L2
939,0.43464664,0.0016373881009082102,78,PReLU,148-111,0.0003694736378657272,False,True,None
940,0.43926966,0.0009503886313482125,17,PReLU,454-205,0.00016104753560729234,False,True,None
941,0.4345797,0.00048472788465042974,28,PReLU,434-267,0.0008232949983732539,False,True,keras.regularizers.L1L2
942,0.39069837,0.0019058594979393891,63,PReLU,491,0.0006315793069541694,True,False,None
943,0.40449688,0.0018827836003903475,70,ReLU,212,0.0005425418277540041,True,False,None
944,0.43518126,0.0005732673310835279,11,PReLU,345-336,0.00012910390304044119,False,True,keras.regularizers.L1L2
945,0.39113224,0.00043925375134569846,69,PReLU,121,0.0006500882837665483,True,False,keras.regularizers.L1L2
946,0.43686885,0.0005329819008191603,45,PReLU,179,7.848391656364295e-05,False,True,None
947,0.3582824,0.00030962701539622817,59,PReLU,63,8.36922488950218e-05,True,False,None
948,0.43007085,0.00026870374055711576,14,PReLU,234,0.0007904635177544912,False,False,keras.regularizers.L1L2
949,0.43142742,0.0005631586644028135,19,ReLU,138,0.0006844370355791894,False,True,keras.regularizers.L1L2
