idx,acc,lr,batch_size,hl_acts,hl_sizes,decay,bNorm,dropout,reg
950,0.43543345,0.0008556754616179805,21,ReLU,344-268,0.0006746183349768947,False,True,None
951,0.39037448,0.000583347620132668,40,PReLU,124-413,0.0009560087774288223,True,False,keras.regularizers.L1L2
952,0.39788806,0.0005504029245647575,14,ReLU,294,0.0004615527363265656,True,False,None
953,0.43704695,0.00012572660116101452,28,ReLU,163,0.0005289199906779458,False,True,None
954,0.40906262,0.0007858898909456438,11,PReLU,327,0.00018510672237033088,True,False,None
955,0.43598044,0.0014086432313516809,62,PReLU,257,4.3608936685063274e-05,False,True,keras.regularizers.L1L2
956,0.42346796,0.0008578180367536584,72,PReLU,68,0.0005666130469706769,False,False,keras.regularizers.L1L2
957,0.4019851,0.0015280379838981423,32,PReLU,318,0.0007347726529681424,True,False,None
958,0.4021899,0.001509909085171269,44,PReLU,399-301,0.0006888179147055684,True,False,keras.regularizers.L1L2
959,0.42605743,0.001411107647189346,33,PReLU,63,0.0009564284017614889,False,True,None
960,0.36370987,6.686717543070553e-05,36,PReLU,145,0.0006208834031166492,True,False,None
961,0.4025068,3.326571609116313e-05,27,PReLU,278,0.000883302668331788,False,True,keras.regularizers.L1L2
962,0.40699387,0.0018491716386374508,41,ReLU,231,0.0006491804948739226,True,False,None
963,0.43163168,0.0011232789987051222,44,PReLU,372,0.0004165066337050366,False,False,None
964,0.4301633,0.0003906067736572005,47,PReLU,265-496,0.00023688017760222646,False,True,keras.regularizers.L1L2
965,0.43579268,0.0014561481089124019,74,ReLU,411-56,0.0005231798595126693,False,True,None
966,0.38430548,0.001069431297489176,67,ReLU,83,0.0002712354960314034,True,False,None
967,0.43463713,0.0014873318434781646,29,ReLU,432-120,0.0006397044001560301,False,True,None
968,0.4014148,0.0010377002725696501,32,PReLU,280,0.00025217030680971806,True,False,None
969,0.42678863,0.0002454636036088131,70,ReLU,186,0.0007517890873042581,False,True,keras.regularizers.L1L2
970,0.39318925,0.0012620132430198954,10,PReLU,160-174,7.063564189904781e-05,True,False,keras.regularizers.L1L2
971,0.39462772,0.00019380764098633895,60,ReLU,422,6.313434184240352e-06,True,False,keras.regularizers.L1L2
972,0.43751526,0.0019301827228631273,48,PReLU,127,0.00042062431415372027,False,True,None
973,0.39406186,0.0011126066695453702,44,PReLU,487-431,0.0004183563076868696,True,False,keras.regularizers.L1L2
974,0.42779619,0.001457534371024903,45,PReLU,484-391,0.0001537164263553762,False,True,None
975,0.3877021,0.00030198453046952637,29,PReLU,477,0.0007723768924296383,True,False,None
976,0.3578363,0.0002665579884394187,45,ReLU,371-100,0.0006622444586342167,True,False,None
977,0.39867842,0.001648855899810409,20,PReLU,124,0.0008889094041425627,True,False,None
978,0.38381866,0.0003493987896884563,21,ReLU,349-272,0.0006239394056944784,True,False,keras.regularizers.L1L2
979,0.4018036,0.0006860415813117751,32,PReLU,290,0.0003667614305529646,True,False,None
980,0.43145037,0.0018556973048741252,77,ReLU,462,0.0006607742608305211,False,True,None
981,0.43454486,0.00164187850253378,75,PReLU,255,0.00013077608126310604,False,True,None
982,0.40584105,0.0019823617214263446,21,PReLU,399-374,0.000310686710935821,True,False,None
983,0.42778596,0.0014364776957695154,25,PReLU,313-253,0.0005356700938980185,False,True,keras.regularizers.L1L2
984,0.40402618,0.0017509556350999147,18,ReLU,211,0.0004641391209430793,True,False,None
985,0.4380696,0.0009712522974012004,15,PReLU,458,0.0006190547780321983,False,True,None
986,0.43122438,0.0015521498362121827,44,PReLU,179,8.112612806965058e-05,False,True,keras.regularizers.L1L2
987,0.43314716,0.0005107032263751298,62,ReLU,91,0.00036614587806362356,False,True,keras.regularizers.L1L2
988,0.42468417,4.2877688083249324e-05,11,ReLU,432,0.0005617333438870228,False,True,None
989,0.39345264,0.0010261108435145696,57,PReLU,395,0.0006553361077982651,True,False,keras.regularizers.L1L2
990,0.36588752,1.0631947305782319e-05,31,ReLU,228,0.00012186876743743392,False,True,None
991,0.39447138,0.0015894638529823611,58,PReLU,428,0.0002048798677185909,True,False,None
992,0.37642574,0.00012250288608843697,72,PReLU,481,0.0003776665250388344,True,False,keras.regularizers.L1L2
993,0.4297086,0.0013691973984386392,67,ReLU,428,0.00044796273885090086,False,True,keras.regularizers.L1L2
994,0.38103923,0.00043672226280442873,20,PReLU,71,0.0005953718376588708,True,False,keras.regularizers.L1L2
995,0.43946964,0.0016516981327244777,44,ReLU,159,0.0003663164633360926,False,True,None
996,0.43921852,0.0006544718509086014,23,PReLU,98,8.630929145531319e-05,False,True,None
997,0.39098695,0.00147411325633037,16,ReLU,122-440,0.0007027536750243512,True,False,keras.regularizers.L1L2
998,0.43487877,0.0016630852232809052,64,PReLU,279-214,0.0001953935098773497,False,True,None
999,0.42602223,0.0011069667057402764,21,PReLU,64-148,4.01892481489099e-05,False,True,None
